year,county,cause,sex,age_code,N
81,0101,01,1,16,1
81,0101,03,1,13,1
81,0101,03,1,14,3
81,0101,03,1,18,2
81,0101,03,2,20,1
81,0101,04,1,18,1
81,0101,04,1,19,1
81,0101,04,1,20,1
81,0101,05,2,12,1
81,0101,05,2,14,1
81,0101,05,2,15,1
81,0101,05,1,17,2
81,0101,05,2,17,2
81,0101,05,1,18,4
81,0101,05,2,18,1
81,0101,05,1,19,6
81,0101,05,1,20,2
81,0101,05,1,21,2
81,0101,05,2,21,3
81,0101,05,1,22,1
81,0101,05,2,22,2
81,0101,05,2,24,1
81,0101,06,2,21,1
81,0101,07,1,14,1
81,0101,07,2,14,1
81,0101,07,1,15,1
81,0101,07,1,16,1
81,0101,07,2,16,1
81,0101,07,1,18,3
81,0101,07,1,19,2
81,0101,07,2,20,1
81,0101,07,1,20,4
81,0101,07,2,21,3
81,0101,07,1,21,3
81,0101,07,2,22,1
81,0101,08,1,09,1
81,0101,08,1,11,1
81,0101,08,1,12,2
81,0101,08,1,13,2
81,0101,08,1,14,3
81,0101,08,1,15,2
81,0101,08,1,17,3
81,0101,08,1,18,2
81,0101,08,2,18,1
81,0101,08,2,19,2
81,0101,08,1,19,3
81,0101,08,2,20,3
81,0101,08,1,20,4
81,0101,08,1,21,1
81,0101,08,2,21,5
81,0101,08,1,22,2
81,0101,08,2,22,2
81,0101,08,2,23,1
81,0101,08,1,23,1
81,0101,09,1,20,1
81,0101,10,1,16,1
81,0101,10,1,17,1
81,0101,10,1,18,1
81,0101,10,2,18,1
81,0101,10,1,19,1
81,0101,14,1,13,1
81,0101,14,2,13,1
81,0101,14,1,16,1
81,0101,14,1,17,4
81,0101,14,1,18,3
81,0101,14,1,19,4
81,0101,14,2,19,3
81,0101,14,1,20,11
81,0101,14,2,20,1
81,0101,14,1,21,5
81,0101,14,2,21,2
81,0101,14,2,22,1
81,0101,14,1,22,5
81,0101,17,2,09,1
81,0101,17,2,18,1
81,0101,19,1,21,1
81,0101,20,2,13,1
81,0101,20,2,14,3
81,0101,20,2,15,3
81,0101,20,2,16,1
81,0101,20,2,17,1
81,0101,20,2,18,2
81,0101,20,2,20,3
81,0101,22,2,13,2
81,0101,22,2,14,2
81,0101,22,2,15,1
81,0101,22,2,17,2
81,0101,22,2,18,1
81,0101,22,2,20,1
81,0101,22,2,21,1
81,0101,22,2,24,1
81,0101,25,2,22,1
81,0101,26,1,17,1
81,0101,26,1,21,2
81,0101,29,2,20,1
81,0101,29,1,23,1
81,0101,32,1,17,1
81,0101,32,2,19,3
81,0101,32,1,21,1
81,0101,34,2,22,1
81,0101,35,2,10,1
81,0101,35,1,12,1
81,0101,35,2,17,1
81,0101,35,1,17,1
81,0101,35,1,18,1
81,0101,35,1,19,1
81,0101,35,2,20,1
81,0101,35,2,21,1
81,0101,37,2,16,1
81,0101,37,2,20,1
81,0101,38,1,14,1
81,0101,38,1,17,1
81,0101,38,2,17,1
81,0101,38,2,18,1
81,0101,38,2,19,2
81,0101,38,2,20,1
81,0101,38,1,20,1
81,0101,38,1,21,4
81,0101,38,2,22,1
81,0102,01,2,12,1
81,0102,01,1,14,1
81,0102,01,1,15,1
81,0102,01,1,17,2
81,0102,01,1,18,1
81,0102,01,2,22,1
81,0102,03,1,10,1
81,0102,03,1,13,1
81,0102,03,1,17,2
81,0102,03,1,18,4
81,0102,03,2,19,1
81,0102,03,1,19,1
81,0102,03,1,20,1
81,0102,03,1,21,1
81,0102,04,1,17,1
81,0102,04,1,19,3
81,0102,04,1,20,2
81,0102,04,1,22,1
81,0102,05,2,13,1
81,0102,05,1,14,1
81,0102,05,1,16,2
81,0102,05,2,16,1
81,0102,05,2,17,1
81,0102,05,1,17,1
81,0102,05,1,18,3
81,0102,05,2,19,1
81,0102,05,1,19,2
81,0102,05,2,20,4
81,0102,05,1,20,4
81,0102,05,2,21,4
81,0102,05,1,21,3
81,0102,05,2,22,4
81,0102,05,1,22,1
81,0102,05,2,23,2
81,0102,05,1,23,1
81,0102,06,1,20,1
81,0102,07,2,13,1
81,0102,07,1,13,1
81,0102,07,1,14,1
81,0102,07,2,15,2
81,0102,07,2,16,2
81,0102,07,1,16,2
81,0102,07,2,17,1
