日期,新臺幣券、輔幣券及外島地名券發行數額,硬幣、硬輔幣發行數額,黃金準備,外匯美金準備(單位 : 新臺幣/元)
92/03/31          ,696795965500      ,49927284880       ,153511217581.62   ,543284747918.38   
92/06/30          ,693200371000      ,50518204829       ,158262586289.96   ,534937784710.04   
92/09/30          ,693009371000      ,51197260974       ,170603755764.41   ,522405615235.59   
92/12/31          ,732326532000      ,52837660730       ,186856538141.13   ,545469993858.87   
93/03/31          ,774198820000      ,53594404730       ,184452957648.80   ,589745862351.20   
93/06/30          ,767207115000      ,52389429637       ,175674289112.29   ,591532825887.71   
93/09/30          ,779903655000      ,51876764637       ,185356300240.38   ,594547354759.62   
93/12/31          ,803553747000      ,53396869680       ,185078159333.44   ,618475587666.56   
94/03/31          ,864198210000      ,54633086680       ,179233918388.95   ,684964291611.05   
94/06/30          ,843189643500      ,55454502611       ,182239727275.67   ,660949916224.33   
94/09/30          ,846145794500      ,56373066611       ,207634648459.62   ,638511146040.38   
94/12/31          ,865313615350      ,57596017864       ,222899579355.62   ,642414035994.38   
95/03/31          ,902176175350      ,57881995864       ,250047034395.73   ,652129140954.27   
95/06/30          ,884487751450      ,58031742486       ,255419092178.12   ,629068659271.88   
95/09/30          ,874489730450      ,58356942486       ,261376558624.55   ,613113171825.45   
95/12/31          ,900561259450      ,59230784829       ,272436967167.60   ,628124292282.40   
97/03/31          ,957578579400      ,62785569767       ,373781996153.00   ,583796583247.00   
97/06/30          ,929706621400      ,63072179787       ,369721467101.44   ,559985154298.56   
97/09/30          ,927209240400      ,63544046787       ,381217137447.25   ,545992102952.75   
97/12/31          ,989325522400      ,64964526707       ,372963982925.20   ,616361539474.80   
98/03/31          ,1021945619400.00  ,64320433707.00    ,411202614307.80   ,610743005092.20   
98/06/30          ,999575357400.00   ,64389238473.00    ,406589905815.60   ,592985451584.40   
98/09/30          ,1006745472400.00  ,64865180473.00    ,420638483040.36   ,586106989359.64   
98/12/31          ,1056702850650.00  ,66050679521.00    ,462292340160.91   ,594410510489.09   
99/03/31          ,1114637650650.00  ,66671252521.00    ,461152700869.62   ,653484949780.38   
99/06/30          ,1099713055650.00  ,67048918979.00    ,524851070933.66   ,574861984716.34   
99/09/30          ,1100974290650.00  ,67966706979.00    ,535376940241.09   ,565597350408.91   
99/12/31          ,1135040637400.00  ,69783849450.00    ,539460442582.90   ,595580194817.10   
100/03/31         ,1211051375400.00  ,70405350450.00    ,550076153864.69   ,660975221535.31   
100/06/30         ,1189540186500.00  ,70931698134.00    ,571085227797.66   ,618454958702.34   
100/09/30         ,1205446475500.00  ,72082479134.00    ,652311808084.57   ,553134667415.43   
100/12/31         ,1245993438200.00  ,74615262549.00    ,618119757684.45   ,627873680515.55   
101/03/31         ,1302537937200.00  ,74907667549.00    ,643010086957.57   ,659527850242.43   
101/06/30         ,1292334470900.00  ,75638906628.00    ,614069484566.04   ,678264986333.96   
101/09/30         ,1300292479900.00  ,76776511628.00    ,683269137170.13   ,617023342729.87   
101/12/31         ,1358510281300.00  ,79018263199.00    ,633054447533.12   ,725455833766.88   
102/03/31         ,1430650081800.00  ,79840448199.00    ,622906406802.82   ,807743674997.18   
102/06/30         ,1411610082050.00  ,80633967816.00    ,472760776242.72   ,938849305807.28   
102/09/30         ,1422403330550.00  ,82066080816.00    ,519333789137.90   ,903069541412.10   
102/12/31         ,1471073453100.00  ,84918522812.00    ,469721738132.60   ,1001351714967.40  
103/03/31         ,1544030702100.00  ,85351583812.00    ,518129742586.44   ,1025900959513.56  
103/06/30         ,1533511569050.00  ,86233046290.00    ,515258081305.28   ,1018253487744.72  
103/09/30         ,1543283270050.00  ,87720881290.00    ,486951705819.56   ,1056331564230.44  
103/12/31         ,1616477485500.00  ,90216887506.00    ,497207638966.56   ,1119269846533.44  
104/03/31         ,1695308495500.00  ,91099845506.00    ,485720993841.92   ,1209587501658.08  
104/06/30         ,1648809144500.00  ,91521648641.00    ,475875298020.80   ,1172933846479.20  
