id,行業別,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
11,農藝及園藝,113584956,122010866,139061996,143103986,149192893,176680799,219025111,248529141,289476137,321956727,340556243,355978860,375666242,397743681,417679054,437886912,457891846
12,農事服務,95974152,102104090,107714877,108539269,117197588,123805311,147294084,155234997,228990950,271604752,296472641,321596063,333902909,346231583,351200576,372833937,390496195
13,畜牧業,355495300,369748452,405732678,400787396,418574629,438885456,447772051,459826361,470026142,466211351,465696401,473139191,492997048,516452674,513772164,519290477,544453911
1,農、牧、狩獵合計,565054408,593863408,652509551,652430652,684965109,739371566,814091246,863590499,988493229,1059772830,1102725285,1150714114,1202566199,1260427938,1282651794,1330011326,1392841952
21,林業,1174040,249597,309013,319804,847179,1039060,1561672,1750979,1856985,1853224,1945899,2020281,2002985,2488980,2627738,2901095,2986649
22,伐木及林產經營,911921,755661,936163,824943,951405,1116049,1142339,1221797,1346961,1379535,1234082,1117640,1289350,1167131,1112931,1571121,1700897
2,林業及伐木業合計,2085961,1005258,1245176,1144748,1798584,2155109,2704011,2972776,3203946,3232759,3179981,3137921,3292335,3656111,3740669,4472216,4687546
31,漁撈業,2950025,2292825,2511382,1884124,1953275,2397987,2593939,2713834,2039540,1629477,1545078,1406487,1279808,1269601,1324350,1722337,1663597
32,水產養殖,981056680,990311772,1034383520,1031740715,1044948968,1080502100,1092770746,1065583637,1052731961,1018573314,962472522,912034184,893860550,928386787,918367329,913854895,925070994
3,漁業合計,984006705,992604597,1036894902,1033624839,1046902243,1082900087,1095364685,1068297471,1054771501,1020202791,964017600,913440671,895140358,929656388,919691679,915577232,926734591
4,其他,512900094,556078128,571432773,541801732,592491927,591851147,598576569,554734791,555434692,536344633,530365386,514706693,514544914,532323470,501790436,501159589,508671130
A.,農、林、漁、牧業合計,2064047168,2143551391,2262082402,2229001970,2326157863,2416277909,2510736511,2489595537,2601903368,2619553013,2600288252,2581999399,2615543806,2726063907,2707874578,2751220363,2832935219
5,煤礦業,4058876,3428204,3623225,2982476,2678099,2266211,2187898,2610409,1420672,1515593,805840,495176,842050,769481,798555,587335,913577
6,石油、天然氣及地熱礦,32641795,39566285,32387968,19790157,48003074,90030349,92823501,82606695,83798476,66632639,15905195,14729295,14587854,14252266,15850481,19553036,20072570
7,金屬礦業,7903398,7590706,7803565,7265777,7860778,8521475,6032824,465193,484534,1262886,1469603,1368475,1216161,1221466,731095,665067,614488
81,鹽業,3651563,3640421,3617010,3077488,1881864,1275961,1352322,1347628,1327788,1306357,1324386,1272378,1304392,1617600,1789683,1810161,1694189
82,化學及肥料礦,29602314,29305449,29944015,32198203,32987948,34151475,34262864,34382076,34290043,32720465,34296745,29827448,35749397,34845019,32697876,79083681,92237953
83,土礦業,7557988,6847656,5060434,4449572,4256425,6593648,6963709,6702786,5780424,6398738,8504251,6160553,6675362,8151908,9377843,9837294,10011912
84,石礦業,64536932,62994356,68530808,66228905,76577315,85225449,81419526,83916570,90088215,89300985,91452859,81911367,94292482,92447611,80848254,91805735,96011696
89,其他非金屬礦,41022911,31706415,28025847,29988898,35895087,39966556,36615073,38830192,42502464,40507701,39435699,25771492,28293853,26838127,27272151,28798822,29548165
8,非金屬礦業合計,146371708,134494297,135178114,135943066,151598640,167213089,160613494,165179252,173988934,170234246,175013940,144943238,166315486,163900265,151985807,211335693,229503915
91,陸上土石採取,80623681,70548920,68825877,67438159,87520608,97235595,108435109,112014008,107979292,100173457,95767640,86795474,111498046,114025100,111194822,107604642,105509916
