年分,總計,台勞,Industrial_labor,caregiver,threek,ind,看護工,care,印尼,菲律賓,泰國,越南,其他
2002,303684,9454000,182973,120711,54,182919,113755,6956,93212,69426,111538,29473,35
2003,300150,9573000,179552,120598,50,179502,115724,4874,56437,81355,104728,57603,27
2004,314034,9786000,182967,131067,45,182922,128223,2844,27281,91150,105281,90241,81
2005,327396,9942000,183381,144015,45,183336,141752,2263,49094,95703,98322,84185,92
2006,338755,10111000,184970,153785,2495,182475,151391,2394,85223,90054,92894,70536,48
2007,357937,10294000,195709,162228,11541,184168,159702,2526,115490,86423,86948,69043,33
2008,365060,10403000,196633,168427,31806,164827,165898,2529,127764,80636,75584,81060,16
2009,351016,10279000,176073,174943,41767,134306,172647,2296,139404,72077,61432,78093,10
2010,379653,10493000,193545,186108,72556,120989,183826,2282,156332,77538,65742,80030,11
2011,425660,10709000,227806,197854,137775,90031,195726,2128,175409,82841,71763,95643,4
2012,445579,10860000,242885,202694,181339,61546,200530,2164,191127,86786,67611,100050,5
2013,489134,10967000,278919,210215,216678,62241,208081,2134,213234,89024,61709,125162,5
2014,551596,11079000,331585,220011,246416,85169,217858,2153,229491,111533,59933,150632,7
2015,587940,11198000,363584,224356,262256,101328,222328,2028,236526,123058,58372,169981,3
2016,624768,11267000,387477,237291,278221,109256,235370,1921,245180,135797,58869,184920,2
2017,663234,11382000,416749,246485,300720,123197,243049,3436,256342,146344,61001,199546,1
