年分,印尼,菲律賓,泰國,越南,其他,製造業缺工,製造業外勞,製造業台人
2002,93212,69426,111538,29473,35,82822,156697,2572000
2003,56437,81355,104728,57603,27,80589,162039,2600000
2004,27281,91150,105281,90241,81,81657,167694,2681000
2005,49094,95703,98322,84185,92,84502,166928,2732000
2006,85223,90054,92894,70536,48,88415,169903,2777000
2007,115490,86423,86948,69043,33,80957,183329,2842000
2008,127764,80636,75584,81060,16,66261,185624,2886000
2009,139404,72077,61432,78093,10,61242,165790,2790000
2010,156332,77538,65742,80030,11,89622,182192,2861000
2011,175409,82841,71763,95643,4,79371,215271,2949000
2012,191127,86786,67611,100050,5,68895,230604,2975000
2013,213234,89024,61709,125162,5,75513,265741,2988000
2014,229491,111533,59933,150632,7,98308,316409,3007000
2015,236526,123058,58372,169981,3,72704,346914,3024000
2016,245180,135797,58869,184920,2,79892,370222,3028000
2017,256342,146344,61001,199546,1,85879,408571,3045000
