年月,境外外國機構投資人(FINI)-申請登記件數(件),境外外國機構投資人(FINI)-完成登記件數(件),境外外國機構投資人(FINI)-累積匯入淨額(億美元),境外華僑及外國自然人(FIDI)-申請登記件數(件),境外華僑及外國自然人(FIDI)-完成登記件數(件),境外華僑及外國自然人(FIDI)-累積匯入淨額(億美元),外資投入我國股市-總完成登記件數(件),外資投入我國股市-總累積匯入淨額(億美元),外資持有股票市值占總市值比例(％)
87,,,110.35,,,0.21,,110.56,
88,,,228.62,,,0.23,,228.85,
89,,,313.26,,,0.25,,313.51,15.34
90,,,414.23,,,0.16,,414.39,18.51
91,,,429.94,,,0.19,,430.13,15.4
92,241,241,663.2,5,5,0.2,246,663.4,21.46
93,1039,1039,800.65,16,16,0.25,1055,800.9,22.18
94,1135,1134,1089.21,16,16,0.33,1150,1089.54,30.25
95,1569,1569,1305.81,17,17,0.31,1586,1306.12,31.9
96,1650,1650,1375.32,15,14,0.7,1664,1376.02,31.1
97,1549,1549,1246.89,14,14,0.76,1563,1247.65,28.98
98,1661,1544,1512.5,82,82,0.93,1626,1513.43,29.8
99,1407,1407,1656.49,81,81,1.09,1488,1657.58,31.19
100,1318,1318,1556.44,102,102,3.21,1420,1559.65,31.1
101,1219,1218,1628.42,60,60,4.9,1278,1633.32,32.62
102,1411,1411,1760.37,63,63,4.76,1474,1765.13,33.14
103,1340,1340,1920.78,32,32,3.66,1372,1924.45,36.43
104,623,623,2022.27,10,10,3.55,623,2025.83,36.82
9201,,,436.53,,,0.2,,436.73,88.95
9202,,,435.28,,,0.2,,435.48,87.27
9203,,,441.66,,,0.2,,441.86,87.84
9204,,,445.55,,,0.22,,445.77,79.14
9205,,,466.09,,,0.22,,466.31,81.8
9206,,,491.39,,,0.22,,491.61,79.18
9207,,,523.17,,,0.21,,523.38,86.22
9208,,,569.43,,,0.21,,569.64,86.19
9209,,,603.59,,,0.22,,603.81,88.54
9210,35,35,650.62,5,5,0.2,40,650.82,92.44
9211,102,102,654.84,0,0,0.2,102,655.04,92.35
9212,104,104,663.2,0,0,0.2,104,663.4,92.23
9301,87,87,704.04,1,1,0.2,88,704.24,85.16
9302,79,79,726.34,4,4,0.21,83,726.55,84.29
9303,108,105,754.8,0,0,0.23,105,755.03,84.39
9304,103,101,757.62,1,1,0.23,102,757.85,80.18
9305,66,66,725.5,0,0,0.25,66,725.75,89.22
9306,89,89,718.06,1,1,0.25,90,718.31,89.99
9307,76,76,713,0,0,0.25,76,713.25,89.54
9308,97,97,720.05,2,2,0.25,99,720.3,87.67
9309,98,98,727.3,4,4,0.25,102,727.55,91.05
9310,86,86,751.45,3,3,0.25,89,751.7,90.3
9311,89,89,792.43,0,0,0.26,89,792.69,91.92
9312,64,64,800.65,0,0,0.25,64,800.9,92.25
9401,59,59,816.53,8,8,0.28,67,816.81,91.83
9402,76,76,853.96,0,0,0.26,76,854.22,92.27
9403,112,111,867.47,0,0,0.27,111,867.74,87.71
9404,84,84,876.24,0,0,0.28,84,876.52,91.15
9405,71,71,909.91,2,2,0.35,73,910.26,87.02
9406,93,93,958,0,0,0.35,93,958.35,93.09
9407,105,105,972.04,1,1,0.34,106,972.38,94.13
9408,101,101,963.65,2,2,0.34,103,963.99,93.66
9409,112,112,956.78,1,1,0.35,113,957.13,81.66
9410,101,101,950.82,2,2,0.32,103,951.14,93.53
9411,118,118,1003.9,0,0,0.33,118,1004.23,94.4
9412,103,103,1089.21,0,0,0.33,103,1089.54,94.01
9501,114,114,1124.09,2,2,0.33,116,1124.42,93.6
9502,118,118,1142.82,2,2,0.33,120,1143.15,93.89
9503,161,161,1144.1,2,2,0.34,163,1144.44,89.93
9504,134,134,1215.07,0,0,0.34,134,1215.41,83.11
9505,148,148,1214.5,3,3,0.34,151,1214.84,94.1
9506,152,152,1196.41,4,4,0.33,156,1196.74,94.12
9507,121,121,1187.34,0,0,0.33,121,1187.67,94.16
9508,141,141,1201.09,0,0,0.33,141,1201.42,94.17
9509,114,114,1218.41,1,1,0.33,141,1218.74,94.2
9510,129,129,1235.78,0,0,0.33,129,1236.11,31.57
9511,116,116,1278.74,1,1,0.31,117,1279.05,32.03
9512,121,121,1305.81,2,2,0.31,123,1306.12,31.9
9601,118,118,1319.62,3,3,0.32,121,1319.94,32.14
9602,93,93,1336.61,1,1,0.32,94,1336.93,32.15
9603,138,138,1313.43,1,1,0.34,139,1313.77,31.23
9604,140,140,1342.2,1,1,0.34,141,1342.54,31.8
9605,141,141,1358.28,1,1,0.33,142,1358.61,31.88
9606,169,169,1422.69,1,1,0.33,170,1423.02,32.63
9607,171,171,1442.96,1,1,0.34,172,1443.3,31.25
9608,161,161,1370.55,1,1,0.65,162,1371.2,30.78
9609,109,109,1377.58,1,0,0.64,109,1378.22,31.4
9610,158,158,1396.95,4,4,0.64,162,1397.59,31.6
9611,131,131,1381.36,0,0,0.68,131,1382.04,31.05
9612,121,121,1374.94,0,0,0.7,121,1375.64,31.1
9701,150,150,1398.33,0,0,0.69,150,1399.02,31.73
9702,112,112,1470.83,0,0,0.69,112,1471.52,31.64
9703,148,148,1535.01,2,2,0.68,150,1535.69,31.29
9704,157,157,1532.83,0,0,0.68,157,1533.51,31.1
9705,142,142,1512.03,2,2,0.72,144,1512.75,31.21
9706,159,159,1499.69,2,2,0.73,161,1500.42,31.32
9707,132,132,1441.63,2,2,0.73,134,1442.36,30.43
9708,158,158,1391.9,1,1,0.74,159,1392.64,30.57
9709,93,93,1339.55,1,1,0.75,94,1340.3,30.73
9710,113,113,1264.33,0,0,0.75,113,1265.08,29.68
9711,79,79,1239.43,3,3,0.76,82,1240.19,28.9
9712,106,106,1246.89,1,1,0.76,107,1247.65,28.98
9801,54,54,1227.88,1,1,0.76,55,1228.64,28.42
9802,77,77,1221.71,1,1,0.76,78,1222.47,28.7
9803,92,92,1236.2,1,1,0.76,93,1236.96,28.33
9804,66,66,1264.49,0,0,0.76,66,1265.25,28.69
9805,83,83,1334.04,0,0,0.76,83,1334.8,28.6
9806,107,107,1343.05,0,0,0.77,107,1343.82,28.8
9807,103,103,1367.77,1,1,0.83,104,1368.6,29.31
9808,94,94,1367.09,3,3,0.84,97,1367.93,29.77
9809,101,101,1437.52,2,2,0.88,103,1438.4,30.42
9810,103,103,1466.77,1,1,0.88,104,1467.65,29.96
9811,102,102,1486.77,3,3,0.88,105,1487.65,29.8
9812,90,90,1512.5,2,2,0.93,92,1513.43,30.05
9901,90,90,1541.39,3,3,0.9,93,1541.32,30.16
9902,90,90,1522.34,1,1,0.96,91,1523.3,29.53
9903,154,154,1558.12,3,3,0.96,157,1559.08,29.81
9904,110,110,1604.43,3,3,0.95,113,1605.38,30.06
9905,115,115,1581.31,2,2,0.95,117,1582.26,29.9
9906,118,118,1588.25,9,9,0.96,127,1589.21,29.67
9907,126,126,1579.88,3,3,0.96,129,1580.84,30.67
9908,123,123,1553.36,5,5,0.97,128,1554.33,29.9
9909,113,113,1576.87,9,9,0.97,122,1577.84,30.25
9910,104,104,1598.77,19,19,0.99,123,1599.76,30.09
9911,145,145,1612.73,14,14,1.03,159,1613.76,30.95
