year,總計,焚化,衛生掩埋,巨大垃圾回收再利用,廚餘回收,資源回收,其他,平均每人每日垃圾產生量
2001,8333806,3736901,3015083,0,0,1056753,525070,1.029
2002,7984837,4316169,2130190,0,0,1241837,296642,0.982
2003,7708019,4306049,1712889,0,168601,1379158,141322,0.941
2004,7714959,4307737,1474166,0,299265,1552804,80987,0.932
2005,7828685,4300399,1184599,29575,464201,1809656,40255,0.945
2006,7791606,4163968,851015,28646,570176,2160112,17688,0.936
2007,7949448,4335770,504944,31230,662791,2382191,32523,0.951
2008,7537374,4137284,236123,44466,691194,2427561,747,0.896
2009,7746019,4036404,185765,65473,721472,2735591,1315,0.920
2010,7957601,3888641,181771,80217,769164,3035617,2191,0.942
2011,7554589,3468620,142155,80326,811199,3052215,74,0.892
2012,7403910,3277252,102052,88983,834541,3100996,85,0.869
2013,7334578,3208714,91355,84011,795213,3155210,75,0.861
2014,7369439,3189457,83136,65837,720373,3310560,76,0.863
