code,discipline,master_salary,碩士在職專班 ,university_salary,subject,field
1401,綜合教育學類,66694,83811,39105,教育學門,教育
1402,普通科目教育學類,64152,78445,37278,教育學門,教育
1403,專業科目教育學類,57882,80685,36175,教育學門,教育
1404,學前教育學類,50771,75409,31494,教育學門,教育
1405,成人教育學類,67144,79453,28416,教育學門,教育
1406,特殊教育學類,71112,75650,45705,教育學門,教育
1407,教育行政學類,69915,88500,33950,教育學門,教育
1408,教育科技學類,52934,84347,29565,教育學門,教育
1409,教育測驗評量學類,59172,72786,0,教育學門,教育
1499,其他教育學類,57022,84526,31201,教育學門,教育
2101,美術學類,42788,71641,29187,藝術學門,人文及藝術
2102,雕塑藝術學類,0,0,28519,藝術學門,人文及藝術
2103,美術工藝學類,0,0,24593,藝術學門,人文及藝術
2104,音樂學類,50582,70192,33165,藝術學門,人文及藝術
2105,戲劇舞蹈學類,50516,60312,32518,藝術學門,人文及藝術
2106,視覺藝術學類,44743,83027,28300,藝術學門,人文及藝術
2107,綜合藝術學類,53843,71259,30796,藝術學門,人文及藝術
2108,民俗藝術學類,0,0,32927,藝術學門,人文及藝術
2109,應用藝術學類,48340,72546,30802,藝術學門,人文及藝術
2110,藝術行政學類,46674,0,29165,藝術學門,人文及藝術
2201,台灣語文學類,51411,79368,30220,人文學門,人文及藝術
2202,中國語文學類,55646,78315,32146,人文學門,人文及藝術
2203,外國語文學類,45886,70527,31111,人文學門,人文及藝術
2204,其他語文學類,44807,77422,35910,人文學門,人文及藝術
2205,翻譯學類,42475,80950,29786,人文學門,人文及藝術
2207,語言學類,56850,0,33669,人文學門,人文及藝術
2208,宗教學類,49640,76745,27946,人文學門,人文及藝術
2209,歷史學類,48323,78868,32744,人文學門,人文及藝術
2210,人類學學類,47893,0,35421,人文學門,人文及藝術
2211,哲學學類,55445,86344,35148,人文學門,人文及藝術
2212,文獻學學類,42599,0,0,人文學門,人文及藝術
2299,其他人文學類,45052,78111,28950,人文學門,人文及藝術
2301,綜合設計學類,42368,60890,27967,設計學門,人文及藝術
2302,視覺傳達設計學類,35942,57149,27021,設計學門,人文及藝術
2303,產品設計學類,39943,71311,27968,設計學門,人文及藝術
2304,空間設計學類,32386,57294,26237,設計學門,人文及藝術
2399,其他設計學類,53553,82239,24429,設計學門,人文及藝術
3101,經濟學類,47891,81947,35605,社會及行為科學學門,社會科學、商業及法律
3102,政治學類,48173,87201,36402,社會及行為科學學門,社會科學、商業及法律
3103,社會學類,67037,77226,32953,社會及行為科學學門,社會科學、商業及法律
3104,民族學類,35223,87563,34259,社會及行為科學學門,社會科學、商業及法律
3105,心理學類,51172,77207,32392,社會及行為科學學門,社會科學、商業及法律
3106,地理學類,49492,78227,38897,社會及行為科學學門,社會科學、商業及法律
3107,區域研究學類,50333,83488,33051,社會及行為科學學門,社會科學、商業及法律
3108,公共行政學類,47778,83503,32551,社會及行為科學學門,社會科學、商業及法律
3109,國際事務學類,43522,84410,30236,社會及行為科學學門,社會科學、商業及法律
3110,綜合社會及行為科學學類,50769,81853,34870,社會及行為科學學門,社會科學、商業及法律
3201,一般大眾傳播學類,39888,79976,29400,傳播學門,社會科學、商業及法律
3202,新聞學類,48637,56093,33212,傳播學門,社會科學、商業及法律
3203,廣播電視學類,37989,72684,31819,傳播學門,社會科學、商業及法律
3204,公共關係學類,38626,72779,33211,傳播學門,社會科學、商業及法律
3205,博物館學類,45017,0,0,傳播學門,社會科學、商業及法律
3206,圖書資訊檔案學類,44304,69045,32241,傳播學門,社會科學、商業及法律
3207,圖文傳播學類,38543,52367,34778,傳播學門,社會科學、商業及法律
3208,廣告學類,39791,0,30202,傳播學門,社會科學、商業及法律
3299,其他傳播及資訊學類,0,85915,47995,傳播學門,社會科學、商業及法律
3401,一般商業學類,51550,79137,27875,商業及管理學門,社會科學、商業及法律
3402,會計學類,45863,79468,33294,商業及管理學門,社會科學、商業及法律
3403,企業管理學類,48024,96539,30451,商業及管理學門,社會科學、商業及法律
3404,貿易學類,46158,70540,30649,商業及管理學門,社會科學、商業及法律
