縣市別碼(新),鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
01,01,6,1410,739,482,189,789,139,739,50,0,139,0,0,0,61,0,0,33,65,0,0,84,0,0,0,0,0,12,0,0,15,70,142,0,0
01,02,5,1444,1064,380,0,1064,0,1064,0,0,0,0,0,0,62,0,4,23,63,3,0,37,0,0,0,0,0,2,0,0,19,52,115,0,0
01,09,2,3446,2065,841,540,2472,133,2065,407,0,133,0,0,0,165,0,0,35,119,12,20,186,46,0,12,0,0,15,0,0,27,51,153,0,0
01,10,4,1347,854,493,0,834,20,834,0,20,0,0,0,0,97,0,8,60,39,0,0,106,10,0,0,8,9,2,0,0,12,71,71,0,0
01,11,3,2121,1448,555,118,1566,0,1448,118,0,0,0,0,0,118,8,3,46,49,2,15,72,24,0,0,0,1,18,2,0,40,51,106,0,0
01,12,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,15,1,919,561,333,25,586,0,561,25,0,0,0,0,0,74,4,0,25,61,0,0,0,0,0,0,0,0,0,0,0,15,49,105,0,0
01,16,5,5038,3403,972,663,3758,308,3312,446,91,217,0,0,0,325,10,6,41,97,6,36,54,28,0,0,90,37,24,11,0,52,39,116,0,0
01,17,2,841,520,296,25,545,0,520,25,0,0,0,0,0,59,0,0,17,21,0,20,72,15,0,0,0,0,4,0,0,13,15,60,0,0
01,18,3,2692,1842,782,68,1910,0,1842,68,0,0,0,0,0,260,10,4,48,122,0,17,0,15,0,0,97,0,51,14,0,54,20,70,0,0
01,19,5,523,317,206,0,238,79,238,0,79,0,0,0,0,14,0,0,0,10,2,0,30,0,0,0,0,0,0,0,0,4,16,130,0,0
01,20,2,844,542,264,38,580,0,542,38,0,0,0,0,0,46,4,0,10,29,6,10,60,10,0,0,0,0,12,0,0,8,15,54,0,0
03,01,11,1151,724,401,26,705,45,679,26,45,0,0,0,0,49,4,0,10,31,2,0,122,15,0,0,0,0,0,0,0,10,45,113,0,0
03,02,2,193,126,67,0,96,30,96,0,30,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0,0
03,03,2,308,233,75,0,233,0,233,0,0,0,0,0,0,35,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1,0
03,04,2,450,0,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,05,1,1164,807,307,50,795,62,745,50,62,0,0,0,0,87,0,0,16,34,0,10,40,10,0,0,0,0,0,0,0,12,20,78,0,0
03,06,3,1480,852,448,180,832,200,752,80,100,100,0,0,0,90,10,0,20,31,10,0,140,20,0,0,0,0,0,0,0,6,20,101,0,0
03,09,1,1036,806,180,50,496,360,446,50,360,0,0,0,0,52,0,0,5,22,4,18,0,10,0,0,0,0,1,0,0,10,6,52,0,0
03,10,2,260,157,103,0,157,0,157,0,0,0,0,0,0,12,0,0,0,7,0,0,58,0,0,0,0,0,0,0,0,3,0,23,0,0
03,12,1,248,0,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03,15,1,99,44,55,0,44,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,1,0,13,0,0
03,18,3,194,99,95,0,99,0,99,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,2,0,30,0,0
03,19,3,1084,657,151,276,783,150,657,126,0,150,0,0,0,47,4,0,7,23,0,0,0,0,0,0,0,0,0,0,0,8,15,47,0,0
03,20,3,736,524,212,0,524,0,524,0,0,0,0,0,0,40,0,0,10,26,4,0,30,10,0,0,0,0,4,0,0,11,12,65,0,0
03,22,3,512,340,172,0,340,0,340,0,0,0,0,0,0,33,0,0,9,10,8,0,63,0,0,0,0,0,0,0,0,5,15,29,0,0
03,23,3,285,133,152,0,133,0,133,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,0,2,45,66,0,0
03,24,3,1012,388,184,440,478,350,388,90,0,350,0,0,0,31,4,0,7,10,4,0,30,10,0,0,0,0,31,0,0,6,15,36,0,0
03,25,4,1494,920,310,264,1045,139,920,125,0,139,0,0,0,95,5,0,20,37,11,0,20,16,0,0,0,0,0,0,0,23,25,58,0,0
03,26,7,2725,1685,745,295,1770,210,1685,85,0,210,0,0,0,170,6,0,50,74,3,18,99,59,0,0,0,0,0,0,0,28,53,185,0,0
03,27,2,2190,1450,670,70,1520,0,1450,70,0,0,0,0,0,203,8,0,36,120,15,18,40,22,0,0,0,19,20,0,0,45,45,79,0,0
03,28,3,796,510,286,0,510,0,510,0,0,0,0,0,0,54,0,0,17,20,2,0,60,15,0,0,0,0,0,0,0,5,33,80,0,0
03,29,6,351,249,102,0,179,70,179,0,70,0,0,0,0,0,0,0,0,7,0,6,70,0,0,0,0,0,0,0,0,4,0,15,0,0
05,01,4,472,184,188,100,184,100,184,0,0,100,0,0,0,16,0,0,0,14,0,0,89,0,0,0,0,0,0,0,0,3,0,65,1,0
05,03,1,75,20,55,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,25,0,0
05,04,1,326,249,77,0,249,0,249,0,0,0,0,0,0,20,0,0,5,5,0,0,0,0,0,0,0,0,2,0,0,4,12,29,0,0
05,05,2,344,188,156,0,186,2,186,0,2,0,0,0,0,27,0,0,0,15,0,0,54,0,0,0,0,0,2,0,0,2,0,56,0,0
05,06,2,275,64,11,200,47,217,47,0,17,200,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
05,07,2,79,40,39,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0
05,09,1,869,642,227,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,0,1,5,4,0,0,13,7,50,0,0
05,27,2,604,102,2,500,284,318,102,182,0,318,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,31,4,2084,1393,533,158,1081,470,1043,38,350,120,0,0,0,120,0,8,28,86,8,15,86,16,0,0,3,1,3,2,0,12,20,125,0,0
05,32,3,999,641,334,24,665,0,641,24,0,0,0,0,0,72,0,0,11,45,2,15,60,12,0,0,0,0,0,0,0,15,27,75,0,0
05,33,1,40,0,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,34,7,1417,780,483,154,854,80,770,84,10,70,0,0,0,72,0,0,15,22,26,12,123,12,0,0,0,0,0,0,0,13,46,140,2,0
05,35,5,1418,996,392,30,1016,10,986,30,10,0,0,0,0,124,4,14,23,60,6,20,20,12,0,0,5,0,0,0,0,12,40,52,0,0
05,37,1,318,219,79,20,239,0,219,20,0,0,0,0,0,20,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,3,16,15,0,0
07,01,8,482,249,233,0,249,0,249,0,0,0,0,0,0,16,0,0,0,15,9,0,108,0,0,0,0,0,0,0,0,3,22,60,0,0
07,02,6,559,288,163,108,316,80,258,58,30,50,0,0,0,7,0,0,0,26,3,0,39,0,0,0,0,0,0,0,0,8,6,74,0,0
07,03,5,586,241,225,120,261,100,241,20,0,100,0,0,0,26,0,0,0,15,0,0,80,0,0,0,0,0,10,0,0,7,6,81,0,0
07,04,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,05,2,266,187,79,0,187,0,187,0,0,0,0,0,0,15,0,0,0,8,0,0,24,0,0,0,1,0,0,0,0,2,0,29,0,0
07,06,3,370,45,26,299,115,229,45,70,0,229,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0
07,10,1,2715,1751,714,250,1538,463,1388,150,363,100,0,0,0,203,14,0,40,130,55,10,0,20,0,0,0,0,0,0,0,20,30,192,0,0
07,11,1,60,36,24,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
07,12,2,1436,900,306,230,980,150,900,80,0,150,0,0,0,84,1,0,15,60,23,0,0,10,0,0,0,0,0,0,0,21,10,82,0,0
07,14,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07,15,2,86,24,62,0,24,0,24,0,0,0,0,0,0,0,0,0,0,2,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
