鄉鎮市區代碼,鄉鎮市區名稱
0101,臺北市松山區
0102,臺北市大安區
0109,臺北市大同區
0110,臺北市中山區
0111,臺北市內湖區
0112,臺北市南港區
0115,臺北市士林區
0116,臺北市北投區
0117,臺北市信義區
0118,臺北市中正區
0119,臺北市萬華區
0120,臺北市文山區
0301,臺中市豐原區
0302,臺中市東勢區
0303,臺中市大甲區
0304,臺中市清水區
0305,臺中市沙鹿區
0306,臺中市梧棲區
0307,臺中市后里區
0308,臺中市神岡區
0309,臺中市潭子區
0310,臺中市大雅區
0311,臺中市新社區
0312,臺中市石岡區
0313,臺中市外埔區
0314,臺中市大安區
0315,臺中市烏日區
0316,臺中市大肚區
0317,臺中市龍井區
0318,臺中市霧峰區
0319,臺中市太平區
0320,臺中市大里區
0321,臺中市和平區
0322,臺中市中區
0323,臺中市東區
0324,臺中市西區
0325,臺中市南區
0326,臺中市北區
0327,臺中市西屯區
0328,臺中市南屯區
0329,臺中市北屯區
0501,臺南市新營區
0502,臺南市鹽水區
0503,臺南市白河區
0504,臺南市麻豆區
0505,臺南市佳里區
0506,臺南市新化區
0507,臺南市善化區
0508,臺南市學甲區
0509,臺南市柳營區
0510,臺南市後壁區
0511,臺南市東山區
0512,臺南市下營區
0513,臺南市六甲區
0514,臺南市官田區
0515,臺南市大內區
0516,臺南市西港區
0517,臺南市七股區
0518,臺南市將軍區
0519,臺南市北門區
0520,臺南市新市區
0521,臺南市安定區
0522,臺南市山上區
0523,臺南市玉井區
0524,臺南市楠西區
0525,臺南市南化區
0526,臺南市左鎮區
0527,臺南市仁德區
0528,臺南市歸仁區
0529,臺南市關廟區
0530,臺南市龍崎區
0531,臺南市永康區
0532,臺南市東區
0533,臺南市南區
0534,臺南市中西區
0535,臺南市北區
0537,臺南市安南區
0538,臺南市安平區
0701,高雄市鳳山區
0702,高雄市岡山區
0703,高雄市旗山區
0704,高雄市美濃區
0705,高雄市林園區
0706,高雄市大寮區
0707,高雄市大樹區
0708,高雄市仁武區
0709,高雄市大社區
0710,高雄市鳥松區
0711,高雄市橋頭區
0712,高雄市燕巢區
0713,高雄市田寮區
0714,高雄市阿蓮區
0715,高雄市路竹區
0716,高雄市湖內區
0717,高雄市茄萣區
0718,高雄市永安區
0719,高雄市彌陀區
0720,高雄市梓官區
0721,高雄市六龜區
0722,高雄市甲仙區
0723,高雄市杉林區
0724,高雄市內門區
0725,高雄市茂林區
0726,高雄市桃源區
0727,高雄市那瑪夏區
0728,高雄市鹽埕區
0729,高雄市鼓山區
0730,高雄市左營區
0731,高雄市楠梓區
0732,高雄市三民區
0733,高雄市新興區
0734,高雄市前金區
0735,高雄市苓雅區
0736,高雄市前鎮區
0737,高雄市旗津區
0738,高雄市小港區
1101,基隆市中正區
1102,基隆市七堵區
