country,hospHumanNumber,hospNumber,hospBedNumber,population
基隆市,2338,8,2296,372985
臺北市,31283,39,20660,2705949
新北市,13930,58,12610,3964888
桃園市,13546,34,12096,2077929
新竹市,3019,8,2363,432559
新竹縣,1408,9,2075,538153
苗栗縣,2219,15,2843,566199
臺中市,19742,66,17768,2727460
彰化縣,7795,32,6967,1289792
南投縣,2359,11,3014,512460
雲林縣,3116,15,3259,702881
嘉義市,4009,12,3669,271009
嘉義縣,3231,4,3098,522587
臺南市,11909,36,9320,1885287
高雄市,20902,89,16954,2778914
屏東縣,4564,26,5272,845079
宜蘭縣,3234,10,3673,458273
花蓮縣,3340,11,4197,332674
臺東縣,1286,7,1295,223559
連江縣,46,1,46,12485
金門縣,254,1,251,129423
澎湖縣,386,3,471,101842
