Year,Top 10% income share,Top 5% income share,Top 1% income share,Top 0.1% income share,Top 0.01% income share,Top 10-5% income share,Top 5-1% income share,Top 0.1-0.01% income share,"Top 1% income composition-Wages, salaries and pensions",Top 1% income composition-Capital income,Top 1% income composition-Entrepreneurial income,Top 1% income composition-Other,"Top 0.1% income composition-Wages, salaries and pensions",Top 0.1% income composition-Capital income,Top 0.1% income composition-Entrepreneurial income,Top 0.1% income composition-Other,"Top 0.01% income composition-Wages, salaries and pensions",Top 0.01% income composition-Capital income,Top 0.01% income composition-Entrepreneurial income,Top 0.01% income composition-Other,Number of tax units,Number of tax returns,Income control,Price index,Average income per tax unit,Top 10% average income,Top 5% average income,Top 1% average income,Top 0.1% average income,Top 0.01% average income,Bottom 90% average income,Top 10-5% average income,Top 5-1% average income,Top 0.1-0.01% average income,P90 income threshold,P95 income threshold,P99 income threshold,P99.9 income threshold,P99.99 income threshold,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
1977,25.21,16.88,6.52,1.9,0.71,8.33,10.36,1.19,,,,,,,,,,,,,6017.012,2100.819,271161.2311,0.358890715,125.5696,316.51,423.92,818.37,2386.45,8932.49,104.35,209.11,325.31,1659.11,,,,,,2.151,1.868
1978,25.28,16.81,6.55,2.03,0.85,8.46,10.27,1.18,,,,,,,,,,,,,6218.728,2297.569,333329.6468,0.379625696,141.19417,356.87,474.83,924.7,2862.32,11968.28,117.23,238.91,362.36,1850.55,,,,,,2.038,1.964
1979,24.29,16.07,6.24,1.87,0.7,8.22,9.83,1.17,,,,,,,,,,,,,6441.68,2444.154,400865.593,0.416647297,149.35889,362.79,479.93,931.65,2786.71,10410.28,125.64,245.64,367,1939.65,0,0,0,0,0,2.102,1.908
1980,23.43,15.55,6.03,1.8,0.68,7.87,9.52,1.12,,,,,,,,,,,,,6646.302,2653.277,495124.5814,0.495884262,150.22911,351.91,467.35,905.83,2697.53,10188.39,127.82,236.48,357.72,1865.21,0,0,0,0,0,2.11,1.901
1981,23.64,15.63,5.93,1.75,0.68,8,9.7,1.07,,,,,,,,,,,,,6845.321,2763.622,603452.1733,0.576812407,152.83205,361.24,477.87,906.17,2672.54,10320.02,129.68,244.61,370.8,1822.82,0,0,0,0,0,2.129,1.886
1982,24.91,16.53,6.2,1.69,0.64,8.39,10.33,1.06,,,,,,,,,,,,,7062.798,2871.611,689987.2743,0.593852443,164.50752,409.86,543.84,1020.14,2784.02,10472.36,137.25,275.89,424.76,1929.76,0,0,0,0,0,2.294,1.773
1983,24.92,16.51,6.18,1.63,0.54,8.4,10.33,1.09,,,,,,,,,,,,,7259.876,2920.102,778950.7675,0.601971707,178.23982,444.1,588.67,1101.93,2905.56,9656.55,148.7,299.53,460.35,2155.45,0,0,0,0,0,2.375,1.727
1984,25.89,17.2,6.5,1.74,0.61,8.7,10.7,1.13,,,,,,,,,,,,,7487.815,3129.869,890574.0519,0.601795375,197.63601,511.75,679.68,1284.32,3439.85,12046.57,162.73,343.83,528.52,2483.55,0,0,0,0,0,2.337,1.748
1985,27.08,18.07,6.84,1.93,0.75,9.02,11.23,1.18,,,,,,,,,,,,,7696.631,3213.971,965827.7905,0.600833567,208.85498,565.59,754.6,1428.22,4021.2,15635.65,169.22,376.58,586.2,2730.71,0,0,0,0,0,2.224,1.817
1986,27.06,17.95,6.73,1.84,0.65,9.11,11.22,1.19,,,,,,,,,,,,,7897.513,3463.133,1077275.317,0.605017433,225.45946,610.09,809.23,1517.12,4145.98,14658.59,182.72,410.95,632.26,2977.91,,,,,,2.29,1.775
