age,value
0,3333
1,3534
2,3216
3,3908
4,3409
5,3114
6,3523
7,3704
8,4023
9,4189
10,4399
11,4628
12,4788
13,5417
14,5780
15,6448
16,6190
17,6023
18,7237
19,7258
20,7282
21,7587
22,7562
23,7379
24,7233
25,7401
26,6938
27,7511
28,6817
29,6475
30,7161
31,7407
32,7727
33,7873
34,7942
35,7785
36,7941
37,7326
38,7222
39,7731
40,6701
41,6546
42,6680
43,6934
44,7272
45,7640
46,7823
47,8009
48,7420
49,8279
50,8145
51,8323
52,8695
53,8620
54,8445
55,8428
56,8415
57,7846
58,7434
59,7559
60,7501
61,7059
62,6652
63,6567
64,6567
65,5544
66,5134
67,4629
68,3863
69,3410
70,3132
71,3463
72,3467
73,3704
74,3777
75,3663
76,3609
77,3171
78,3184
79,2833
80,2718
81,2454
82,2325
83,2131
84,2050
85,1773
86,1470
87,1345
88,1100
89,947
90,701
91,472
92,422
93,297
94,250
95,151
96,99
97,82
98,53
99,34
100,52
