age,value
0,1501
1,1744
2,1643
3,1854
4,1660
5,1534
6,1655
7,1756
8,1825
9,1996
10,2010
11,2037
12,2165
13,2393
14,2463
15,2820
16,2707
17,2645
18,3127
19,3149
20,3109
21,3085
22,3105
23,3105
24,3061
25,2994
26,2831
27,2994
28,2676
29,2800
30,2874
31,3075
32,3254
33,3444
34,3413
35,3352
36,3288
37,3410
38,3226
39,3570
40,3204
41,3190
42,3345
43,3530
44,3558
45,3613
46,3645
47,3544
48,3618
49,3696
50,3644
51,3710
52,3876
53,3728
54,3552
55,3477
56,3500
57,3384
58,3268
59,3209
60,3267
61,2884
62,2915
63,2845
64,2816
65,2304
66,2280
67,1899
68,1940
69,1435
70,1307
71,1491
72,1603
73,1495
74,1470
75,1427
76,1358
77,1257
78,1201
79,1120
80,1061
81,1006
82,826
83,774
84,786
85,690
86,650
87,541
88,476
89,382
90,345
91,233
92,193
93,169
94,114
95,85
96,49
97,33
98,25
99,15
100,44
