age,value
0,2050
1,2173
2,2033
3,2505
4,2248
5,2077
6,2421
7,2614
8,2626
9,2734
10,2755
11,3096
12,3220
13,3447
14,3606
15,4247
16,3908
17,3459
18,4150
19,3983
20,4028
21,3899
22,3797
23,3675
24,3533
25,3787
26,3364
27,3726
28,3402
29,3277
30,3661
31,3919
32,3967
33,4233
34,4321
35,4278
36,4311
37,4441
38,4152
39,4727
40,4031
41,3949
42,3973
43,4022
44,4205
45,4271
46,4333
47,4296
48,4017
49,4517
50,4167
51,4206
52,4385
53,4093
54,4093
55,3995
56,3769
57,3835
58,3531
59,3659
60,3647
61,3347
62,3160
63,3318
64,3263
65,2554
66,2529
67,2266
68,1992
69,1592
70,1426
71,1652
72,1665
73,1609
74,1571
75,1576
76,1425
77,1361
78,1306
79,1165
80,1170
81,1023
82,944
83,845
84,791
85,750
86,621
87,544
88,479
89,412
90,295
91,247
92,166
93,131
94,124
95,61
96,37
97,32
98,24
99,16
100,33
