age,value
0,2921
1,3028
2,2959
3,3607
4,3055
5,2699
6,3149
7,3320
8,3573
9,3755
10,4192
11,4219
12,4622
13,5240
14,5397
15,6644
16,5893
17,6044
18,7160
19,7093
20,7038
21,7040
22,7194
23,6882
24,7047
25,7186
26,6526
27,7093
28,6656
29,6295
30,6963
31,7508
32,7483
33,7691
34,7909
35,7915
36,7796
37,7785
38,7681
39,7822
40,7029
41,6955
42,7281
43,7217
44,7666
45,7906
46,7891
47,8211
48,7901
49,8833
50,8496
51,8628
52,8945
53,8838
54,8863
55,8662
56,8513
57,7957
58,7402
59,7716
60,7378
61,7058
62,6815
63,6737
64,7018
65,5624
66,5491
67,5074
68,4285
69,3376
70,3300
71,4054
72,4080
73,4157
74,4348
75,4386
76,4207
77,4027
78,3679
79,3624
80,3376
81,3284
82,3048
83,2549
84,2564
85,2318
86,1880
87,1543
88,1292
89,1122
90,770
91,631
92,475
93,370
94,341
95,181
96,130
97,84
98,79
99,31
100,63
