age,value
0,2254
1,2082
2,2105
3,2604
4,2154
5,2136
6,2600
7,2712
8,2923
9,2911
10,2899
11,3130
12,3292
13,3645
14,3826
15,4873
16,4450
17,4325
18,5122
19,5291
20,5394
21,5339
22,5426
23,5317
24,5462
25,5608
26,5039
27,5463
28,4700
29,4593
30,4828
31,5122
32,5186
33,5653
34,5785
35,5591
36,5663
37,5692
38,5615
39,5997
40,5416
41,5496
42,5580
43,5681
44,5963
45,6120
46,6250
47,6293
48,6083
49,6358
50,6459
51,6539
52,6656
53,6644
54,6557
55,6445
56,6573
57,6310
58,5868
59,5976
60,5966
61,5462
62,5277
63,5273
64,4919
65,4308
66,3961
67,3296
68,2894
69,1929
70,1730
71,2291
72,2331
73,2317
74,2273
75,2371
76,2145
77,1886
78,1747
79,1603
80,1448
81,1358
82,1230
83,1109
84,1087
85,995
86,866
87,786
88,694
89,586
90,483
91,332
92,283
93,249
94,177
95,99
96,61
97,70
98,46
99,22
100,71
