age,value
0,5074
1,5505
2,5092
3,6467
4,5395
5,4873
6,5664
7,6078
8,6299
9,6782
10,6958
11,7467
12,7868
13,8643
14,8914
15,10537
16,9758
17,9739
18,11978
19,12326
20,12294
21,12331
22,12057
23,11782
24,11625
25,11925
26,11133
27,12356
28,10848
29,10684
30,11687
31,12359
32,12622
33,13025
34,13444
35,13407
36,13586
37,13323
38,13012
39,13871
40,11940
41,11735
42,11845
43,11953
44,12708
45,13143
46,13111
47,13519
48,13014
49,13939
50,13667
51,14060
52,13967
53,14187
54,14033
55,13726
56,13669
57,12807
58,12711
59,12716
60,12464
61,11806
62,11425
63,10968
64,11456
65,9474
66,8477
67,8017
68,6849
69,5360
70,4899
71,5932
72,5874
73,5943
74,5989
75,5695
76,5376
77,5082
78,4722
79,4465
80,4145
81,3704
82,3468
83,2914
84,2876
85,2629
86,2220
87,1744
88,1470
89,1158
90,929
91,657
92,506
93,428
94,287
95,218
96,135
97,85
98,57
99,39
100,73
