age,value
0,12529
1,11594
2,10286
3,12497
4,10480
5,8879
6,10586
7,11044
8,11277
9,11699
10,11932
11,12998
12,13537
13,14526
14,14993
15,17404
16,16457
17,15647
18,18480
19,18497
20,18168
21,18072
22,18641
23,18594
24,18248
25,19334
26,18119
27,19745
28,18293
29,18306
30,20195
31,21350
32,21667
33,22304
34,22568
35,22042
36,22262
37,21581
38,20445
39,20994
40,18821
41,17930
42,17652
43,17443
44,17810
45,17985
46,18296
47,18344
48,17454
49,19395
50,18809
51,19493
52,19860
53,19496
54,19546
55,18957
56,18688
57,18465
58,16578
59,17768
60,16978
61,16022
62,15201
63,14776
64,15250
65,12810
66,11674
67,10476
68,9401
69,7456
70,6754
71,7963
72,8227
73,8229
74,8282
75,8284
76,8052
77,7211
78,7053
79,6774
80,6235
81,5846
82,5374
83,4964
84,4543
85,3855
86,3225
87,2723
88,2470
89,1980
90,1596
91,1117
92,918
93,734
94,525
95,355
96,257
97,157
98,96
99,60
100,109
