age,value
0,33052
1,35972
2,32147
3,37903
4,31818
5,27469
6,32667
7,33347
8,34179
9,34285
10,33168
11,34983
12,36084
13,38821
14,41117
15,49701
16,46042
17,43784
18,52688
19,53062
20,54040
21,54079
22,55655
23,55200
24,55037
25,58332
26,53981
27,59351
28,53560
29,51857
30,59103
31,63641
32,65796
33,70204
34,71860
35,70989
36,73074
37,71319
38,67860
39,73964
40,63390
41,62794
42,61978
43,61404
44,62724
45,64131
46,64148
47,63577
48,60640
49,64824
50,65364
51,65770
52,67739
53,66140
54,64815
55,64534
56,64239
57,62386
58,58431
59,60934
60,59266
61,55383
62,53261
63,51522
64,50884
65,42417
66,38811
67,32690
68,28600
69,22246
70,19139
71,21846
72,21366
73,19830
74,19044
75,17971
76,16006
77,14015
78,13184
79,11683
80,10812
81,9663
82,8918
83,8551
84,8033
85,7458
86,6739
87,5910
88,5026
89,4382
90,3535
91,2684
92,2145
93,1815
94,1418
95,918
96,679
97,488
98,335
99,230
100,588
