age,value
0,5301
1,5963
2,5712
3,7144
4,6152
5,5212
6,6244
7,6198
8,6292
9,6060
10,5975
11,6081
12,6146
13,6565
14,6792
15,7656
16,7009
17,6569
18,7884
19,7855
20,7639
21,7857
22,7568
23,7335
24,7307
25,7515
26,6773
27,7206
28,6308
29,6404
30,7179
31,7874
32,8434
33,9284
34,9715
35,9711
36,10144
37,10089
38,9620
39,10637
40,8962
41,9161
42,9041
43,8678
44,8833
45,8914
46,8715
47,8353
48,7729
49,8321
50,8185
51,7911
52,8055
53,7810
54,7500
55,7375
56,6909
57,6629
58,6073
59,6291
60,6059
61,5588
62,5331
63,5131
64,5119
65,4284
66,4044
67,3362
68,3049
69,2679
70,2380
71,2896
72,3022
73,2976
74,3150
75,3014
76,2829
77,2641
78,2553
79,2276
80,2143
81,1914
82,1736
83,1658
84,1555
85,1452
86,1195
87,1126
88,913
89,774
90,596
91,463
92,381
93,253
94,179
95,128
96,105
97,75
98,55
99,44
100,60
