age,value
0,21861
1,20757
2,18912
3,22841
4,20071
5,17015
6,20507
7,21328
8,21784
9,21566
10,21863
11,22813
12,23636
13,25570
14,26330
15,31268
16,28505
17,26749
18,31715
19,31150
20,31320
21,30885
22,30713
23,30308
24,29906
25,31249
26,28977
27,31206
28,28189
29,27369
30,31310
31,34173
32,35836
33,38040
34,38922
35,38397
36,39050
37,37760
38,36027
39,39101
40,33890
41,33275
42,32950
43,33278
44,33869
45,34582
46,34273
47,33552
48,31752
49,33455
50,33528
51,33268
52,33542
53,32308
54,30697
55,30102
56,29646
57,28442
58,26643
59,27217
60,25943
61,24432
62,22636
63,22323
64,21568
65,17874
66,16689
67,13991
68,12081
69,10026
70,8714
71,9763
72,9666
73,9136
74,8827
75,8394
76,7698
77,7003
78,6518
79,5854
80,5429
81,5075
82,4719
83,4791
84,4839
85,4836
86,4388
87,3843
88,3081
89,2571
90,2174
91,1517
92,1139
93,853
94,676
95,463
96,319
97,208
98,157
99,99
100,219
