age,value
0,848
1,911
2,865
3,924
4,712
5,574
6,631
7,616
8,663
9,735
10,745
11,767
12,863
13,883
14,955
15,1156
16,1033
17,1017
18,1581
19,1625
20,1736
21,1715
22,1766
23,1687
24,1485
25,1520
26,1341
27,1589
28,1409
29,1360
30,1493
31,1679
32,1656
33,1691
34,1732
35,1738
36,1688
37,1715
38,1594
39,1742
40,1491
41,1529
42,1498
43,1477
44,1515
45,1526
46,1498
47,1586
48,1570
49,1617
50,1570
51,1624
52,1533
53,1610
54,1619
55,1522
56,1483
57,1483
58,1430
59,1406
60,1329
61,1238
62,1220
63,1197
64,1185
65,1085
66,969
67,794
68,662
69,772
70,573
71,650
72,600
73,600
74,628
75,630
76,627
77,541
78,583
79,623
80,576
81,544
82,486
83,509
84,457
85,415
86,332
87,293
88,263
89,202
90,177
91,122
92,113
93,85
94,69
95,57
96,31
97,15
98,9
99,7
100,9
