age,value
0,24897
1,27362
2,25653
3,31743
4,26790
5,22183
6,25300
7,25644
8,27067
9,26396
10,26598
11,28091
12,28809
13,31512
14,33201
15,39069
16,36872
17,33807
18,41412
19,41158
20,40439
21,39950
22,40261
23,39660
24,39218
25,41086
26,38188
27,41629
28,37965
29,37106
30,41950
31,44963
32,45946
33,48612
34,49737
35,49334
36,50109
37,48436
38,45844
39,48808
40,42537
41,40954
42,41465
43,41636
44,42247
45,43473
46,43714
47,43776
48,41574
49,43729
50,42761
51,43559
52,43583
53,42538
54,41241
55,40493
56,39759
57,37706
58,35393
59,36438
60,35340
61,33496
62,31712
63,30100
64,30100
65,25741
66,22518
67,19767
68,16992
69,14033
70,12476
71,13710
72,13498
73,13294
74,12701
75,12350
76,11653
77,10119
78,9783
79,8724
80,8050
81,7496
82,6797
83,6480
84,5941
85,5621
86,4893
87,4199
88,3607
89,2973
90,2338
91,1740
92,1275
93,1107
94,804
95,518
96,337
97,250
98,183
99,124
100,224
