age,value
0,27783
1,31224
2,28814
3,33507
4,28315
5,21701
6,22046
7,21307
8,22203
9,21660
10,21775
11,22670
12,23435
13,25249
14,25739
15,30672
16,28358
17,26384
18,31187
19,30165
20,31297
21,30147
22,30004
23,29730
24,29395
25,31905
26,29662
27,33487
28,30922
29,31374
30,36518
31,40528
32,43378
33,46538
34,48977
35,47998
36,49188
37,47551
38,43503
39,49981
40,41404
41,41340
42,40473
43,40253
44,41540
45,42479
46,42432
47,41583
48,39590
49,41306
50,41161
51,42366
52,42461
53,41409
54,40754
55,41468
56,41350
57,41280
58,39572
59,41299
60,40816
61,38744
62,38275
63,37850
64,38146
65,33620
66,31764
67,27295
68,24523
69,19216
70,16454
71,18444
72,18428
73,17642
74,17049
75,16678
76,15353
77,13742
78,12879
79,11783
80,11385
81,10248
82,9668
83,9608
84,9130
85,8540
86,7792
87,6978
88,6005
89,5382
90,4573
91,3557
92,2820
93,2405
94,1896
95,1313
96,902
97,635
98,459
99,270
100,746
