age,value
0,14932
1,15606
2,14844
3,18675
4,15164
5,12603
6,15029
7,15306
8,15550
9,15619
10,15822
11,16253
12,17178
13,18456
14,19583
15,23632
16,21578
17,20305
18,25074
19,24695
20,25175
21,24909
22,25867
23,24755
24,25347
25,26663
26,24891
27,27937
28,25404
29,24441
30,27850
31,30168
32,30737
33,32416
34,33410
35,32746
36,33473
37,32554
38,30862
39,33112
40,28320
41,27346
42,27526
43,26981
44,28022
45,28825
46,29474
47,29654
48,28231
49,30989
50,30261
51,31081
52,31240
53,31417
54,31593
55,30797
56,30152
57,28928
58,27901
59,28081
60,26667
61,25341
62,24055
63,23127
64,24117
65,19577
66,18087
67,16434
68,13578
69,10574
70,9563
71,11539
72,11883
73,10887
74,11485
75,11075
76,10223
77,9609
78,9148
79,8719
80,8528
81,8009
82,6854
83,6330
84,6118
85,5576
86,4675
87,4088
88,3225
89,2843
90,2067
91,1665
92,1160
93,973
94,766
95,535
96,313
97,230
98,171
99,97
100,190
