age,value
0,2530
1,2688
2,2639
3,2802
4,2560
5,2347
6,2510
7,2539
8,2686
9,2795
10,2802
11,3067
12,3158
13,3407
14,3618
15,4196
16,3967
17,3889
18,4696
19,4779
20,4793
21,4780
22,4896
23,4714
24,4595
25,4616
26,4301
27,4482
28,4086
29,4119
30,4443
31,4850
32,4921
33,5181
34,5290
35,5139
36,5217
37,5132
38,4958
39,5393
40,4807
41,4803
42,4817
43,4939
44,5045
45,5280
46,5271
47,5193
48,5128
49,5120
50,5402
51,5344
52,5340
53,5337
54,5476
55,5252
56,5343
57,5094
58,5001
59,5040
60,5054
61,4674
62,4327
63,4266
64,4310
65,3728
66,3362
67,2812
68,2685
69,2239
70,1961
71,2269
72,2249
73,2336
74,2035
75,2061
76,1883
77,1741
78,1693
79,1499
80,1482
81,1352
82,1265
83,1103
84,1067
85,1023
86,911
87,743
88,719
89,626
90,469
91,325
92,291
93,232
94,163
95,128
96,88
97,47
98,30
99,31
100,53
