age,value
0,5375
1,5940
2,5292
3,5882
4,4724
5,3898
6,4658
7,4838
8,5040
9,5091
10,5052
11,5534
12,5530
13,6183
14,6301
15,7148
16,6741
17,6168
18,7672
19,7999
20,7830
21,7952
22,8190
23,8074
24,7943
25,8348
26,7899
27,8355
28,7755
29,7417
30,8209
31,9020
32,9237
33,9705
34,9647
35,9358
36,9531
37,8952
38,8523
39,8716
40,7909
41,7667
42,7725
43,7840
44,8109
45,8237
46,8343
47,8262
48,7684
49,8419
50,8184
51,8542
52,8966
53,8653
54,8799
55,8439
56,8628
57,7794
58,7587
59,7713
60,7311
61,7175
62,6614
63,6689
64,6352
65,5508
66,5062
67,4342
68,4075
69,3332
70,3227
71,3624
72,3731
73,3784
74,3820
75,3876
76,3697
77,3325
78,3461
79,2748
80,2907
81,2786
82,2365
83,2337
84,2138
85,1903
86,1742
87,1475
88,1198
89,995
90,783
91,564
92,474
93,384
94,288
95,199
96,127
97,86
98,56
99,46
100,79
