age,value
0,144
1,170
2,134
3,133
4,118
5,76
6,87
7,79
8,97
9,89
10,94
11,66
12,94
13,96
14,94
15,132
16,148
17,119
18,179
19,149
20,151
21,165
22,187
23,191
24,215
25,210
26,178
27,205
28,173
29,175
30,184
31,237
32,182
33,224
34,213
35,218
36,241
37,206
38,191
39,208
40,198
41,205
42,198
43,189
44,210
45,233
46,179
47,168
48,216
49,227
50,234
51,196
52,263
53,217
54,213
55,203
56,248
57,224
58,207
59,212
60,204
61,194
62,161
63,142
64,123
65,104
66,99
67,110
68,94
69,79
70,51
71,47
72,43
73,46
74,40
75,36
76,44
77,41
78,48
79,34
80,32
81,30
82,39
83,26
84,29
85,22
86,18
87,17
88,12
89,18
90,14
91,11
92,12
93,12
94,2
95,6
96,7
97,2
98,2
99,1
100,3
