age,value
0,21338
1,22661
2,21259
3,25513
4,21668
5,18252
6,21491
7,21996
8,22725
9,23045
10,23583
11,24088
12,25571
13,27605
14,28792
15,35927
16,32412
17,30608
18,36958
19,37109
20,37277
21,37290
22,37738
23,36638
24,36970
25,38843
26,35789
27,40206
28,35734
29,34742
30,39648
31,42905
32,44265
33,46908
34,47994
35,48304
36,49690
37,48574
38,46691
39,51080
40,44438
41,43830
42,43545
43,43160
44,44179
45,45522
46,44630
47,45051
48,42672
49,45057
50,43912
51,44664
52,44751
53,44654
54,44195
55,43706
56,42797
57,42070
58,40718
59,41786
60,41401
61,39001
62,37969
63,36865
64,38010
65,32137
66,28914
67,26069
68,21666
69,17027
70,15582
71,17982
72,17476
73,16494
74,16381
75,15332
76,14053
77,12877
78,11728
79,10425
80,9998
81,9001
82,7980
83,7493
84,7126
85,6537
86,5633
87,4933
88,3999
89,3519
90,2767
91,2034
92,1471
93,1145
94,937
95,577
96,380
97,278
98,180
99,99
100,218
