year,總計,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射線科(放射線診斷),放射線科(放射線腫瘤),放射線科(放射線核醫),急診醫學科,病理科(解剖病理),病理科(臨床病理),核子醫學科,整形外科,口腔顎面外科,口腔病理科,職業醫學科,齒顎矯正科
88,1478,83,278,161,147,66,45,28,22,25,76,69,-,52,39,13,17,8,-,123,14,4,4,19,185,…,…,…,
89,1250,98,239,169,149,62,50,32,18,27,64,66,31,43,39,23,17,9,-,71,9,2,3,16,13,…,…,…,
90,1340,107,293,131,184,62,57,28,16,29,60,63,37,44,44,20,17,3,-,99,6,6,6,20,8,…,…,…,
91,1641,103,328,157,209,50,51,32,18,32,64,55,36,53,45,17,25,4,-,113,10,6,6,23,10,59,135,…,
92,1595,109,351,186,209,67,44,44,17,39,63,37,41,68,40,29,27,6,-,101,15,7,9,20,7,1,58,…,
93,1518,106,320,178,144,54,69,31,22,38,73,56,42,48,48,50,40,11,-,93,24,9,6,18,12,-,26,…,
94,1443,91,310,171,132,55,67,45,19,24,60,37,25,65,40,54,43,12,-,118,20,8,10,25,6,1,5,…,
95,1261,120,273,158,117,39,47,31,20,28,11,50,35,40,33,39,28,8,-,107,15,11,10,24,12,1,4,…,
96,1235,-,262,159,117,42,43,41,24,26,55,40,33,63,34,35,40,14,-,117,19,6,12,26,12,2,13,…,
97,1358,138,277,149,123,36,38,41,27,22,68,34,32,62,44,38,31,9,-,113,17,6,5,22,14,2,10,…,
98,1361,162,320,126,96,29,41,-,24,22,67,36,34,36,49,31,37,9,-,163,17,9,6,24,8,6,9,430,
99,1349,153,315,138,94,33,42,37,21,12,62,48,30,60,41,30,29,15,-,79,21,9,2,24,15,-,14,25,
100,1404,146,358,142,95,39,46,44,21,18,64,36,29,72,50,50,40,11,-,34,19,-,9,22,13,-,13,33,
101,1468,145,318,180,91,35,53,45,23,24,61,36,32,69,48,42,43,14,-,84,20,7,12,27,16,1,14,28,
102,1472,153,306,171,105,48,62,42,20,32,66,42,30,72,59,49,45,12,-,88,22,2,6,27,18,0,13,23,
103,1299,92,227,190,65,40,64,40,24,35,64,44,35,70,52,53,47,17,-,72,18,5,9,23,13,0,13,24
