County,Sample_size,男性,女性,男女平均
新北市,1021,47.31,32.29,39.68
臺北市,1033,47.88,25.34,35.95
臺中市,1982,48.97,28.64,38.74
臺南市,1954,47.13,28.68,38.15
高雄市,1996,51.91,31.63,41.88
宜蘭縣,962,47.65,34.21,41.1
桃園縣,998,42.49,25.37,34.05
新竹縣,975,54.05,29.6,42.21
苗栗縣,988,52.65,36.18,44.71
彰化縣,966,48.77,32.33,40.69
南投縣,991,47.47,32.27,40.18
雲林縣,946,54.42,30.59,43.46
嘉義縣,937,51.65,39.54,46.04
屏東縣,964,57.22,33.63,45.78
臺東縣,967,52.84,41.42,47.52
花蓮縣,972,56.12,34.82,45.98
澎湖縣,940,49.98,31.32,41.19
基隆市,1000,49.58,30.42,40.18
新竹市,1012,47.52,27.3,37.22
嘉義市,975,49.31,28.68,38.68
