"ค้ดม","ด๚ฏธ","ด๚ถต","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","จFณภ","AMB_TEMP","","","","","","","","","","","","","","17","16","15","14","12","11","11","10","10","10","10"
"2011/01/01","จFณภ","CO","","","","","","","","","","","","","",".28",".27",".28",".28",".29",".28",".26",".25",".24",".23",".23"
"2011/01/01","จFณภ","NO","","","","","","","","","","","","","","2.1","2.3","2.4","2","1.3","1.2","1",".9",".8",".8",".7"
"2011/01/01","จFณภ","NO2","","","","","","","","","","","","","","8.6","9.5","11","13","13","13","12","10","9.6","8.3","7.5"
"2011/01/01","จFณภ","NOx","","","","","","","","","","","","","","11","12","14","15","15","14","13","11","10","9","8.2"
"2011/01/01","จFณภ","O3","","","","","","","","","","","","","","35","39","35","31","29","28","28","28","29","29","28"
"2011/01/01","จFณภ","PM10","","","","","","","","","","","","","","70","79","76","70","61","48","40","38","34","33","34"
"2011/01/01","จFณภ","PM2.5","","","","","","","","","","","","","","29","27","27","31","29","24","23","22","18","17","22"
"2011/01/01","จFณภ","RAINFALL","","","","","","","","","","","","","","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","จFณภ","RH","","","","","","","","","","","","","","42","44","45","49","52","56","58","59","59","59","59"
"2011/01/01","จFณภ","SO2","","","","","","","","","","","","","","3.7","3.9","3.8","3.5","3.1","3.2","2.9","2.7","2.9","2.7","2.5"
"2011/01/01","จFณภ","WD_HR","","","","","","","","","","","","","","34","58","42","48","44","49","49","29","46","30","26"
"2011/01/01","จFณภ","WIND_DIREC","","","","","","","","","","","","","","38","64","43","36","40","53","71","9","42","49","35"
"2011/01/01","จFณภ","WIND_SPEED","","","","","","","","","","","","","","8.5","7.5","7.6","6.4","6","6.5","6","5.4","4.7","4.9","3.8"
"2011/01/01","จFณภ","WS_HR","","","","","","","","","","","","","","1.7","2","2.3","1.7","2.1","2.3","1.6","1.1","1.4","1.3","1.1"
"2011/01/02","จFณภ","AMB_TEMP","10","10","10","10","10","11","11","11","12","14","15","17","18","18","18","17","16","15","14","14","14","14","14","14"
"2011/01/02","จFณภ","CO",".23",".23",".23",".24",".25",".26",".26",".29",".28",".28",".29",".31",".31",".31",".27",".3",".32",".41",".44",".42",".47",".46",".44",".36"
"2011/01/02","จFณภ","NO",".8",".8",".7","1",".9",".9","1","1.3","2","2.5","2.2","2.6","2","1.9","1.9","1.8","1.3","1.4","1.3","1.3","1.6","1.7","1.7","1.1"
"2011/01/02","จFณภ","NO2","7.2","6.9","6.5","7","7.7","7.6","8.2","8.2","8.5","8.1","7.7","10","9.3","9.7","8.9","9.2","10","16","20","22","26","24","25","20"
"2011/01/02","จFณภ","NOx","8","7.7","7.2","8","8.6","8.6","9.1","9.6","11","11","9.9","13","11","12","11","11","12","17","21","23","27","26","27","21"
"2011/01/02","จFณภ","O3","27","26","26","24","23","24","26","25","27","31","36","39","48","48","44","41","36","26","18","15","10","10","10","15"
"2011/01/02","จFณภ","PM10","35","37","39","39","35","37","40","43","43","43","48","50","53","64","70","67","59","59","66","62","57","56","51","45"
"2011/01/02","จFณภ","PM2.5","20","16","21","31","36","31","27","26","23","28","31","30","36","36","34","37","33","39","48","43","42","43","38","32"
"2011/01/02","จFณภ","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","จFณภ","RH","59","59","60","62","63","62","62","62","60","56","52","48","47","50","55","58","60","66","70","71","68","69","68","66"
"2011/01/02","จFณภ","SO2","2.4","2.5","2.4","2.7","2.8","3","3","2.4","2.5","2.4","2.3","2.9","2.9","2.8","2.3","2.4","2.4","2.5","2.5","2.7","2.7","3","2.8","2.8"
"2011/01/02","จFณภ","WD_HR","34","44","36","44","32","32","35","40","34","33","21","15","360","16","53","37","45","41","30","38","11","21","26","21"
