"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","竹山","AMB_TEMP","9.1","8.4","7.9","7.7","7.6","7.5","7.2","7.6","9.6","12","13","15","17","18","19","18","16","15","13","12","11","10","10","9.5"
"2011/01/01","竹山","CO",".66",".55",".4",".35",".47",".49",".59",".61",".73",".44",".43",".45",".42",".41",".4",".41",".48",".53",".56",".5",".57",".65",".62",".57"
"2011/01/01","竹山","NO","11","8","3",".9","2.3","3.6","10","12","14","6.2","7.7","5.5","2.9","1.6",".8",".8","1.1","1","1.6","1","2.7","7.6","4.9","4.8"
"2011/01/01","竹山","NO2","26","32","28","24","24","24","22","19","18","14","17","18","15","14","12","14","21","25","27","27","32","32","32","29"
"2011/01/01","竹山","NOx","37","40","31","25","27","28","32","31","33","20","25","24","18","16","13","15","22","26","29","28","35","39","37","34"
"2011/01/01","竹山","O3","2.4","2.9","8.1","11","7.2","5.6","3.3","5.7","11","20","25","33","47","60","70","61","36","26","19","15","7.6","4.3","4.2","3.7"
"2011/01/01","竹山","PM10","88","90","68","56","51","51","51","53","64","64","65","76","81","87","100","108","120","120","100","81","68","66","64","64"
"2011/01/01","竹山","PM2.5","63","58","33","29","27","27","32","38","42","41","37","44","46","47","53","53","62","66","53","42","37","40","42","41"
"2011/01/01","竹山","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","竹山","RH","73","61","55","54","63","66","75","77","72","62","53","50","46","44","44","42","47","52","55","58","62","67","66","71"
"2011/01/01","竹山","SO2","2","3.5","3.2","3.2","2.8","2.8","2.6","2.6","3.8","3.3","5.4","5.2","4.3","4.6","4.6","4.4","4.6","4.4","3.8","3.9","3.7","3.3","3.5","3.1"
"2011/01/01","竹山","UVB","0","0","0","0","0","0","0",".3","1","2.2","3.5","4.3","4.4","3.5","2.2","1",".2","0","0","0","0","0","0","0"
"2011/01/01","竹山","WD_HR","66","47","50","48","124","107","160","225","37","313","319","322","296","297","255","295","297","218","79","49","39","72","77","50"
"2011/01/01","竹山","WIND_DIREC","48","41","47","45","137","138","185","137","29","318","356","330","312","236","273","306","291","144","64","48","37","85","63","38"
"2011/01/01","竹山","WIND_SPEED",".8","1.2","2","1","1.4","1.3",".6","1",".9","2.7","2.3","1.5","2.2","1.8","1.9","2.7","1.9","1.6","1.4","1.5","1.3","1.4","1",".8"
"2011/01/01","竹山","WS_HR",".6","1.5","1.5","1",".4",".8",".5",".5",".5","1.1","1.5","1","1","1.9","1.8","1.9","2.3",".7","1.1","1.4","1.1",".9",".9",".9"
"2011/01/02","竹山","AMB_TEMP","9","8.7","8.5","8.4","8.3","8.3","8.2","8.7","10","13","15","17","18","19","19","19","18","17","15","14","13","14","13","13"
"2011/01/02","竹山","CO",".52",".5",".48",".47",".44",".44",".57",".69",".69",".49",".38",".4",".4",".42",".39",".41",".51",".7",".58",".64",".84",".66",".6",".64"
"2011/01/02","竹山","NO","5","4.5","4.7","3.3","3.6","2.6","7.3","14","15","7.5","2.8","1.8","1.2","1.1","1.1","1.1","1.3","1.7","1.9","2.1","5.9","2","1.7","1.6"
"2011/01/02","竹山","NO2","28","25","22","19","17","16","16","18","19","14","9.3","9.7","9.2","9.7","11","12","19","29","26","29","33","28","24","25"
"2011/01/02","竹山","NOx","33","29","27","22","21","18","23","32","33","21","12","11","10","11","12","13","20","30","27","31","39","30","25","27"
"2011/01/02","竹山","O3","3.1","3","3.2","3.5","3.5","3","2.8","4.8","8.7","21","35","52","66","74","74","67","45","26","24","14","6.6","9.7","9.9","5.6"
"2011/01/02","竹山","PM10","64","62","60","57","60","64","65","68","67","65","65","72","81","87","93","94","108","121","110","97","97","93","89","89"
"2011/01/02","竹山","PM2.5","38","36","35","41","47","45","50","53","47","44","45","47","53","57","56","59","69","80","75","68","74","75","70","72"
"2011/01/02","竹山","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","竹山","RH","73","77","78","81","82","83","83","82","76","68","57","53","48","47","47","49","54","62","68","73","75","75","77","80"
"2011/01/02","竹山","SO2","2.8","3.1","3.6","3.6","2.9","2.7","2.6","3.2","3.9","3.2","2.8","3.5","3.6","4.2","4.4","5.9","5.3","4.7","3","2.6","3.1","3.6","2.8","3.9"
"2011/01/02","竹山","UVB","0","0","0","0","0","0","0",".3","1.1","2.4","4","4.8","4.8","3.7","2.1","1",".3","0","0","0","0","0","0","0"
"2011/01/02","竹山","WD_HR","65","44","91","186","139","161","117","71","107","325",".9","345","338","302","295","297","303","210","169","187","322","232","200","317"
"2011/01/02","竹山","WIND_DIREC","58","305","81","52","166","149","101","79","138","12","321","5.5","25","291","288","297","302","168","160","96","265","252","357","14"
"2011/01/02","竹山","WIND_SPEED",".6",".5","1.1",".6",".5",".9","1.1","1.1",".8",".9","1.8","1.4","1.6","2.1","2.2","2.1","1.4","1","1.1",".6","1",".9",".8",".5"
"2011/01/02","竹山","WS_HR",".7",".3","1.2",".3",".6",".6",".7",".9",".6",".4",".6",".4",".7","1.7","2","2.1","1.6",".5","1",".6",".3",".1",".1",".4"
"2011/01/03","竹山","AMB_TEMP","13","13","12","12","12","12","12","13","13","14","15","15","15","16","16","16","16","15","14","13","13","13","13","12"
"2011/01/03","竹山","CO",".62",".55",".47",".52",".48",".5",".59",".83",".78",".75",".67",".7",".54",".5",".46",".47",".57",".61",".62",".6",".53",".56",".51",".52"
"2011/01/03","竹山","NO","1.6","1.6","1.3","1.5","1.1","1.3","4.4","15","8.1","8.2","8.1","11","8.9","5","3.1","4","4.4","2.4","5.8","7.1","3","3.2","2.2","1.9"
"2011/01/03","竹山","NO2","23","19","15","18","15","16","21","23","23","24","26","31","25","21","20","21","27","32","37","34","30","29","27","27"
"2011/01/03","竹山","NOx","25","21","17","19","16","17","25","38","31","33","34","42","33","26","23","25","31","35","43","41","33","32","29","29"
"2011/01/03","竹山","O3","5.9","7.1","8.5","7.4","8","7.7","5.3","4.3","7.7","9.4","13","13","20","30","27","24","19","12","3.2","2.8","4.1","3.7","4.6","3.5"
"2011/01/03","竹山","PM10","90","87","83","83","76","75","81","83","88","101","110","90","70","65","56","49","57","75","76","61","48","38","40","43"
"2011/01/03","竹山","PM2.5","75","73","69","66","65","64","65","68","67","79","83","64","49","45","40","32","34","46","49","42","39","33","31","29"
"2011/01/03","竹山","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/03","竹山","RH","80","82","84","84","85","85","84","83","82","80","75","70","73","69","69","69","70","73","78","80","81","81","81","83"
"2011/01/03","竹山","SO2","3.6","2","1.6","2.3","2.2","2","2.5","2.4","2.5","3.4","4","4.7","3.2","2.7","2.3","2.6","2.7","3.2","3.9","3.4","3.4","3.2","3.5","2.9"
"2011/01/03","竹山","UVB","0","0","0","0","0","0","0",".1",".4",".7","1.1","1.6","2.9","2.2","1.4","1",".3","0","0","0","0","0","0","0"
"2011/01/03","竹山","WD_HR","106","195","141","81","226","67","144","131","275","272","38","40","32","23","31","45","17","295","258","46","37","49","35","27"
"2011/01/03","竹山","WIND_DIREC","121","219","65","151","143","90","161","113","240","274","36","53","29","11","34","85","8.3","259","306","61","42","53","37","15"
"2011/01/03","竹山","WIND_SPEED","1.2",".9",".7","1.5","1.1",".9",".5","1.3","1",".9","2.3","2.1","2.7","1.6","2.3","1.5","1.2","1.1",".6","1.4","1.3","1.4","1.8","1.8"
"2011/01/03","竹山","WS_HR",".8",".5",".5",".4",".1",".4",".5",".8",".6",".4",".9","1.7","2.2",".9","1.9","1.8",".6","1.3","1","1","1.4","1.1","1.6","1.1"
"2011/01/04","竹山","AMB_TEMP","12","12","12","12","12","12","12","12","13","14","14","16","18","18","19","19","18","16","15","14","14","13","13","13"
"2011/01/04","竹山","CO",".47",".43",".37",".37",".35",".34",".37",".45",".47",".49",".44",".47",".45",".46",".47",".48",".59",".66",".67",".7",".77",".83",".8",".79"
"2011/01/04","竹山","NO","1.4","1.3","1","1.1",".9",".9","1.2","3.4","6.9","9","4.2","3.9","2","1.5","1.2","1.1","1.7","1.7","2.1","2.8","5.2","8.3","9.3","10"
"2011/01/04","竹山","NO2","21","18","14","13","13","13","14","17","14","17","15","14","14","15","16","17","28","34","35","34","34","32","30","29"
"2011/01/04","竹山","NOx","23","19","15","15","14","14","16","21","21","26","20","18","16","16","18","18","30","36","37","37","39","40","40","39"
"2011/01/04","竹山","O3","7.2","9.9","15","15","15","14","12","11","12","15","24","36","53","64","71","65","33","20","9.6","4.8","2.8","2.1","2.1","2"
"2011/01/04","竹山","PM10","45","45","42","40","42","45","46","45","48","54","56","61","72","81","89","97","108","112","94","75","68","70","71","71"
"2011/01/04","竹山","PM2.5","32","33","28","29","35","38","40","42","40","41","46","51","56","60","68","69","66","69","65","56","52","54","52","52"
"2011/01/04","竹山","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/04","竹山","RH","84","84","83","83","83","83","83","83","82","76","73","68","62","60","58","58","61","66","69","72","75","77","78","81"
"2011/01/04","竹山","SO2","2.8","2.3","2.6","2.2","2.3","2.1","2.3","2.3","2.3","3.6","2.4","2.2","2.6","3.7","3.9","4.4","5.1","4.2","4.3","4.1","4.3","3.6","3.6","3"
"2011/01/04","竹山","UVB","0","0","0","0","0","0","0",".3","1.1","1.8","2.4","4.7","3.9","3.4","2.2","1.1",".3","0","0","0","0","0","0","0"
"2011/01/04","竹山","WD_HR","296","20","35","32","36","36","34","34","32","308","270","285","207","351","294","310","307","26","38","42","40","46","19","226"
"2011/01/04","竹山","WIND_DIREC","312","37","36","10","36","33","37","31","87","275","218","316","249","330","305","313","303","69","56","36","34","39","202","235"
"2011/01/04","竹山","WIND_SPEED",".8","1.9","2.5","2","2.3","1.2","2","1","1.9","2","1.6","1.4","1.6","1.6","1.6","2.4","1.6","2.3","1.4","2.6","2","1",".7",".7"
"2011/01/04","竹山","WS_HR",".6",".9","2","1.8","2","1.2","1.1","1.3",".4","1.1","1",".7",".3",".8","1","1.9","1.9",".8","1.3","1.5","1.6","1",".1",".7"
"2011/01/05","竹山","AMB_TEMP","13","13","12","12","12","12","13","13","14","16","18","20","21","22","22","22","22","20","19","18","17","17","17","17"
"2011/01/05","竹山","CO",".78",".76",".75",".73",".67",".67",".74",".88",".85",".67",".51",".34",".41",".32",".36",".36",".39",".47",".57",".46",".41",".4",".47",".52"
"2011/01/05","竹山","NO","10","11","11","10","8.4","8.5","14","19","17","10","4","1.6","1.9","1.5","1",".9","1",".8","1.1","1.2","1","1","1.3","2.5"
"2011/01/05","竹山","NO2","27","25","24","25","22","21","19","19","19","21","13","9","17","12","13","12","16","26","35","29","22","22","28","27"
"2011/01/05","竹山","NOx","37","35","35","35","30","30","33","38","36","32","17","11","18","13","14","13","17","26","36","30","23","23","29","30"
"2011/01/05","竹山","O3","1.8","1.8","1.9","1.8","1.7","2","2","3.5","7.8","16","33","47","58","61","66","63","50","29","18","19","20","14","8","4.6"
"2011/01/05","竹山","PM10","72","72","72","70","66","62","64","66","67","71","60","39","46","54","48","43","42","55","86","89","73","68","67","71"
"2011/01/05","竹山","PM2.5","58","57","55","56","53","49","49","50","57","61","48","27","30","37","33","33","30","34","54","61","46","42","44","47"
"2011/01/05","竹山","RAINFALL",".2",".2",".2","NR",".2","NR",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/05","竹山","RH","83","87","89","89","91","92","93","93","92","85","73","62","59","56","57","55","56","64","77","81","84","86","86","87"
"2011/01/05","竹山","SO2","2.4","3.7","3.2","2.5","2","1.7","1.6","1.8","2","2.5","1.8","1.4","2.6","1.7","1.7","1.5","1.9","3.4","4.9","3.6","3.1","3.1","2.3","2.2"
"2011/01/05","竹山","UVB","0","0","0","0","0","0","0",".3","1.1","2.2","4.5","5.7","5.4","4.3","2.6","1.3",".3","0","0","0","0","0","0","0"
"2011/01/05","竹山","WD_HR","124","286","33","45","52","329","163","264","142","119","96","33","320","29","36","27","32","308","308","43","36","42","13","47"
"2011/01/05","竹山","WIND_DIREC","246","324","77","40","99","235","36","207","274","113","68","282","33","31","44","32","37","313","16","42","35","53","60","314"
"2011/01/05","竹山","WIND_SPEED",".8","1.3","1","1.6","1","1.1","1.1","1.2","1.5","2.3","1.8","2","3.1","2.5","2.6","3","1.8",".9","1.3","1.8","1.8",".8",".7",".5"
"2011/01/05","竹山","WS_HR",".4",".8",".5","1.4",".8",".2",".7",".2",".6",".7","1.6","1.3","1.7","1.8","1.7","1.4","1","1","1","1.5","1.4","1",".4",".5"
"2011/01/06","竹山","AMB_TEMP","16","16","16","16","16","16","16","16","16","17","18","18","17","16","15","16","16","14","13","13","13","12","12","12"
"2011/01/06","竹山","CO",".49",".44",".41",".39",".37",".39",".45",".34",".36",".47",".48",".56",".62",".76",".85",".87",".89",".86",".86",".97",".99",".97",".91",".87"
"2011/01/06","竹山","NO","4","4.3","2.1","2.8","2.6","2.2","4.6","4.8","5","6.6","6.7","4.5#","4.8#","9.4","13","11","9.8","8.2","5.8","6.5","7.5","7.8","5.8","3.9"
"2011/01/06","竹山","NO2","22","21","21","21","20","18","19","17","16","19","17","19#","21#","31","33","36","37","36","35","34","34","33","31","29"
"2011/01/06","竹山","NOx","26","25","23","23","22","21","23","22","21","26","24","23#","26#","40","45","47","47","45","40","41","41","41","37","32"
"2011/01/06","竹山","O3","2.4","2.7","3","2.6","3.3","4.6","4","7.6","13","14","20","23","20","12","13","12","8.5","4.1","3.4","3.3","3.2","3.2","3.2","4"
"2011/01/06","竹山","PM10","70","67","66","70","72","68","66","59","46","42","","59","59","64","65","64","62","60","55","54","56","54","56","61"
"2011/01/06","竹山","PM2.5","51","48","42","41","48","52","51","42","32","29","","39","35","41","43","43","44","42","40","37","41","43","46","44"
"2011/01/06","竹山","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
