"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","線西","AMB_TEMP","10","10","9.9","9.7","9.7","9.6","9.5","9.9","11","13","15","16","17","16","15","14","13","12","11","11","11","11","10","11"
"2011/01/01","線西","CH4","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9"
"2011/01/01","線西","CO",".21",".21",".21",".21",".24",".24",".24",".25",".26",".26",".26",".32",".46",".42",".38",".45",".38",".3",".29",".3",".3",".3",".29",".29"
"2011/01/01","線西","NMHC",".07",".07",".07",".08",".07",".08",".09",".1",".1",".1",".09",".09",".08",".07",".07",".08",".09",".1",".1",".1",".1",".1",".1",".1"
"2011/01/01","線西","NO",".7",".6",".8","2","2.1","2.2","2.3","3.6","6","5.2","5","4.8","4.5","3.9","3.7","3.4","3","2.4","2.2","2.1","2","2.2","2.1","2.2"
"2011/01/01","線西","NO2","13","7.7","10","12","7.7","16","18","16","13","8.2","9.4","9.2","9.6","8.8","8.1","9.6","12","14","14","17","16","19","19","19"
"2011/01/01","線西","NOx","13","8.4","11","14","9.8","18","20","19","19","13","14","14","14","13","12","13","15","16","16","19","18","22","21","21"
"2011/01/01","線西","O3","32","33","29","28","32","21","19","22","25","31","33","36","39","40","40","37","33","28","26","21","23","19","18","17"
"2011/01/01","線西","PM10","59","59","56","55","53","55","54","50","50","51","59","73","86","89","99","101","87","75","59","49","49","46","43","43"
"2011/01/01","線西","PM2.5","18","19","16","17","16","20","23","18","21","23","20","20","21","24","26","24","24","26","24","21","20","21","19","21"
"2011/01/01","線西","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","線西","RH","44","51","52","54","56","58","59","58","53","46","42","40","45","48","51","52","55","57","58","60","60","60","61","62"
"2011/01/01","線西","SO2","6.2","5.5","5.6","5.3","4.3","5.8","5.9","5.6","5.6","4.5","4.8","5.4","6.7","6","5.1","5.6","4.9","3.8","3.7","4.9","4.6","5.6","5.8","5.5"
"2011/01/01","線西","THC","1.9","1.9","1.9","2","2","2","2","2","2","2","2","2","2","1.9","1.9","2","2","2","2","2","2","2","2","2"
"2011/01/01","線西","WD_HR","43","42","41","43","44","43","41","41","41","42","44","49","53","47","48","49","47","47","48","43","45","42","42","40"
"2011/01/01","線西","WIND_DIREC","44","42","42","43","45","42","44","41","42","44","48","59","56","41","51","46","46","46","47","42","41","38","41","39"
"2011/01/01","線西","WIND_SPEED","7.5","6.9","6","6","6.4","5.6","5.5","6.4","6.5","6.4","5.7","6.3","7.6","8.6","8","8.6","7.4","7.2","6.7","6.1","6","5.9","5.2","4.7"
"2011/01/01","線西","WS_HR","6.9","6.5","6.2","5.1","5.6","5.4","5.1","5.4","6","6.3","5.3","5.4","5.9","6.9","7.1","6.6","6.5","6","5.6","6","5.1","5.2","4.9","4.3"
"2011/01/02","線西","AMB_TEMP","11","11","11","11","11","12","12","12","13","14","16","17","18","18","18","17","16","15","15","15","14","14","14","14"
"2011/01/02","線西","CH4","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9"
"2011/01/02","線西","CO",".28",".26",".28",".28",".3",".29",".29",".29",".29",".31",".36",".41",".47",".42",".38",".36",".3",".34",".57",".35",".37",".4",".4",".37"
"2011/01/02","線西","NMHC",".09",".08",".09",".1",".09",".08",".09",".1",".1",".1",".1",".1",".09",".08",".06",".05",".07",".08",".09",".11",".12",".15",".14",".13"
"2011/01/02","線西","NO","2.1","2.1","2.1","1.3","1.7","1.4","1.4","2.3","5.9","5.1","5.4","4.4","4.3","3.5","2.2","1.8","1.7","1.5","1.4","1.6","1.8","6.6","2.6","1.5"
"2011/01/02","線西","NO2","13","7.7","7.6","11","21","11","16","13","15","11","11","11","13","9.5","6","5.6","8.5","13","17","24","26","32","26","16"
"2011/01/02","線西","NOx","15","9.8","9.6","12","23","12","17","16","21","17","17","15","17","13","8.2","7.5","10","15","19","26","28","38","29","17"
"2011/01/02","線西","O3","22","26","24","22","9.8","23","18","22","21","29","32","39","42","49","49","44","37","28","22","15","11","4.4","8.7","19"
"2011/01/02","線西","PM10","44","44","48","48","46","46","44","44","45","49","57","60","68","81","78","71","66","66","65","59","61","70","65","50"
"2011/01/02","線西","PM2.5","23","20","21","22","24","25","26","26","21","23","30","35","36","35","33","27","28","32","31","32","34","42","44","32"
"2011/01/02","線西","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","線西","RH","61","60","61","62","63","62","62","63","61","56","52","50","52","54","57","63","66","70","71","69","71","71","70","68"
"2011/01/02","線西","SO2","4.6","3.6","3.7","4","6","3.6","5.1","4.2","4.9","4.2","4.2","4.4","7.1","5.7","3.5","3.3","2.7","3.3","5.1","4","4.4","6.3","3.5","2.4"
"2011/01/02","線西","THC","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1.9","1.9","1.9","2","2","2","2","2.1","2","2"
"2011/01/02","線西","WD_HR","40","40","41","41","40","44","40","40","41","43","48","48","63","50","48","49","45","49","46","41","39","40","41","42"
"2011/01/02","線西","WIND_DIREC","42","41","40","39","40","49","40","41","44","42","51","54","52","52","47","42","45","50","40","40","38","39","42","42"
