"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","基隆","AMB_TEMP","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","13","13","13"
"2011/01/01","基隆","CH4","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.8"
"2011/01/01","基隆","CO",".25",".24",".24",".23",".21",".22",".24",".27",".28",".28",".28",".28",".28",".27",".26",".25",".26",".27",".29",".3",".31",".31",".3",".3"
"2011/01/01","基隆","NMHC",".05",".05",".05",".05",".05",".05",".06",".06",".07",".07",".07",".06",".07",".06",".06",".06",".05",".06",".07",".07",".07",".06",".06",".06"
"2011/01/01","基隆","NO","1.4","1.4","1.2","1.6","1.5","1.3","1.5","1.9","2.1","2.8","3.1","2.8","2.3","2.3","2.4","2.1","2","2.1","2.1","1.7","2.2","2.2","2.2","2"
"2011/01/01","基隆","NO2","5.8","5.8","5.7","5.6","5.2","4.9","5.7","7.2","7.4","11","10","8.7","8.4","8.7","9","9.3","8.8","10","9.9","10","12","11","9.7","8.2"
"2011/01/01","基隆","NOx","7.2","7.2","7","7.2","6.7","6.3","7.2","9.1","9.5","14","14","11","11","11","11","11","11","12","12","12","14","13","12","10"
"2011/01/01","基隆","O3","35","34","34","34","34","33","31","30","29","27","28","31","33","34","34","33","34","32","32","29","28","28","28","30"
"2011/01/01","基隆","PM10","52","53","51","50","47","55","56","54","48","50","48","47","42","35","41","35","32","36","37","45","43","38","47","47"
"2011/01/01","基隆","PM2.5","17","17","17","17","17","19","20","20","19","19","17","17","15","15","17","17","17","18","19","22","22","21","23","24"
"2011/01/01","基隆","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","基隆","RH","51","50","50","50","49","51","52","52","52","53","53","54","54","54","55","57","56","55","54","56","55","53","54","56"
"2011/01/01","基隆","SO2","3.8","3.8","3.6","3.4","3.3","3.3","3.5","3.4","3.1","3.1","3.2","3.2","2.9","2.7","2.7","2.7","2.7","3","3.2","4.1","4.2","3.7","3.3","2.8"
"2011/01/01","基隆","THC","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9"
"2011/01/01","基隆","UVB","0","0","0","0","0","0","0",".1",".5",".6","1","1.3","1.2","1",".6",".2",".1","0","0","0","0","0","0","0"
"2011/01/01","基隆","WD_HR","86","83","83","85","87","85","93","89","93","87","87","89","91","87","87","87","89","89","90","86","83","81","80","80"
"2011/01/01","基隆","WIND_DIREC","89","85","81","92","102","87","89","90","101","83","87","86","99","92","90","93","88","94","106","79","87","86","87","74"
