"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","大同","CH4","2.1","2.1","2.1","2.1","2.2","2.2","2.1","2.1","2","2","2","1.9","1.9","1.9","2","2","2","2","2","2","2","2","2","2.1"
"2011/01/01","大同","CO","2.57","3.28","2.04",".71",".67",".77",".8",".93","1.02",".81",".73",".57",".53",".55",".7",".6",".69",".8",".67",".69",".66","1.04","1.29","1.27"
"2011/01/01","大同","NMHC",".9","1.14",".64",".23",".22",".28",".31",".35",".38",".3",".28",".2",".16",".2",".25",".2",".24",".3",".25",".25",".23",".36",".47",".44"
"2011/01/01","大同","NO","79","94","78","12","13","23","33","54","43","39","38","24","23","24","28","23","29","29","22","26","29","44","57","48"
"2011/01/01","大同","NO2","39","41","41","31","33","34","33","38","32","28","29","24","23","24","25","25","32","32","32","31","32","36","39","37"
"2011/01/01","大同","NOx","118","135","119","43","46","56","66","92","75","68","67","48","46","48","53","48","61","61","54","58","61","79","96","84"
"2011/01/01","大同","PM10","95","92","91","74","72","71","74","72","64","69","60","66","56","63","58","54","57","54","52","48","55","55","60","53"
"2011/01/01","大同","PM2.5","41","44","30","32","20","22","14","27","30","33","26","21","20","18","24","20","24","25","28","22","20","23","31","32"
"2011/01/01","大同","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","大同","SO2","7.7","7.4","5.9","3.7","3.3","3.5","4.2","4.9","5.3","4.6","4.4","4","3.8","3.5","3.3","3","3.5","3.6","3.7","4.5","5.4","7.3","6.6","5.3"
"2011/01/01","大同","THC","3","3.2","2.7","2.4","2.4","2.5","2.4","2.4","2.4","2.3","2.2","2.1","2.1","2.1","2.2","2.2","2.2","2.3","2.2","2.2","2.2","2.4","2.5","2.5"
"2011/01/02","大同","CH4","2","2","2","2","2.1","2.1","2.1","2.1","2.1","2","2","2","2","2","2","2","2","2.1","2.1","2.1","2.1","2.1","2.1","2.1"
"2011/01/02","大同","CO",".76",".65",".56",".51",".46",".59",".93","1.34","1.41","1.27","1.11","1.06","1",".69",".93",".88","1.32","2.11","1.93","2.48","1.67","1.52","2.18","1.9"
"2011/01/02","大同","NMHC",".24",".2",".17",".16",".16",".21",".35",".49",".55",".51",".5",".44",".41",".27",".36",".34",".5",".85",".8",".98",".69",".58",".8",".68"
"2011/01/02","大同","NO","14","10","9.3","8.6","7.2","15","39","62","66","68","55","53","43","23","34","35","63","94","92","137","86","84","99","75"
"2011/01/02","大同","NO2","27","22","21","20","19","23","34","40","40","39","35","34","31","25","30","30","39","45","44","45","42","41","40","38"
"2011/01/02","大同","NOx","41","32","30","28","26","38","73","102","106","108","90","87","74","48","64","65","102","138","135","182","127","124","139","113"
"2011/01/02","大同","PM10","60","58","58","50","50","50","54","55","59","67","60","59","52","56","51","47","51","54","59","59","54","52","41","42"
"2011/01/02","大同","PM2.5","33","30","33","29","31","29","33","27","28","26","34","32","32","27","26","29","32","39","36","42","42","43","37","34"
"2011/01/02","大同","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","大同","SO2","5.2","4.9","4.6","4.7","4.3","3.7","4.6","4.8","5.7","6.1","6","6.1","5.1","4.7","3.7","3","4.8","7.6","6.3","7.2","5.4","5.3","5","4.9"
"2011/01/02","大同","THC","2.3","2.2","2.2","2.2","2.2","2.3","2.4","2.6","2.6","2.5","2.5","2.4","2.4","2.2","2.3","2.3","2.5","2.9","2.9","3.1","2.8","2.7","2.9","2.8"
