"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","新店","AMB_TEMP","10","11","11","11","11","10","11","11","12","12","13","13","13","12","12","12","12","11","11","12","12","12","12","12"
"2011/01/01","新店","CO",".25",".29",".3",".3",".27",".3",".34",".47",".39",".31",".31",".32",".3",".31",".3",".3",".33",".37",".35",".32",".33",".36",".36",".33"
"2011/01/01","新店","NO","1.2",".9","1.1","1.1",".7",".9","1.1","3","2.4","1.7","2.3","2.6","2.7","2.2","2.1","1.9","1.4","1.4","1.3","1",".9","1.3","1.6","1.3"
"2011/01/01","新店","NO2","6.7","8.5","9.6","9.6","8","9","12","19","10","8.6","9.5","9.6","10","11","12","11","12","16","15","12","12","13","12","9.9"
"2011/01/01","新店","NOx","7.8","9.3","11","11","8.8","9.9","13","22","13","10","12","12","13","13","14","13","14","17","16","13","13","14","13","11"
"2011/01/01","新店","O3","34","31","31","29","30","26","25","18","27","30","30","32","33","33","33","34","32","28","29","29","27","25","25","27"
"2011/01/01","新店","PM10","53","50","53","54","48","45","45","48","57","62","59","56","57","54","49","43","42","40","37","35","39","42","42","43"
"2011/01/01","新店","PM2.5","22","20","17","20","22","21","19","21","23","23","23","23","23","23","24","26","21","20","24","24","24","26","27","27"
"2011/01/01","新店","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","新店","RH","58","59","57","58","59","61","60","60","56","55","55","55","55","56","57","57","60","60","59","59","60","60","62","61"
"2011/01/01","新店","SO2","3.1","3.2","3.6","3.2","3","2.9","2.7","2.7","3.3","3.3","3.3","3.5","5.9","3.9","4.7","3.9","2.8","2.9","3","3.2","3.5","3.4","3.3","3.1"
"2011/01/01","新店","WD_HR","185","194","101","178","239","200","222","230","164","95","88","88","79","82","84","85","83","94","92","93","103","182","198","148"
"2011/01/01","新店","WIND_DIREC","195","158","89","261","293","186","251","205","155","94","80","89","85","89","88","83","98","87","95","83","175","202","213","146"
"2011/01/01","新店","WIND_SPEED","1.3","1.2","1.4",".7",".6","1.6",".8","1","1.5","2.1","2.4","2.9","3.5","2.2","2.3","2.7","2.1","2.1","2.2","1.5","1.2","1.5","1.1","1.4"
"2011/01/01","新店","WS_HR","2",".8",".7",".4",".3","1",".7",".4",".6","1.3","2.3","2.6","2.2","1.9","2","2.5","2","1.8","1.7","1.3",".6",".4",".7",".3"
"2011/01/02","新店","AMB_TEMP","12","12","12","12","12","13","13","13","13","14","15","15","16","16","16","16","15","15","15","15","15","15","15","14"
"2011/01/02","新店","CO",".32",".31",".29",".28",".27",".27",".28",".31",".37",".38",".36",".34",".34",".32",".32",".3",".33",".34",".35",".43",".34",".34",".52",".53"
