"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","新莊","AMB_TEMP","11","11","11","11","11","11","11","12","12","13","13","13","14","14","13","13","12","12","12","12","12","13","13","13"
"2011/01/01","新莊","CO",".47",".47",".47",".44",".35",".36",".39",".42",".43",".3",".28",".27",".25",".26",".26",".26",".27",".3",".34",".33",".36",".43",".47",".42"
"2011/01/01","新莊","NO","1.9","1.4","1.3","1.6","1.3","1","1.8","3.1","5.4","3.2","2.4","2.8","2.7","2.3","1.9","2","1.5","1.2","1.1",".8","1.4","1.5","2.1","1.3"
"2011/01/01","新莊","NO2","20","19","19","18","17","17","20","20","20","11","9.5","7.7","6.4","7.2","7.6","8.7","9.6","11","13","15","17","23","25","20"
"2011/01/01","新莊","NOx","22","20","21","20","18","18","22","24","25","14","12","10","9.1","9.5","9.5","11","11","12","14","15","19","24","27","21"
"2011/01/01","新莊","O3","24","25","25","24","26","23","21","21","23","31","33","36","40","40","40","37","37","36","34","30","26","20","18","22"
"2011/01/01","新莊","PM10","61","59","57","57","56","56","53","55","60","59","55","53","54","56","54","48","43","40","39","42","45","46","50","46"
"2011/01/01","新莊","PM2.5","21","21","17","16","16","15","17","16","18","18","14","14","15","16","15","13","16","16","17","16","15","20","24","22"
"2011/01/01","新莊","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","新莊","RH","55","55","55","56","56","56","56","55","53","51","50","48","47","47","49","52","54","54","52","53","53","55","54","54"
"2011/01/01","新莊","SO2","3.8","3.4","3","2.8","2.9","3","3.6","4.5","4.4","4.1","4.1","4.2","4.1","4.3","4.2","4","4","3.6","3.4","3.9","4.1","5.6","4.6","3.8"
"2011/01/01","新莊","WD_HR","92","85","81","82","81","84","86","78","83","80","79","76","81","74","77","75","76","77","79","78","79","80","85","90"
"2011/01/01","新莊","WIND_DIREC","91","82","85","81","82","89","87","77","81","77","75","78","81","66","81","72","81","74","79","82","78","83","79","97"
"2011/01/01","新莊","WIND_SPEED","1.6","2","2.2","1.8","2.3","1.6","2","3.1","2.9","4.7","3.7","4","4.5","3.7","4.6","4.1","3.4","4","3.4","3.6","3.6","2.6","3.2","2.4"
"2011/01/01","新莊","WS_HR","1.4","1.8","2.2","1.9","1.9","1.7","1.7","2.4","2.4","3.7","3.8","3.8","3.9","3.5","4.1","3.8","3.9","4","3.3","3.4","3.2","3.1","2.6","2.2"
"2011/01/02","新莊","AMB_TEMP","13","13","13","13","13","13","13","14","14","15","15","16","17","17","17","17","16","16","15","15","15","15","15","15"
"2011/01/02","新莊","CO",".38",".35",".34",".3",".3",".29",".37",".47",".5",".44",".41",".36",".34",".33",".31",".39",".46",".55",".73",".53",".49",".52",".66",".62"
"2011/01/02","新莊","NO","1.3","1.3","1.4","1.1","1.3","1.2","1","1.9","3.1","4.5","5","3.9","3.3","2.8","2.7","2.7","3","2.2","3.1","2.1","1.6","1.9","3","3"
"2011/01/02","新莊","NO2","17","15","14","12","11","10","15","20","20","20","19","13","9.9","10","8.6","14","21","25","32","22","20","22","35","33"
"2011/01/02","新莊","NOx","18","16","15","13","12","11","16","22","23","25","24","17","13","13","11","17","24","28","35","24","22","24","37","36"
