"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","松山","AMB_TEMP","11","11","10","10","10","10","11","11","12","12","12","12","12","12","12","12","12","11","12","12","12","12","12","12"
"2011/01/01","松山","CH4","1.8","1.8","1.9","1.9","1.9","2","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9"
"2011/01/01","松山","CO",".56",".72",".66",".46",".31",".33",".33",".38",".44",".34",".31",".31",".3",".29",".29",".3",".35",".4",".43",".46",".45",".47",".44",".37"
"2011/01/01","松山","NMHC",".18",".24",".21",".13",".09",".11",".11",".12",".14",".1",".08",".08",".08",".07",".08",".09",".12",".13",".13",".14",".13",".14",".12",".09"
"2011/01/01","松山","NO","3.8","6.9","7.1","2.8","2.4","1.7","2.2","4","23","10","5","5.3","5.6","5.3","5.3","4.2","11","18","19","15","5.3","5.4","4.4","2.6"
"2011/01/01","松山","NO2","20","26","27","16","11","14","16","18","34","19","14","15","14","14","15","16","28","34","35","32","24","25","21","15"
"2011/01/01","松山","NOx","24","33","34","18","14","15","18","22","56","30","19","20","20","19","20","20","39","52","53","46","29","30","26","18"
"2011/01/01","松山","O3","23","17","17","22","27","23","23","20","10","21","28","28","29","31","30","29","19","14","13","12","18","16","18","22"
"2011/01/01","松山","PM10","92","83","54","54","55","57","56","54","56","66","53","63","61","50","48","31","49","55","30","42","52","65","64","41"
"2011/01/01","松山","PM2.5","32","30","34","22","26","27","22","14","10","22","30","32","27","27","23","28","27","34","28","30","30","31","29","27"
"2011/01/01","松山","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","松山","RH","52","53","54","54","54","55","53","54","52","50","51","50","50","50","51","53","53","52","51","53","54","53","53","54"
"2011/01/01","松山","SO2","6.3","3.6","3.2","3.1","2.7","2.6","3.3","4.1","4.4","3.5","3.2","3.3","2.9","2.6","2.5","2.5","3","3.2","3.4","3.8","3.9","3.7","3.1","2.9"
"2011/01/01","松山","THC","2","2.1","2.1","2","2","2.1","2","2","2","2","2","2","1.9","1.9","1.9","2","2","2","2","2","2","2","2","2"
"2011/01/01","松山","WD_HR","108","107","103","95","94","93","94","99","85","67","61","62","63","64","66","62","69","75","73","91","86","87","99","98"
"2011/01/01","松山","WIND_DIREC","107","100","109","93","94","95","92","97","81","66","62","64","75","65","77","55","81","68","69","83","67","99","96","98"
"2011/01/01","松山","WIND_SPEED","2.3","1.6","2","1.6","1.3","1","1.7","1.7","1.9","3.3","4","3.4","3.9","3.2","3.1","3.2","3","2.9","2.5","2","2.9","2.2","2.4","2"
"2011/01/01","松山","WS_HR","2","1.6","1.7","1.5","1.3","1.1","1.4","1.4","1.6","2.6","3.1","3","3","3","3","2.7","2.6","2.4","2.5","1.7","2.1","2","2.1","1.8"
"2011/01/02","松山","AMB_TEMP","12","12","12","12","13","13","13","13","14","14","15","15","15","16","16","16","15","15","15","14","14","14","14","14"
"2011/01/02","松山","CH4","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","2","2","2","2","1.9","2"
"2011/01/02","松山","CO",".4",".36",".34",".3",".26",".26",".29",".4",".48",".5",".42",".41",".36",".37",".36",".42",".48",".59",".74",".58",".66",".8",".68",".55"
"2011/01/02","松山","NMHC",".11",".1",".09",".08",".06",".07",".07",".12",".13",".15",".12",".12",".11",".1",".1",".12",".14",".19",".27",".18",".21",".27",".22",".17"
"2011/01/02","松山","NO","2.6","2.3","1.9",".8",".4",".2","1","3.6","32","37","25","21","13","12","12","23","33","47","60","17","17","20","13","4"
"2011/01/02","松山","NO2","17","14","13","10","7.3","7.4","12","22","38","39","33","29","24","26","27","35","41","43","45","35","35","38","34","27"
"2011/01/02","松山","NOx","19","17","15","11","7.7","7.6","13","26","70","76","58","50","37","39","40","58","74","90","105","52","52","58","48","31"
"2011/01/02","松山","O3","22","24","26","27","31","30","28","20","8.1","6.5","11","15","21","18","18","12","8.1","4.6","2.9","7.8","6.1","2.9","3.5","8"
"2011/01/02","松山","PM10","40","54","63","50","40","44","45","34","46","65","64","57","43","45","56","62","63","65","71","54","42","29","40","41"
