"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","淡水","CO",".46",".56",".59",".51",".49",".39",".43",".43",".28",".26",".26",".25",".25",".24",".25",".25",".26",".28",".29",".28",".29",".34",".35",".3"
"2011/01/01","淡水","NO","2.7","4.7","5.2","4","2.8","2.2","3.7","5.2","2.6","2","2.1","1.9","1.9","2","2","1.8","1.8","1.6","1.6","1.5","1.3","1.4","1.8","1"
"2011/01/01","淡水","NO2","19","21","21","20","18","16","18","18","7.9","6.2","6.2","6.1","5.7","6.1","6.7","6.9","6.8","7.9","9","8.5","9.4","12","12","7.4"
"2011/01/01","淡水","NOx","21","25","26","24","21","18","22","23","10","8.2","8.3","8","7.7","8.1","8.7","8.7","8.6","9.5","11","10","11","14","14","8.4"
"2011/01/01","淡水","O3","15","12","12","12","13","14","14","17","28","31","33","35","37","36","33","34","35","34","31","30","28","23","23","28"
"2011/01/01","淡水","PM10","40","39","42","48","45","38","39","44","53","51","44","44","44","40","35","37","38","35","33","34","37","38","38","37"
"2011/01/01","淡水","PM2.5","17","16","17","29","29","20","19","19","17","17","17","14","13","16","18","18","14","10","13","18","17","17","20","21"
"2011/01/01","淡水","SO2","2.8","2.4","2.6","2.6","2.5","2.8","3.2","3.9","4.4","4.1","4.3","3.9","3.5","3.3","3.1","3.1","3.1","3.2","3.6","4.2","4.2","4","3.6","3.4"
"2011/01/02","淡水","CO",".29",".27",".26",".23",".21",".22",".24",".29",".3",".26",".25",".25",".26",".25",".25",".26",".3",".35",".33",".33",".45",".52",".76",".58"
"2011/01/02","淡水","NO",".9",".9",".9",".8",".8",".7",".6","1.2","1.7","1.3","1.1","1.3","1.3","1.2","1.3","1.3","1.2","1.7","1.2",".8","1.7","2.7","13","4.9"
"2011/01/02","淡水","NO2","6.6","5.7","5.1","3.6","3.2","3","4.1","8.7","8.8","4.6","3.8","3.8","4.3","4.1","4","5","6.5","10","9.9","11","18","21","26","21"
"2011/01/02","淡水","NOx","7.5","6.6","6.1","4.4","4","3.7","4.7","9.9","11","5.9","4.9","5.1","5.6","5.2","5.2","6.3","7.8","12","11","12","20","24","39","25"
"2011/01/02","淡水","O3","29","31","31","33","34","36","34","29","30","34","35","36","36","37","38","36","34","28","29","27","18","13","4.2","7.7"
"2011/01/02","淡水","PM10","39","42","42","35","33","33","33","37","39","38","39","35","37","37","34","32","31","33","28","24","26","26","26","26"
"2011/01/02","淡水","PM2.5","22","23","22","23","21","19","21","19","20","22","25","24","22","23","22","24","26","26","23","21","24","19","17","19"
"2011/01/02","淡水","SO2","3.2","3","2.8","2.2","2","1.8","1.8","2.1","2.1","1.9","1.7","1.5","1.6","1.4","1.5","1.3","1.5","1.6","1.7","1.8","2.4","2.8","2.3","2.2"
"2011/01/03","淡水","CO",".49",".44",".34",".31",".34",".36",".25",".34",".3",".29",".3",".31",".31#",".33",".31",".32",".32",".36",".36",".33",".32",".32",".34",".33"
"2011/01/03","淡水","NO","2.8","2.4","1.1","1.3","1.7","1.7","1.5","2.3","2","2.2","2.5","2.7","2.2#","3","3.6","3.6","2.7","2.4","2","1.5","1.4","1.4","1.2","1"
"2011/01/03","淡水","NO2","18","16","11","8.6","11","11","5.5","9.9","8.5","9.8","10","11","9.3#","13","12","12","11","9.6","7.8","7.2","7.3","7.1","7.2","6"
"2011/01/03","淡水","NOx","21","18","12","9.9","12","13","6.9","12","10","12","13","14","12#","16","15","16","13","12","9.8","8.8","8.8","8.4","8.4","7"
"2011/01/03","淡水","O3","8.3","11","17","19","15","14","34","29","28","26","26","25","27#","24","24","24","26","28","30","33","32","33","34","38"
"2011/01/03","淡水","PM10","23","20","15","13","17","18","23","22","10","11","18","11","5","5","7","7","10","16","22","24","26","22","24","31"
"2011/01/03","淡水","PM2.5","18","16","15","16","16","16","16","12","10","11","10","11","6","6","12","11","8","11","17","21","19","22","27","28"
"2011/01/03","淡水","SO2","2.2","2.1","1.9","2.1","2.1","2.1","1.6","1.4","1.5","1.6","1.5","1.5","1.3#","1.5","1.5","1.4","1.4","1.5","1.8","2.1","2.1","2.1","2.3","2.4"
"2011/01/04","淡水","CO",".32",".31",".31",".31",".32",".33",".36",".42",".44",".41",".41",".41",".43",".46",".52",".48",".47",".55",".46",".45",".42",".39",".34",".49"
"2011/01/04","淡水","NO",".8",".8",".7",".7",".7",".6","1.2","1.9","2.4","2.8","2.3","2.1","2","1.9","2.9","2","1.7","2","2.5","1.6","1.8",".9",".9","1.5"
"2011/01/04","淡水","NO2","5.2","5","4.6","4.2","4","4.8","7.6","10","11","12","9.8","8.4","9.4","8.4","10","9.3","9.5","15","10","12","9.7","7.5","5.2","13"
"2011/01/04","淡水","NOx","6","5.9","5.4","4.9","4.7","5.4","8.8","12","13","14","12","10","11","10","13","11","11","17","13","14","12","8.4","6.1","15"
"2011/01/04","淡水","O3","37","34","34","36","37","33","31","29","27","24","24","24","24","25","24","25","26","20","28","26","30","31","33","23"
"2011/01/04","淡水","PM10","39","43","33","32","37","34","33","35","39","40","39","45","46","49","53","50","54","53","38","27","29","31","26","27"
"2011/01/04","淡水","PM2.5","32","37","33","31","31","29","30","34","32","29","31","37","42","36","35","43","38","33","31","23","22","25","23","24"
"2011/01/04","淡水","SO2","2.4","2.2","2","2","1.9","2","2.4","2.7","2.8","3","2.9","3","2.9","2.8","2.9","2.7","2.4","2.4","2.1","2.2","2","2.1","2.1","2.2"
"2011/01/05","淡水","CO",".53",".35",".31",".36",".27",".34",".42",".79",".98",".78",".37",".39",".34",".29",".22",".23",".25",".91",".64",".26",".23",".24",".22",".22"
"2011/01/05","淡水","NO","1.8","1",".8",".7",".6",".6","2.6","24","25","19","6","2","2.1","2.1","1.8","5.4",".5","18","10","1.2",".8",".8",".7",".5"
"2011/01/05","淡水","NO2","16","8.2","6.1","11","7.3","12","23","31","29","30","18","11","12","11","7.4","7.8","6.9","30","19","6.4","4.9","4.7","4","3.5"
"2011/01/05","淡水","NOx","18","9.1","6.9","11","7.8","12","25","54","54","49","24","13","14","13","9.2","13","7.3","49","29","7.6","5.8","5.5","4.7","4.1"
"2011/01/05","淡水","O3","17","27","28","20","25","12","7.7","4.3","2.8","10","24","33","32","34","33","33","31","8.7","16","32","34","34","35","35"
"2011/01/05","淡水","PM10","29","28","27","27","26","27","28","31","39","44","39","32","26","23","17","20","16","22","37","31","23","20","16","13"
"2011/01/05","淡水","PM2.5","29","25","22","24","25","21","22","24","23","30","32","27","25","23","18","17","16","20","26","20","16","16","15","11"
"2011/01/05","淡水","SO2","2.2","3","2.7","2.1","2.4","2","2.3","2.9","2.8","3.1","2.6","2.2","2.7","3.3","2.5","2.6","2.1","3.3","2.3","1.7","1.5","1.5","1.4","1.4"
"2011/01/06","淡水","CO",".21",".23",".25",".27",".28",".4",".48",".61",".64",".85",".93",".79",".66",".78",".87",".9",".89",".83",".67",".53",".52",".52",".49",".46"
"2011/01/06","淡水","NO",".4",".3",".4","1.1","1.2","1.3","1.5","2.7","4","7.1","9.5","5.9","3.6","3.5","3.5","4.3","3.7","3.5","2.9","2.3","2","1.9","1.8","1.5"
"2011/01/06","淡水","NO2","2.8","2.4","2.2","2.2","2","2.6","5.4","12","17","35","37","29","19","20","23","27","27","24","17","14","12","11","10","9.7"
"2011/01/06","淡水","NOx","3.2","2.7","2.6","3.3","3.2","4","6.8","15","21","42","47","35","23","23","27","32","31","27","20","16","14","13","12","11"
"2011/01/06","淡水","O3","35","36","36","37","36","32","27","18","14","5.6","5.6","10","18","16","13","11","11","15","21","26","29","30","33","33"
"2011/01/06","淡水","PM10","13","7","6","9","5","9","13","17","32","43","37","27","32","39","49","66","75","75","67","60","62","70","73","70"
"2011/01/06","淡水","PM2.5","9","7","6","10","10","14","16","14","23","35","34","30","33","37","45","58","63","63","56","46","45","47","47","43"
"2011/01/06","淡水","SO2","1.2","1.4","1.3","1.3","1.3","2.1","3","4.6","6.4","11","12","8.7","6.6","8.2","11","12","12","11","9.1","7","7.4","7.3","6.6","5.5"
"2011/01/07","淡水","CO",".41",".3",".28",".25",".24",".25",".3",".43",".42",".36",".37",".37",".39",".34",".29",".29",".27",".28",".3",".26",".24",".32",".55",".49"
"2011/01/07","淡水","NO","1.3","1.3","1.2",".8",".7",".7","1.1","2.7","2.8","2.3","2.4","2.2","2.6","2","1.6","2.1","1.6","1.9","1.9","1.7","1.7","1.7","6.4","3.1"
"2011/01/07","淡水","NO2","10","7.6","4.5","3.1","2.8","3.3","6.5","14","12","9.9","8.8","8.9","8.7","6.5","5.9","7.5","5.9","7.9","8.6","8.1","6.8","13","22","19"
"2011/01/07","淡水","NOx","12","8.9","5.7","3.9","3.5","4","7.6","16","15","12","11","11","11","8.4","7.5","9.5","7.5","9.7","10","9.7","8.5","14","28","22"
"2011/01/07","淡水","O3","30","35","40","40","39","35","32","25","25","26","27","27","26","29","30","29","30","29","29","29","31","23","11","14"
"2011/01/07","淡水","PM10","67","56","45","35","27","24","26","29","27","22","21","16","10","7","6","9","7","7","11","6","7","7","6","7"
"2011/01/07","淡水","PM2.5","41","38","28","23","21","20","23","24","24","25","21","15","13","14","11","10","11","9","10","8","3","4","3","5"
"2011/01/07","淡水","SO2","5.3","2.6","1.7","1.4","1.3","1.2","1.3","1.4","1.6","1.5","1.4","1.4","1.3","1.2","1.2","1.2","1.2","1.2","1.3","1.4","1.3","1.3","1.5","1.4"
"2011/01/08","淡水","CO",".38",".37",".26",".17",".16",".16",".19",".23",".25",".24",".28",".24",".22",".16",".16",".17",".23",".29",".52",".79",".69",".84",".55",".52"
"2011/01/08","淡水","NO","1.7","2.5","1",".7",".7",".8","1","1.5","1.6","1.7","2.3","2.1","1.9","1.3","1.6","3.6","1.2",".9","2.8","5.6","8.1","13","4.2","3.5"
"2011/01/08","淡水","NO2","15","15","9.2","2.7","2.3","2.2","5.1","6.7","7.9","8.4","9.8","6.9","5.2","3.8","6.4","5.9","8.7","13","20","28","24","29","27","19"
"2011/01/08","淡水","NOx","17","18","10","3.3","3","3","6.1","8.2","9.5","10","12","9","7.1","5.1","8","9.5","9.9","14","23","34","32","42","31","23"
"2011/01/08","淡水","O3","17","16","21","33","37","37","33","32","30","29","30","34","36","35","32","33","29","25","18","7.1","3","2","5.5","16"
"2011/01/08","淡水","PM10","7","6","2","4","0*","1","5","9","10","7","6","5","5","6","7","11","10","13","18","21","26","24","23","16"
"2011/01/08","淡水","PM2.5","8","7","8","8","5","2","0","0","4","2","8","11","7","7","9","5","3","8","11","12","16","17","16","14"
"2011/01/08","淡水","SO2","1.5","1.3","1.2","1.1","1","1","1","1.1","1.2","1.5","1.4","1.6","1.7","3.2","4.7","2.8","2.3","3","1.7","1.8","1.8","1.8","1.9","1.5"
"2011/01/09","淡水","CO",".3",".21",".19",".16",".14",".15",".16",".18",".19",".2",".19",".18",".19",".24",".3",".35",".47",".47",".53",".56",".56",".48",".45",".48"
"2011/01/09","淡水","NO","1.3",".7",".6","1.1","1.2","1.3","1.1","1.3","1.5","1.6","1.8","1.6","1.6","1.9","2.1","1.7","1.6","1.5","1.5","1.7","1.8","1.4","1.4","1.4"
"2011/01/09","淡水","NO2","8.9","4.9","3.6","1.9","2","2.3","2.9","4.2","5.1","5.5","4.4","3.5","3.7","6.1","9.7","10","14","15","20","23","21","13","11","9.1"
"2011/01/09","淡水","NOx","10","5.6","4.2","3","3.3","3.6","4","5.6","6.6","7.1","6.3","5.1","5.2","8","12","12","15","16","21","24","23","15","12","10"
"2011/01/09","淡水","O3","29","34","37","40","39","40","39","37","36","35","37","38","37","33","32","38","45","47","38","32","31","39","41","40"
"2011/01/09","淡水","PM10","7","6","5","7","6","4","6","7","9","15","12","6","10","17","27","43","62","78","87","92","94","87","72","70"
"2011/01/09","淡水","PM2.5","11","5","3","4","3","2","1","3","4","5","8","9","8","13","22","30","48","56","55","58","62","61","52","52"
"2011/01/09","淡水","SO2","1.3","1.2","1.1","1","1","1","1","1","1.1","1.2","1.1","1.1","1.1","1.5","2.3","3.7","5.8","7","8.3","8","7.3","6.3","5.5","5.6"
"2011/01/10","淡水","CO",".56",".6",".6",".55",".34",".28",".27",".32",".32",".29",".28",".26",".25",".25",".26",".34",".32",".41",".4",".52",".51",".46",".61",".41"
"2011/01/10","淡水","NO","1.2","1.2","1.2","1.2","1","1","1.3","2.5","2.6","2.3","2.6","2.2","2.1","1.9","2.3","11","3.3","4.5","2.5","6.7","4.2","2.2","5.7","2.7"
"2011/01/10","淡水","NO2","10","9.9","9.3","7.2","4.5","3.4","4.7","8.5","7.7","8.7","7.8","7.1","5.8","6.3","7","14","12","15","12","18","21","17","21","14"
"2011/01/10","淡水","NOx","11","11","10","8.3","5.5","4.4","6","11","10","11","10","9.3","7.9","8.3","9.3","25","15","19","15","25","25","19","27","17"
"2011/01/10","淡水","O3","32","30","29","31","35","36","35","31","30","29","30","31","32","31","30","19","23","19","21","14","8.4","15","7.7","15"
"2011/01/10","淡水","PM10","77","72","62","59","40","20","13","11","11","10","6","4","5","7","6","9","6","2","7","13","11","6","4","1"
"2011/01/10","淡水","PM2.5","57","58","57","54","38","17","10","11","9","6","7","6","7","9","9","11","4","1","5","4","6","7","8","11"
"2011/01/10","淡水","SO2","6.3","7.6","7.9","6.9","2.9","1.5","1.2","1.2","1.3","1.5","1.3","1.3","1.1","1.1","1.1","1.6","1.3","1.2","1.3","1.4","1.3","1.4","1.3","1.3"
"2011/01/11","淡水","CO",".34",".2",".19",".19",".2",".21",".26",".33",".34",".34",".38",".4",".41",".38",".39",".44",".49",".52",".51",".48",".44",".41",".42",".36"
"2011/01/11","淡水","NO","1.6","1","1",".6",".9",".6","1.2","1.9","2.2","2.1","2.2","2","2.1","1.7","1.8","1.9","2.2","2.4","2","1.6","1.7","1.2","1.4","1.2"
"2011/01/11","淡水","NO2","10","2.5","1.8","2.4","2","2.1","4.6","6.8","8","7.4","9.7","8.7","9.6","9.1","9.9","12","14","14","14","11","9.4","8.1","9.1","7.8"
"2011/01/11","淡水","NOx","12","3.6","2.8","3","2.9","2.8","5.9","8.7","10","9.5","12","11","12","11","12","13","16","17","15","12","11","9.3","11","9"
"2011/01/11","淡水","O3","19","35","38","39","39","39","36","33","31","31","28","30","30","31","31","30","28","27","27","29","31","32","30","32"
"2011/01/11","淡水","PM10","0*","0*","0*","1","2","7","10","12","16","21","22","21","20","13","9","7","12","15","12","15","15","20","22","18"
"2011/01/11","淡水","PM2.5","6","2","6","7","1","3","4","3","8","16","21","19","19","14","6","6","12","13","13","15","12","13","19","20"
"2011/01/11","淡水","SO2","1.2",".7",".7",".7",".7",".8","1","1.1","1.6","1.6","1.9","1.8","1.5","1.3","1.1","1.5","1.9","2.6","3.1","2.6","2.8","3.1","3.3","2.8"
"2011/01/12","淡水","CO",".24",".25",".3",".34",".34",".36",".4",".47",".55",".6",".62",".62",".69",".63",".54#",".59",".73",".96","1.08",".87",".71",".81",".63",".44"
"2011/01/12","淡水","NO",".9",".9",".8","1.1","1","1","1.4","3","4.1","6.7","7.3","8.8","11","10#","4.1","3.4","14","31","30","13","8","11","3.6","1"
