"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","萬里","AMB_TEMP","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","13","13","13","13"
"2011/01/01","萬里","CO",".22",".22",".22",".22",".23",".22",".23",".25",".25",".24",".25",".24",".23",".23",".24",".25",".24",".24",".26",".27",".28",".28",".28",".29"
"2011/01/01","萬里","NO","1.3","1.4","1.4","2.5","2.1","2.3","2.4","2.9","2.7","3","2.9","3","2.7","2.7","2.9","3.6","3.4","3.1","2.9","2.8","2.8","2.5","2.4","2.3"
"2011/01/01","萬里","NO2","4.3","4.6","4.8","4.3","3.9","3.9","4.4","5.1","4.7","4.7","4.5","4.8","4.8","5","5.6","6.2","6.3","5.6","6.4","7.5","7.9","6.3","5.4","5"
"2011/01/01","萬里","NOx","5.6","6.1","6.2","6.8","6","6.3","6.8","7.9","7.4","7.7","7.4","7.8","7.6","7.7","8.5","9.7","9.7","8.7","9.3","10","11","8.7","7.8","7.3"
"2011/01/01","萬里","O3","39","39","38","37","38","36","35","34","34","35","37","38","40","40","39","39","39","39","36","34","32","33","35","35"
"2011/01/01","萬里","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","萬里","PM10","103","99","98","104","105","103","103","98","86","83","81","77","72","71","75","75","78","81","76","81","89","84","78","73"
"2011/01/01","萬里","PM2.5","14","16","18","19","18","13","14","20","17","11","14","13","9","10","12","12","13","15","16","16","17","18","17","18"
"2011/01/01","萬里","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","萬里","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","萬里","RH","60","57","57","58","58","60","60","61","62","62","61","64","63","63","65","65","64","61","63","61","63","62","63","65"
"2011/01/01","萬里","SO2","4.7","4.1","4.2","3.7","3.6","3.8","4","3.6","3.3","3.5","3.8","3.6","3.3","3","2.8","2.9","2.9","3.1","3.7","4.3","4.3","3.9","3.4","3"
"2011/01/01","萬里","WD_HR","52","52","53","53","47","38","37","43","41","34","32","29","28","28","35","42","51","45","43","51","54","54","53","52"
"2011/01/01","萬里","WIND_DIREC","55","55","55","50","40","26","40","48","30","39","32","27","25","28","40","38","55","42","46","53","52","50","54","52"
"2011/01/01","萬里","WIND_SPEED","5.5","5.2","5.8","5","7","8","6.2","6.6","7.1","7.6","7.2","9.2","9.5","7.8","5.9","7.1","6.3","6.7","6.1","5","6.7","7.3","7.2","6.9"
"2011/01/01","萬里","WS_HR","5.8","5.8","5.2","4.5","4.7","5.5","5.5","5.2","5.4","6.5","7","8.1","8.4","7.6","6.5","5.6","5.2","5.1","5.8","4.9","5","6.3","7","7.9"
"2011/01/02","萬里","AMB_TEMP","13","13","13","14","14","14","14","14","15","15","15","15","15","15","16","16","16","16","16","16","15","15","15","14"
"2011/01/02","萬里","CO",".27",".27",".25",".23",".23",".23",".23",".25",".25",".25",".25",".25",".25",".27",".26",".26",".24",".23",".24",".26",".3",".3",".29",".27"
"2011/01/02","萬里","NO","2.4","1.9","1.9","1.3","1.3","1.6","1.5","1.7","1.7","1.4","2","2","2","2.6","2.4","2.6","2.2","1.9","1.7","1.9","1.8","1.8","2.2","1.7"
"2011/01/02","萬里","NO2","4.4","4.4","4.5","3.3","3.2","3","3.3","3.3","3.5","3.5","3.9","4.7","4.5","5.9","5.3","6.3","4.6","3.9","3.8","4.9","12","9.6","9.3","7.2"
"2011/01/02","萬里","NOx","6.8","6.3","6.4","4.6","4.5","4.5","4.8","4.9","5.2","4.9","6","6.7","6.6","8.5","7.7","8.8","6.9","5.8","5.4","6.7","14","11","12","9"
"2011/01/02","萬里","O3","36","35","37","39","39","41","40","40","39","39","39","39","39","39","40","39","39","40","39","37","26","26","20","21"
"2011/01/02","萬里","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","","NR"
"2011/01/02","萬里","PM10","76","82","81","76","70","66","66","70","67","61","66","68","73","87","89","86","79","64","54","46","33","23","22","24"
"2011/01/02","萬里","PM2.5","18","17","14","11","14","17","15","16","19","15","18","21","19","20","17","14","19","19","13","13","10","11","14","11"
"2011/01/02","萬里","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","萬里","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","","NR"
"2011/01/02","萬里","RH","64","65","64","64","66","65","63","67","67","66","66","65","65","67","67","69","73","75","75","75","79","83","86","89"
"2011/01/02","萬里","SO2","2.7","2.9","2.6","2","1.8","1.7","2","1.6","1.7","1.7","1.8","1.8","2.1","1.8","1.7","1.4","1.5","1.5","1.4","2.1","6.2","3.7","2.3","2"
"2011/01/02","萬里","WD_HR","54","53","52","53","52","52","52","52","52","51","52","54","52","52","52","56","51","52","51","62","183","180","189","174"
"2011/01/02","萬里","WIND_DIREC","52","55","56","52","53","51","48","51","51","52","51","49","51","55","51","68","52","53","53","78","157","166","190","181"
"2011/01/02","萬里","WIND_SPEED","7.6","5.4","5.9","7.3","8.2","6.8","5.9","6.8","5.6","5.9","6.6","5.1","3.8","3.4","4.8","2.6","7.6","7.1","7.8","4.1","2.3","1.8","2.8","2.2"
"2011/01/02","萬里","WS_HR","6.8","5.4","5.3","5.9","6.8","6.7","5.2","5.9","5.8","6","5.3","4.3","4.1","3.6","3.9","3.4","5.7","7.1","6.9","4.6","1.5","1.6","1.9","1.3"
"2011/01/03","萬里","AMB_TEMP","14","14","14","14","14","15","15","15","15","14","14","14","14","14","14","14","14","14","14","13","13","13","13",""
"2011/01/03","萬里","CO",".26",".25",".24",".23",".22",".23",".3",".24",".23",".23",".24",".24",".25",".26",".26",".27",".29",".29",".29",".29",".28",".29",".3",""
"2011/01/03","萬里","NO","1.6","1.4","1.3","1.1","1.1",".7","2.4","2","1.6","1.9","1.3","1.3","1.4","1.3","1.4","1.4","1.7","1.8","1.4","1",".9","1.1","1.1",""
"2011/01/03","萬里","NO2","6.3","4.7","4.5","2.8","2.9","3.5","11","5.5","5.6","3.9","4.8","3.8","4.1","4.7","4.7","5.5","7","5.7","4.8","5","4.8","5.3","5.2",""
"2011/01/03","萬里","NOx","7.9","6","5.7","3.9","4","4.2","13","7.5","7.2","5.7","6.1","5.1","5.5","6","6.1","6.9","8.7","7.4","6.2","6.1","5.7","6.4","6.3",""
"2011/01/03","萬里","O3","21","20","21","20","20","21","25","38","39","38","37","38","37","37","37","36","34","37","38","38","39","37","40",""
"2011/01/03","萬里","PH_RAIN","NR","NR","NR","NR","NR","NR","3.9","3.9","4.3","4.3","4.4","4.4","4.5","4.2","NR","NR","NR","3.9","NR","3.5","NR","NR","NR",""
"2011/01/03","萬里","PM10","20","15","17","17","16","20","26","32","31","21","17","18","26","34","40","39","42","54","51","40","38","39","43",""
"2011/01/03","萬里","PM2.5","8","10","10","7","8","9","12","12","7","2","0","3","5","1","3","4","0","9","20","23","18","14","17",""
"2011/01/03","萬里","RAINFALL","NR","NR","NR","NR","NR","NR",".6","7","4.4","4.2","4","4","2.8","1.4",".4","NR","NR",".2",".8",".4",".4",".6",".4",""
"2011/01/03","萬里","RAIN_COND","NR","NR","NR","NR","NR","NR","302","66","32","60","67","60","60","91","NR","NR","NR","234","NR","561","NR","NR","NR",""
"2011/01/03","萬里","RH","88","91","91","92","92","92","90","93","94","94","93","93","93","91","90","89","85","88","90","92","93","92","91",""
"2011/01/03","萬里","SO2","2.2","1.5","1.5","1.2","1.1","1.1","1.5","1.1","1","1.3","1.2","1.1","1.1","1.2","1.3","1.3","1.4","1.6","1.7","2.2","2.2","2.2","2.5",""
"2011/01/03","萬里","WD_HR","204","201","209","210","206","201","311","23","330","42","350","50","43","33","26","27","36","37","26","24","24","24","22",""
"2011/01/03","萬里","WIND_DIREC","206","212","208","209","206","179","276","48","356","18","17","82","42","39","31","23","39","32","26","22","22","23","22",""
"2011/01/03","萬里","WIND_SPEED","2.9","2.9","3.1","2.8","3.4","1.3","2.2","6.2","4.9","6.9","6.5","6.6","6.8","7","7.7","8.5","5.9","8","11","11","11","11","11",""
"2011/01/03","萬里","WS_HR","2.4","2.9","3","3.4","3.3","2.3","1.1","2.1","1","2.5","2","3.7","3.5","4.2","7.1","7.6","5.8","6.2","9.3","11","10","10","11",""
"2011/01/04","萬里","AMB_TEMP","","","","","","","","","","","14#","15","15","14","15","15","15","15","15","15","15","15","15","16"
"2011/01/04","萬里","CO","","","","","","","","","","",".35#",".41",".44",".47",".43",".39",".35",".32",".31",".3",".3",".3",".32",".3"
"2011/01/04","萬里","NO","","","","","","","","","","","1.3#","1.5","1.9","2.1","1.8","1.7","1.4","1.2","1.1","1.2","1","1","1.3","1"
"2011/01/04","萬里","NO2","","","","","","","","","","","-.7#","4.4","6.9","8","6.8","6.4","5.2","4.3","4.3","4.3","3.6","3.2","3.9","3.2"
"2011/01/04","萬里","NOx","","","","","","","","","","",".7#","5.9","8.8","10","8.6","8.1","6.6","5.5","5.4","5.5","4.6","4.2","5.1","4.2"
"2011/01/04","萬里","O3","","","","","","","","","","","20#","35","32","32","35","37","38","40","41","41","42","41","39","40"
"2011/01/04","萬里","PH_RAIN","","","","","","","","","","","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","","NR"
"2011/01/04","萬里","PM10","","","","","","","","","","","5004*","55","70","90","92","88","82","70","65","66","59","53","55","56"
"2011/01/04","萬里","PM2.5","","","","","","","","","","","1000*","50","38","27","29","30","29","40","36","24","24","21","23","29"
"2011/01/04","萬里","RAINFALL","","","","","","","","","","","0#","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/04","萬里","RAIN_COND","","","","","","","","","","","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","","NR"
"2011/01/04","萬里","RH","","","","","","","","","","","81#","77","79","81","78","77","80","81","81","81","82","85","84","83"
"2011/01/04","萬里","SO2","","","","","","","","","","","-.1#","2.2","3.3","3.4","3","2.7","2","1.8","2.2","2.5","2.5","2","2.6","2.2"
"2011/01/04","萬里","WD_HR","","","","","","","","","","","48#","50","52","51","52","51","52","52","60","60","65","61","72","77"
"2011/01/04","萬里","WIND_DIREC","","","","","","","","","","","48#","51","56","51","50","50","52","60","67","70","62","67","75","87"
