"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","觀音","AMB_TEMP","11","10","11","11","11","11","12","12","13","14","14","14","14","14","14","13","13","12","12","12","13","13","13","13"
"2011/01/01","觀音","CO",".33",".34",".33",".28",".23",".21",".24",".38",".3",".24",".23",".23",".22",".23",".22",".22",".21",".22",".22",".23",".33",".37",".42",".43"
"2011/01/01","觀音","NO","1.3","1.4","1.3","7.7","3.2","2.5","2.7","3.2","3.1","3.1","2.9","3.1","2.6","2.2","2.2","2.2","1.8","1.4","1.1","1.3","1.4","1.7","1.7","2.1"
"2011/01/01","觀音","NO2","18","20","18","31","24","20","20","14","8.3","6.6","6.9","6.7","6.1","5.6","7.1","8.6","9.1","9.2","8","8.9","10","16","15","18"
"2011/01/01","觀音","NOx","20","21","19","39","28","23","22","18","11","9.7","9.8","9.7","8.7","7.8","9.3","11","11","11","9.1","10","12","17","17","20"
"2011/01/01","觀音","O3","19","17","16","5.4","11","16","17","22","29","32","34","36","39","39","37","34","34","34","34","31","29","22","22","18"
"2011/01/01","觀音","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","觀音","PM10","82","82","106","91","60","74","75","81","89","85","102","83","75","97","71","65","68","59","57","57","62","78","80","71"
"2011/01/01","觀音","PM2.5","10","10","39","50","28","25","25","26","28","26","25","27","17","6","9","17","26","23","17","26","24","19","22","27"
"2011/01/01","觀音","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","觀音","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","觀音","RH","62","64","64","63","61","59","57","56","55","56","55","54","54","54","56","59","60","60","59","62","61","59","61","62"
"2011/01/01","觀音","SO2","6.6","8.2","11","21","16","12","14","11","6.6","6.8","7.9","7.8","6.3","6.8","6.6","6.9","8","9.1","6.2","7","7","11","10","14"
"2011/01/01","觀音","WD_HR","93","91","88","89","89","90","89","88","86","79","76","67","63","62","66","66","71","75","84","83","87","90","89","90"
"2011/01/01","觀音","WIND_DIREC","93","89","89","89","90","91","90","85","87","78","71","61","61","66","67","61","63","78","80","86","88","88","88","89"
"2011/01/01","觀音","WIND_SPEED","4.7","5.4","5.2","5.7","6.2","6.2","6.4","6.6","7.6","7.6","8.7","8.7","9.4","8.1","7.8","8.3","8.9","7.8","7.5","6.2","7.7","6.7","7.4","6.6"
"2011/01/01","觀音","WS_HR","5.1","5.2","5.6","5.6","6.2","6.3","6.3","6.3","6.8","7.3","7.6","7.9","8.6","8.5","7.5","7.6","6.9","6.9","7.6","6.9","6.8","7.2","6.4","6.6"
"2011/01/02","觀音","AMB_TEMP","13","14","14","14","14","14","14","14","15","16","17","18","18","17","17","16","16","16","16","16","16","16","16","16"
"2011/01/02","觀音","CO",".37",".35",".29",".25",".29",".44",".47",".65",".5",".24",".23",".24",".22",".22",".22",".23",".24",".24",".24",".88",".57",".32",".29",".62"
"2011/01/02","觀音","NO","2.3","1.5","1","1.1",".8",".9","1.5","1.9","2.8","1.7","1.6","1.7","1.1","1",".9",".9","1",".7",".3","1.9","2.8",".6",".5","3.7"
"2011/01/02","觀音","NO2","18","12","9.4","9.6","6","10","18","16","12","5.8","4.9","5.4","5.4","4.5","4.3","5.5","8.5","9.7","7.4","24","25","17","20","30"
"2011/01/02","觀音","NOx","21","13","10","11","6.8","11","19","18","14","7.5","6.5","7","6.6","5.4","5.1","6.4","9.5","10","7.7","26","27","18","20","34"
"2011/01/02","觀音","O3","17","25","27","28","32","27","21","23","28","35","37","37","38","38","37","34","30","29","31","14","12","20","15","6.1"
"2011/01/02","觀音","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","觀音","PM10","67","68","56","57","60","60","81","76","85","77","61","67","54","64","67","69","58","48","63","70","64","45","49","58"
"2011/01/02","觀音","PM2.5","32","36","29","22","19","22","33","41","35","24","18","18","25","23","20","25","26","23","24","33","32","24","20","26"
"2011/01/02","觀音","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","觀音","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/02","觀音","RH","62","63","63","63","63","64","65","63","61","60","58","58","60","70","71","73","75","76","75","76","73","73","76","77"
"2011/01/02","觀音","SO2","14","6.5","5.2","4.2","3.8","6.4","12","9.9","8.1","3.9","3","4.3","8","2.4","3.2","9.7","7.6","6.9","2","9","11","11","11","16"
"2011/01/02","觀音","WD_HR","90","88","87","86","86","87","89","90","84","81","78","69","59","54","55","57","63","76","83","88","85","70","81","88"
"2011/01/02","觀音","WIND_DIREC","90","85","84","88","90","91","92","94","84","82","76","68","59","54","55","65","66","84","91","89","80","73","90","88"
"2011/01/02","觀音","WIND_SPEED","7","6.6","6.4","5.8","6.2","5.5","5.7","5.4","6.8","6.8","7.4","6.3","7.8","8.3","8.3","6.5","6.6","5.6","4.3","4.8","3.5","3.4","3.9","2.3"
"2011/01/02","觀音","WS_HR","6.4","6.2","6.3","5.9","6","5.8","5.5","5.3","5.6","6.4","6.9","6.1","7","7.8","8.1","7.4","7.1","5.6","4.8","4.4","4","4.3","3.3","3"
"2011/01/03","觀音","AMB_TEMP","16","17","17","17","17","17","16","16","14","14","14","14","14","14","14","15","14","15","14","14","13","13","13","13"
"2011/01/03","觀音","CO",".48",".24",".42",".23",".2",".19",".2",".27",".26",".23",".24",".26",".26",".25",".26",".28",".29",".29",".29",".29",".27",".28",".3",".31"
"2011/01/03","觀音","NO","5.3",".3",".3",".5",".2",".4",".6",".8",".8",".7",".7","1",".9","1","1.6","1.5","1.3","1.2","1.1",".9","1","1","1",".9"
"2011/01/03","觀音","NO2","26","13","17","10","3.2","3","3.4","5.7","6.1","5.4","5.5","6.6","6.4","6.4","10","9","8.2","7.9","6.9","5.7","5.4","5.5","5.1","5"
"2011/01/03","觀音","NOx","32","13","18","11","3.4","3.3","4","6.5","6.8","6.1","6.2","7.6","7.2","7.3","12","10","9.5","9.1","8","6.6","6.4","6.5","6.1","5.9"
"2011/01/03","觀音","O3","9.4","23","22","28","38","39","39","29","30","33","32","28","29","31","27","29","30","31","33","36","37","36","39","41"
"2011/01/03","觀音","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","3.6","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","","NR"
"2011/01/03","觀音","PM10","60","76","64","51","61","45","36","36","30","26","40","29","29","45","28","34","39","39","46","61","46","39","46","47"
"2011/01/03","觀音","PM2.5","36","22","19","25","20","13","15","10","6","14","9","9","5","15","13","7","15","21","29","35","27","8","16","34"
