"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","三義","AMB_TEMP","5","5","4.9","4.5","4.4","4.4","4.4","4.8","6.5","8.6","11","13","13","13","12","11","10","8.5","7.6","7","6.5","6.2","6.3","6.5"
"2011/01/01","三義","CO",".22",".2",".19",".19",".2",".2",".21",".22",".23",".22",".23",".25",".25",".28",".29",".31",".3",".3",".29",".29",".26",".27",".27",".26"
"2011/01/01","三義","NO",".5",".3",".2","1.3","1","1.1","1.1","1.3","2","2.1","2.3","2.7","2.4","2.6","2.7","3","2.6","1.7","1.4","1.4","1.2","1.1","1.3","1"
"2011/01/01","三義","NO2","5.7","4.3","3.5","3.9","3.7","3.2","3.5","4.1","4.7","4.2","4.7","6.3","6.1","7.2","8.4","10","11","12","11","9.6","6.5","5.7","5.6","5.5"
"2011/01/01","三義","NOx","6.2","4.6","3.7","5.2","4.7","4.3","4.6","5.4","6.7","6.3","7","9","8.5","9.8","11","13","14","14","13","11","7.7","6.8","6.9","6.5"
"2011/01/01","三義","O3","36","37","37","35","35","33","31","30","31","33","36","39","41","41","40","36","33","31","30","30","32","32","31","30"
"2011/01/01","三義","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","三義","PM10","44","46","43","42","42","39","38","38","38","39","43","46","54","57","59","60","59","55","46","40","34","33","35","35"
"2011/01/01","三義","PM2.5","25","22","16","16","15","20","20","21","21","17","17","25","32","31","29","26","23","21","14","17","17","13","19","21"
"2011/01/01","三義","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","三義","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","三義","RH","61","63","64","68","70","72","74","74","67","61","53","49","49","51","54","57","62","67","71","75","77","77","77","77"
"2011/01/01","三義","SO2","2.7","2.5","2.3","2.2","2","2.1","2","2.1","2","1.9","2","2.2","1.9","2.1","2.3","2.3","2","2.3","2","1.6","1.4","1.4","1.3","1.3"
"2011/01/01","三義","UVB","0","0","0","0","0","0","0",".3","1.3","2.7","4.1","4.9","4.7","3.7","2.5","1.1",".3","0","0","0","0","0","0","0"
"2011/01/01","三義","WD_HR","35","34","33","26","28","32","32","34","35","39","42","48","47","51","49","49","42","38","36","33","32","34","31","33"
"2011/01/01","三義","WIND_DIREC","36","32","29","26","29","29","30","31","37","41","40","46","44","43","64","40","37","37","32","28","37","33","31","34"
"2011/01/01","三義","WIND_SPEED","5.6","4.9","4.9","4.7","4.9","4.8","4.8","4.9","5","4.8","5.4","6.8","7.5","7.1","6.9","6.7","6.8","6.1","5.5","4.8","4.6","4.4","4.4","3.9"
"2011/01/01","三義","WS_HR","5","4.6","4.4","4.6","4.6","4.3","4.6","4.2","4.5","4.2","4.3","4.3","5.6","5.3","5.2","5.1","5.4","5.5","5.1","4.7","4.3","4","4.1","3.8"
