"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","馬祖","AMB_TEMP","9.9","9.9","10","10","9.9","9.8","9.6","9.6","9.6","9.7","9.9","10","9.7","9.7","10","9.8","9.3","9.4","9.7","10","10","10","9.9","9.9"
"2011/01/01","馬祖","CO",".25",".24",".24",".24",".24",".25",".27",".32",".3",".28",".28",".28",".28",".28",".25",".24",".24",".24",".24",".23",".27",".27",".28",".29"
"2011/01/01","馬祖","NO",".7","-.1","-.2",".8",".6",".5",".7","1.6","1.9","2.5","3","3","3.3","2.9","1.6","1.4","1.3","1.5","1.3","1",".8","1",".8",".5"
"2011/01/01","馬祖","NO2","6.3","6.1","6.3","5.4","6.1","6.2","6.9","9.6","9.5","8.3","8.6","8.3","9.5","8","6.2","7.1","6.1","5.7","5.8","5.2","6.6","7","7.6","7.7"
"2011/01/01","馬祖","NOx","7","6.1","6.1","6.2","6.7","6.7","7.7","11","11","11","12","11","13","11","7.9","8.5","7.4","7.2","7.1","6.2","7.4","8","8.4","8.2"
"2011/01/01","馬祖","O3","38","37","35","34","33","30","28","26","28","30","31","32","31","35","41","39","38","37","36","36","34","32","30","29"
"2011/01/01","馬祖","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","馬祖","PM10","78","81","79","81","82","84","88","90","90","86","78","78","79","79","72","67","61","53","51","49","50","53","55","61"
"2011/01/01","馬祖","PM2.5","19","21","23","21","20","25","30","31","31","30","27","22","22","23","21","19","19","17","18","18","20","23","23","25"
"2011/01/01","馬祖","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","馬祖","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","馬祖","RH","53","52","51","51","52","54","54","54","54","53","53","52","53","51","46","47","46","46","45","43","45","47","49","50"
