"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","台南","AMB_TEMP","13","13","12","12","11","11","10","10","11","13","15","17","19","20","20","19","18","17","16","15","14","13","12","12"
"2011/01/01","台南","CH4","1.9","1.8","1.8","1.8","1.8","1.9","1.9","1.9","1.9","2","2","2","1.9","1.8","1.8","1.8","1.8","1.8","1.9","1.9","1.9","1.9","1.9","1.9"
"2011/01/01","台南","CO",".35",".28",".25",".23",".25",".26",".27",".33",".44",".62",".69",".77",".66",".35",".3",".36",".43",".55",".58",".57",".57",".56",".54",".43"
"2011/01/01","台南","NMHC",".13",".1",".06",".07",".09",".1",".1",".13",".17",".27",".31",".35",".28",".12",".08",".1",".16",".21",".21",".2",".19",".2",".2",".16"
"2011/01/01","台南","NO","1.5","1.3","1.4","1.7","1.9","1.7","1.8","3.3","6.8","14","12","10","7.2","2.7","1.9","1.8","1.8","1.8","2.4","2.8","3.8","4.1","4.8","3.3"
"2011/01/01","台南","NO2","21","15","14","13","13","14","16","21","20","25","29","34","28","13","9.9","15","17","25","28","35","35","33","32","29"
"2011/01/01","台南","NOx","23","17","15","14","15","16","18","24","27","39","41","44","35","16","12","16","19","26","31","37","39","37","37","33"
"2011/01/01","台南","O3","24","30","31","30","27","23","21","17","19","18","27","36","47","66","66","67","60","36","26","15","9.3","7.4","6.7","6.9"
"2011/01/01","台南","PM10","66","68","72","71","69","63","66","65","65","66","83","108","114","109","84","80","77","106","130","152","135","114","89","76"
"2011/01/01","台南","PM2.5","26","22","26","23","22","22","26","32","35","40","49","64","68","62","46","41","36","43","46","54","53","51","43","39"
"2011/01/01","台南","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","台南","RH","28","26","31","36","43","49","52","53","52","49","47","43","43","45","50","52","55","56","58","59","60","61","62","64"
"2011/01/01","台南","SO2","4.6","4","4.9","4.1","4.1","4.1","4.7","5.1","5.1","5.7","6.8","6.8","5.8","5.3","4","5.7","4.8","4.7","4.7","6.2","6.2","4.9","4.3","4.4"
"2011/01/01","台南","THC","2","1.9","1.9","1.9","1.9","2","2","2","2.1","2.2","2.3","2.3","2.2","1.9","1.9","1.9","2","2.1","2.1","2.1","2.1","2.1","2.1","2.1"
"2011/01/01","台南","UVB","0","0","0","0","0","0","0",".2",".9","2.2","3.5","4.3","4.5","3.9","2.5",".9",".2","0","0","0","0","0","0","0"
"2011/01/01","台南","WD_HR","50","58","60","51","53","55","51","49","48","33","4.9","295","286","264","227","232","270","31","47","55","42","45","43","43"
"2011/01/01","台南","WIND_DIREC","57","54","75","49","42","49","45","55","46","21","77","304","255","274","229","266","333","48","55","77","41","47","49","28"
"2011/01/01","台南","WIND_SPEED","4.2","4","3.8","4.1","4.2","3.3","2.7","2.4","1.9","1.7","1","1.8","1.5","2.5","2.3","1.5","1.9","2.2","2.2","2.8","3","2.3","3.5","2.1"
"2011/01/01","台南","WS_HR","2.3","2.3","2.1","2.7","2","1.8","2.2","1.8","1.8",".8",".6","1.1","1","2","2","1.5","1.1",".6","1.3","1.4","1.6","2","2.3","2.2"
"2011/01/02","台南","AMB_TEMP","12","11","11","11","11","11","11","11","12","15","17","19","20","21","20","20","20","19","17","17","16","16","16","16"
"2011/01/02","台南","CH4","1.9","1.9","1.9","1.9","2","2","2","2","2","2","1.9","1.9","1.8","1.8","1.8","1.8","1.8","1.8","1.8","1.9","1.9","1.9","2","2"
