"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/01/01","安南","AMB_TEMP","13","12","12","11","10","10","9.6","9.3","10","12","14","17","18","19","19","19","18","16","15","14","13","12","11","11"
"2011/01/01","安南","CH4","1.9","1.9","1.8","1.9","1.9","1.9","1.9","1.9","1.9","2","2","1.9","1.9","1.9","1.8","1.8","1.9","1.9","1.9","1.9","1.9","1.9","1.9","2"
"2011/01/01","安南","CO",".28",".24",".23",".23",".26",".28",".28",".32",".35",".44",".45",".49",".49",".41",".34",".34",".38",".42",".44",".49",".47",".45",".44",".42"
"2011/01/01","安南","NMHC",".08",".07",".06",".08",".09",".1",".09",".12",".13",".15",".17",".17",".15",".11",".08",".08",".1",".12",".12",".13",".13",".13",".13",".13"
"2011/01/01","安南","NO","1.2","1.5",".7","2.4","2.7","2.2","2.2","5.5","8.1","9.4","14","11","6.3","3","2.2","2.7","2.7","2.7","2.2","2.9","2.4","3","3.3","4.2"
"2011/01/01","安南","NO2","16","12","11","12","12","13","14","19","18","20","24","25","21","12","9.1","10","14","18","20","30","28","25","25","27"
"2011/01/01","安南","NOx","17","13","12","15","15","15","16","25","26","29","37","36","28","15","11","13","17","20","22","33","30","28","28","31"
"2011/01/01","安南","O3","25","29","29","25","22","21","20","14","17","22","20","28","43","59","60","56","45","34","26","12","12","12","9.3","5.6"
"2011/01/01","安南","PM10","56","55","63","71","68","68","67","70","68","84","92","105","106","111","104","92","96","116","140","139","127","105","86","75"
"2011/01/01","安南","PM2.5","24","23","21","29","33","29","29","24","31","35","44","54","53","53","46","39","44","44","51","46","51","48","46","42"
"2011/01/01","安南","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2011/01/01","安南","RH","33","32","37","42","49","53","56","57","55","53","50","48","46","46","49","52","53","58","60","62","62","63","64","67"
