"¤é´Á","´ú¯¸","´ú¶µ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2011/05/30","³Á¼d","AMB_TEMP","","","","","","","","","","","","","","","","","38#","29","28","28","28","28","27","27"
"2011/05/30","³Á¼d","CO","","","","","","","","","","","","","","","","",".34",".42",".37",".32",".35",".32",".3",".34"
"2011/05/30","³Á¼d","NO","","","","","","","","","","","","","","","","","1.2","1.4","1.1","1","1.5",".9","1.1","1.2"
"2011/05/30","³Á¼d","NO2","","","","","","","","","","","","","","","","","15","16","12","9.1","9","7.7","8.4","12"
"2011/05/30","³Á¼d","NOx","","","","","","","","","","","","","","","","","16","18","13","10","10","8.6","9.5","13"
"2011/05/30","³Á¼d","O3","","","","","","","","","","","","","","","","","90","83","72","63","58","56","47","40"
"2011/05/30","³Á¼d","PM10","","","","","","","","","","","","","","","","","78","75","72","71","65","66","67","68"
"2011/05/30","³Á¼d","PM2.5","","","","","","","","","","","","","","","","","50","41","36","38","36","37","41","36"
"2011/05/30","³Á¼d","RH","","","","","","","","","","","","","","","","","65#","70","81","92","97","102*","107*","106*"
"2011/05/30","³Á¼d","SO2","","","","","","","","","","","","","","","","","6.7","4.7","2.2",".8",".6",".5",".2",".3"
"2011/05/30","³Á¼d","WD_HR","","","","","","","","","","","","","","","","","315#","316","317","322","320","328","16","174"
"2011/05/30","³Á¼d","WIND_DIREC","","","","","","","","","","","","","","","","","332#","312","304","322","321","329","26","197"
"2011/05/30","³Á¼d","WIND_SPEED","","","","","","","","","","","","","","","","","1.9#","2.3","1.5","1.5","1.5","1.2",".3",".8"
"2011/05/30","³Á¼d","WS_HR","","","","","","","","","","","","","","","","","1.7#","1.8","1.6","1.7","1.1",".9",".4",".4"
"2011/05/31","³Á¼d","AMB_TEMP","27","27","27","27","27","27","27","28","28","29","29","29","29","30","29","29","29","29","29","28","28","28","28","28"
"2011/05/31","³Á¼d","CO",".39",".34",".3",".32",".3",".3",".32",".33",".31",".34",".25",".23",".26",".26",".31",".28",".34",".51",".28",".38",".39",".37",".4",".23"
"2011/05/31","³Á¼d","NO","1.4","1.5","1.4","2.3","1.3","1.6","1.9","2.4","1.9","2.4","1.4","1.3","1.5","2.1","2.5","1.5","1.8#","1.9#",".9","4.7","1.9","1.8","1.2","1.4"
"2011/05/31","³Á¼d","NO2","13","11","10","13","8.9","9.3","8.1","7.8","7.9","15","9.2","5.5","7.9","20","18","11","17#","14#","8.2","13","13","12","13","10"
"2011/05/31","³Á¼d","NOx","15","13","11","15","10","11","10","10","9.8","18","11","6.8","9.4","22","21","12","19#","16#","9.1","18","15","14","14","11"
"2011/05/31","³Á¼d","O3","29","28","28","17","22","31","37","49","57","77","73","","0#","0#","0#","0#","70","61","60","45","38","33","30","25"
"2011/05/31","³Á¼d","PM10","70","72","72","71","75","84","90","90","82","76","62","45","48","55","62","","72","78","78","79","86","92","98","65"
"2011/05/31","³Á¼d","PM2.5","39","45","49","52","51","56","61","62","61","57","47","35","32","35","42","","","58","57","58","59","61","68","49"
"2011/05/31","³Á¼d","RH","106*","111*","111*","111*","111*","111*","111*","102*","90","71","66","63","63","60","69","75","73","72","79","84","87","86","85","86"
"2011/05/31","³Á¼d","SO2",".3","1.7","1.6","1.6","1.9","2.6","3.2","3.6","5.4","9.1","3.7","2.4","3.7","7.5","","9.3#","9.4#","5.5","5.1#","2.9","2.7","2.5","2.6","2.6"
"2011/05/31","³Á¼d","WD_HR","175","41","41","356","353","336","324","322","324","211","219","214","226","269","310","313","194","165","243","333","18","358","202","162"
"2011/05/31","³Á¼d","WIND_DIREC","87","66","13","355","17","327","322","314","329","236","218","210","278","265","309","284","177","226","243","327","33","264","195","132"
"2011/05/31","³Á¼d","WIND_SPEED",".9",".5",".7",".3","1.2","1.4","2.7","2.5","1.9","1.6","2.6","2.7","1.8","1.3","2.6","1","1.6","1.8",".6","1.4","1.2",".7","1.1","2.1"
"2011/05/31","³Á¼d","WS_HR",".1",".4",".5",".3",".4",".5","1.6","2.5","1.3",".9","1.7","2.3","1.5","1.2","2.3","1.3","1.1","1.9",".7",".8",".7",".3",".6","1.5"
"2011/06/01","³Á¼d","AMB_TEMP","28","28","28","28","28","28","28","28","29","28","28","","","","30#","30","30","30","30","29","29","29","29","29"
"2011/06/01","³Á¼d","CO",".25",".16",".17",".25",".37",".36",".37",".47",".4",".36",".25",".23",".22",".22",".27#",".32",".44",".48",".25",".32",".38",".5",".45",".39"
"2011/06/01","³Á¼d","NO","1.6","1.2","1.1","1.8","1.8","2.4","4","5.6","5.9","4.4","4.9","4.6","3.8","2.9","3.3#","4.3","5.3","5.9","1.7","2.4","2.2","2.9","2.1","2.4"
"2011/06/01","³Á¼d","NO2","11","6.2","8.1","8.6","13","11","11","12","13","12","8","7.6","5.9","6.6","7.7#","7.1","9","11","7.7","11","12","19","19","14"
"2011/06/01","³Á¼d","NOx","13","7.4","9.2","10","15","14","15","18","19","16","13","12","9.7","9.4","11#","11","14","17","9.4","13","14","21","21","17"
"2011/06/01","³Á¼d","O3","21","22","14","16","12","13","15","19","22","22","23","26","32","39","36#","34","27","25","29","46","40","23","19","22"
"2011/06/01","³Á¼d","PM10","38","32","17","35","68","78","67","68","59","40","34","21","16","21","27","27","18","20","27","43","60","71","78","75"
"2011/06/01","³Á¼d","PM2.5","31","24","14","30","55","61","57","57","50","38","29","20","11","12","19","18","12","12","15","30","46","54","60","57"
"2011/06/01","³Á¼d","RH","90","89","95","100","100","100","99","90","79","96","98","","","","69#","66","67","66","71","85","87","89","89","93"
"2011/06/01","³Á¼d","SO2","1.8","1.5","1.3","1.5","3","2.4","3.5","4.1","6.7","4.6","1.7","1.6","1.5","2.9","2.7#","2.3","3.2","2.1","1.8","2.9","3.7","4.2","4","3.7"
"2011/06/01","³Á¼d","WD_HR","137","200","29","325","323","352","336","323","323","197","80","","","","156#","157","156","160","216","346",".1","353","317","336"
"2011/06/01","³Á¼d","WIND_DIREC","126","277","19","322","322","357","1.4","324","98","46","106","","","","158#","163","158","171","307","34","26","356","320","21"
"2011/06/01","³Á¼d","WIND_SPEED","1.9",".5","1.8","2.1","1.8","1.6","1.7","3",".7","1.2","1.7","","","","2.9#","3","2.7","2","1.5","1.6",".9","1","1.7","1.5"
"2011/06/01","³Á¼d","WS_HR","1.7",".6",".7",".7",".8",".4",".9","2.2","1.5","1.7","1.7","","","","2.6#","3.1","2.6","2.1",".9",".6",".6",".7","1","1.1"
"2011/06/02","³Á¼d","AMB_TEMP","29","29","28","28","28","28","28","28","29","29","30","30","30","30","30","30","30","30","29","29","29","29","29","29"
"2011/06/02","³Á¼d","CO",".42",".41",".2",".16",".17",".2",".25",".45",".44",".38",".33",".34",".34",".25",".28",".24",".3",".2",".2",".2",".27",".22",".21",".21"
"2011/06/02","³Á¼d","NO","1.8","2.4","1.5","1.8","1.6","1.6","3.2","6.7","5.2","3.2","2.6","1.7","1.5","1.9","1.7","2.2","1.8",".6",".9",".9","1.2","1.1","1.4","1.2"
"2011/06/02","³Á¼d","NO2","17","17","5","2","3.7","4.1","5.5","10","7.3","7.9","7.5","8","7.9","6.1","7.5","6.1","7.3","5.1","6.1","9","8.4","6.6","5.9","5.5"
"2011/06/02","³Á¼d","NOx","19","20","6.5","3.8","5.3","5.7","8.8","17","12","11","10","9.7","9.4","8","9.2","8.3","9.1","5.7","7","9.9","9.6","7.7","7.3","6.7"
"2011/06/02","³Á¼d","O3","14","14","26","27","26","24","25","21","26","29","36","39","42","43","41","33","30","34","40","31","33","33","30","27"
"2011/06/02","³Á¼d","PM10","76","75","44","21","17","12","12","13","17","26","35","40","37","28","26","21","16","18","21","22","31","33","27","28"
"2011/06/02","³Á¼d","PM2.5","59","59","37","19","16","13","10","15","21","21","24","24","23","28","23","17","14","13","18","22","24","26","25","23"
"2011/06/02","³Á¼d","RH","96","96","96","96","96","96","96","96","93","90","77","78","80","74","79","76","82","89","95","95","96","96","96","96"
"2011/06/02","³Á¼d","SO2","3.7","2.4","1",".1",".5",".4",".6",".9","1.3","1.5","2.3","2.2","1.5","1.2","1.1",".8",".8","1.1","1.6","2.7","1.6","1.1",".9","1.1"
"2011/06/02","³Á¼d","WD_HR","28","240","152","121","101","86","106","124","156","163","162","167","165","143","161","173","178","199","233","254","320","319","323","325"
"2011/06/02","³Á¼d","WIND_DIREC","334","71","129","123","87","88","111","143","157","153","154","182","156","138","167","180","181","232","239","296","318","322","324","330"
"2011/06/02","³Á¼d","WIND_SPEED","1.6","1","2.8","4.2","2.5","1.8","2.6","2.5","4","4.1","5","3.6","5.1","5.3","3.3","2.8","2.5","1.5","1.2",".8","1.9","1.7","2","1.8"
"2011/06/02","³Á¼d","WS_HR",".6",".5","1.9","3.6","2.5","1.6","2.1","2.5","3.4","3.2","4.4","3.9","4","5.6","3.4","3.3","2.4","2.2","1.3",".7","1.2","1.5","1.3","1.2"
"2011/06/03","³Á¼d","AMB_TEMP","29","29","28","29","29","29","29","29","30","30","30","30","30","30","30","30","29","29","29","29","29","29","29","29"
"2011/06/03","³Á¼d","CO",".19",".22",".35",".4",".43",".48",".58",".59",".36",".26",".18",".18",".17",".18",".2",".24",".31",".4",".39",".32",".3",".34",".4",".29"
"2011/06/03","³Á¼d","NO","1.4","1.6","2","2.5","3.6","5.6","9.2","9.7","3.6","2.3","2","1.9","2.1","1.8","2","2.4","4","3.4","2","1.6","1.5","1.6","2.7","1.9"
"2011/06/03","³Á¼d","NO2","7.3","10","13","16","18","17","17","14","7","4.5","2.9","3.4","3","3.1","3.9","7","15","18","13","8.5","7.1","7.5","11","7.6"
"2011/06/03","³Á¼d","NOx","8.6","12","15","18","21","23","26","23","11","6.9","4.9","5.4","5.1","4.9","5.9","9.3","19","22","15","10","8.6","9.1","14","9.5"
"2011/06/03","³Á¼d","O3","21","14","9.1","6.1","4.5","5.3","6.7","18","31","36","45","49","55","58","57","56","53","47","48","46","46","45","34","31"
"2011/06/03","³Á¼d","PM10","27","29","38","39","42","46","53","64","51","29","20","18","21","23","23","27","49","61","62","54","45","49","54","54"
"2011/06/03","³Á¼d","PM2.5","22","24","32","38","36","35","41","46","39","28","26","23","22","24","26","29","41","51","50","45","39","38","41","42"
"2011/06/03","³Á¼d","RH","96","96","96","96","96","96","96","95","89","87","86","83","78","81","81","81","87","85","86","87","89","90","94","96"
"2011/06/03","³Á¼d","SO2","1.1","3.8","4.4","4.5","4.3","4.2","4.2","4.3","2.8","2.3","2.6","3.6","3.2","3.7","3.2","4","5.8","8.1","5","2.8","2.5","2.4","2.5","2.3"
"2011/06/03","³Á¼d","WD_HR","16","27","4.2","42","80","117","160","139","163","193","211","208","212","230","230","238","313","346","181","190","200","181","133","208"
"2011/06/03","³Á¼d","WIND_DIREC","47","1.8","336","51","75","169","119","143","151","223","217","227","208","226","214","306","317","23","198","180","199","157","136","188"
"2011/06/03","³Á¼d","WIND_SPEED","1.1",".8",".9",".5",".9",".8","1.4","1.6","2.3","1.9","2.9","2.7","3.7","1.8","2.3","1.8","1.8",".5","1.7","1.4","2","1.3","1.3","1"
