日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,二林,AMB_TEMP,13.04,12.72,12.79,12.42,12.04,11.65,11.36,11.54,12.38,13.62,14.79,15.57,16.21,16.27,15.7,14.92,14.11,12.91,11.91,11.4,11.29,11.28,11.19,11.23
2009/1/1,二林,CO,0.31,0.26,0.28,0.33,0.33,0.21,0.19,0.2,0.2,0.18,0.19,0.19,0.18,0.17,0.16,0.14,0.15,0.18,0.2,0.2,0.2,0.19,0.21,0.24
2009/1/1,二林,NO,0.51,0.5,0.5,0.08,0.37,0.28,0.22,0.83,1.71,1.84,1.92,2.04,1.91,1.71,1.93,1.44,0.88,0.45,0.36,0.46,0.61,0.47,0.36,0.38
2009/1/1,二林,NO2,12.2,11.83,11.44,12.38,12.67,10.44,8.63,9.23,8.94,7.93,8.14,8.84,9.22,9.31,9.96,9.14,10.43,11.69,13.72,13.45,12.54,11.5,12.35,12.44
2009/1/1,二林,NOx,12.7,12.33,11.94,12.46,13.04,10.73,8.85,10.07,10.65,9.77,10.06,10.88,11.14,11.02,11.89,10.59,11.31,12.14,14.08,13.91,13.15,11.97,12.71,12.82
2009/1/1,二林,O3,27.4,27.9,28.2,25.4,23.8,26.6,28.3,28.2,30,33.7,36.6,38.8,42.4,43.3,41.2,40.8,37.5,33.5,27.6,26.3,25.8,25.7,23.7,22.9
2009/1/1,二林,PM10,53,64,52,59,81,72,57,60,58,57,46,45,48,63,73,81,75,62,58,56,58,53,48,56
2009/1/1,二林,PM2.5,48,47,46,51,61,52,45,31,41,30,32,24,34,39,36,35,35,44,37,32,31,40,44,42
2009/1/1,二林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,二林,RH,67.2,65,62.91,63.74,63.54,62.04,60.52,58.94,55.88,51.53,48.2,46.58,46.01,50.03,51.24,52.45,51.3,52.94,57.43,58.51,59.81,59.83,59.92,59.98
2009/1/1,二林,SO2,6,6.3,7.6,8.4,7.6,5.7,5.3,5.9,6.4,5.7,5.6,5.7,5.4,4.4,4.5,3.2,2.8,2.8,3.3,3.8,4.4,4.6,4.8,6
2009/1/1,二林,WD_HR,40.79,39.57,40.24,41.56,38.77,39.59,41.87,41.48,40.52,42.11,43.67,44.28,50.76,49.79,48.63,43.3,41.7,40.2,42.18,39.45,41.56,43.13,43.75,42.75
2009/1/1,二林,WIND_DIREC,43.24,39.68,47.86,42.33,39.17,36.5,41.85,42.36,43.42,45.63,43.07,42.57,59.28,57.67,46.43,44.94,40.1,47.58,40.42,34.38,44.46,40.03,42.75,43.83
2009/1/1,二林,WIND_SPEED,4.17,4.99,5.56,5.39,7.03,7.71,7.18,7.57,7.37,7.26,8.17,7.88,7.09,7.65,7.45,6.01,6.65,5.16,6.35,6.95,6.49,5.62,4.97,5.23
2009/1/1,二林,WS_HR,4.97,4.95,5.14,5.37,6.1,6.91,6.82,7.18,7.44,7.85,7.52,6.63,5.66,5.89,6.09,6.17,5.62,5.36,5.58,5.75,6.34,5.87,5.4,5.42
2009/1/2,二林,AMB_TEMP,11.4,11.28,11.35,11.45,11.19,11.26,11.4,11.68,12.73,14.07,15.66,17.3,18.19,18.19,17.96,17.14,16.16,15.12,14.41,13.84,13.35,12.82,12.41,12.13
2009/1/2,二林,CO,0.23,0.2,0.18,0.16,0.16,0.13,0.11,0.11,0.1,0.09,0.1,0.1,0.11,0.11,0.13,0.13,0.14,0.15,0.16,0.17,0.2,0.2,0.21,0.21
2009/1/2,二林,NO,0.46,0.36,0.57,0.5,0.49,0.51,0.54,0.85,1.35,2.02,2.21,2.44,2.33,2.02,1.84,2.1,1.63,0.73,0.61,0.53,0.82,0.64,0.97,0.92
2009/1/2,二林,NO2,12.22,10.92,9.99,8.52,8.46,8.61,8.62,8.73,8.86,8.71,8.33,7.28,7.43,7.67,8.3,9.68,10.08,12.33,14.51,14.33,15.87,16.73,16.39,15.23
2009/1/2,二林,NOx,12.68,11.28,10.56,9.03,8.95,9.12,9.17,9.57,10.21,10.73,10.54,9.72,9.76,9.68,10.14,11.78,11.71,13.06,15.12,14.86,16.7,17.37,17.36,16.15
2009/1/2,二林,O3,22.8,24,24.8,26.3,25.7,24.9,25.1,25.2,26.1,28,30.9,33.4,36.6,37.7,37.2,33.9,31.1,26,22.1,20,16.1,13.6,13,13.6
2009/1/2,二林,PM10,60,61,54,42,42,38,35,36,40,44,0#,40,54,59,58,48,46,45,42,43,43,47,41,33
2009/1/2,二林,PM2.5,44,34,36,30,43,36,35,30,35,30,0#,24,27,33,29,31,22,27,27,24,24,26,31,27
2009/1/2,二林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,二林,RH,60.39,61.43,62.04,62.12,63.82,64.57,63.87,63.09,60.1,57.57,54.31,50.22,50.14,53.09,55.21,57.97,61.35,63.43,64.55,67.54,69.38,71.63,72.47,72.62
2009/1/2,二林,SO2,6.3,5.9,5.2,4.1,3.1,2.7,2.6,2.5,2.7,2.5,2.2,1.8,1.8,1.6,1.8,2.1,1.7,1.6,1.8,1.8,2,1.6,1.5,1.5
2009/1/2,二林,WD_HR,43.29,42.95,44.01,43.01,42.13,43.7,39.18,44.42,42.91,42.89,42.47,42.38,42.53,55.16,47.65,45.54,42.45,41.86,39.45,40.25,40.16,42.78,36.76,38.42
2009/1/2,二林,WIND_DIREC,41.85,43.19,43.75,41.18,44.18,41.49,43.68,42.7,43.17,43.87,43.06,46.08,49.33,43.84,44.77,59.55,41.43,40.93,43.22,39.46,44.85,40.47,34.73,37.4
2009/1/2,二林,WIND_SPEED,5.19,5.02,4.51,4.43,5.46,5.58,5.05,6.04,6.37,5.88,6.75,5.57,5.67,5.78,6.4,6.11,5.04,5.52,4.49,3.74,2.67,2.56,2.78,2.3
2009/1/2,二林,WS_HR,4.82,4.45,4.55,4.25,4.9,5.21,5.28,5.12,6.14,6.18,6.25,5.92,5.58,4.27,4.82,5.47,5.06,4.76,4.59,3.95,3.07,2.74,2.39,2.27
2009/1/3,二林,AMB_TEMP,11.86,11.42,10.87,10.68,10.62,10.44,10.1,11.02,13.5,16.06,18.36,20.27,21.53,21.7,21.64,20.94,19.35,17.97,17.35,16.88,16.16,16.01,15.66,15.32
2009/1/3,二林,CO,0.17,0.14,0.16,0.14,0.12,0.12,0.14,0.19,0.22,0.27,0.23,0.16,0.18,0.26,0.32,0.23,0.25,0.22,0.11,0.11,0.16,0.19,0.24,0.28
2009/1/3,二林,NO,0.7,0.83,0.75,1.16,0.99,1.14,1.21,4.1,7.96,9.03,5.99,3.05,2.66,3.01,4.14,2.62,2.08,1.22,0.87,0.92,0.91,1.13,1.16,1.41
