日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,南投,AMB_TEMP,12.95,12.76,12.63,12.38,12.2,11.91,11.55,11.44,12.01,13.27,14.66,15.72,16.59,17.29,17.4,16.53,15.3,13.6,12.52,11.72,11.22,11.01,10.92,10.94
2009/1/1,南投,CH4,1.827,1.787,1.794,1.787,1.755,1.747,1.72,1.705,1.699,1.711,1.726,1.718,1.716,1.703,1.7,1.7,1.694,1.694,1.678,1.674,1.675,1.69,1.712,1.719
2009/1/1,南投,CO,0.56,0.53,0.54,0.48,0.43,0.45,0.43,0.47,0.53,0.53,0.48,0.45,0.42,0.42,0.41,0.41,0.47,0.49,0.49,0.5,0.48,0.45,0.41,0.36
2009/1/1,南投,NMHC,0.326,0.382,0.329,0.325,0.303,0.294,0.324,0.378,0.362,0.345,0.308,0.297,0.282,0.29,0.3,0.306,0.34,0.356,0.356,0.358,0.355,0.33,0.295,0.271
2009/1/1,南投,NO,3.26,2.9,3.14,1.07,1.76,1.4,2.29,3.92,5.98,6.64,5.99,4.41,3.55,4.09,4.14,4.24,4.28,3.32,3.29,4.22,3.47,3.34,2.32,2.39
2009/1/1,南投,NO2,16.77,14.72,15.08,16.01,11.21,10.86,11.38,13.33,16.3,15.57,12.25,11.79,11.71,12.83,13.36,15.5,20.19,23.86,21.99,23.01,22.05,19.73,17.06,14.61
2009/1/1,南投,NOx,20.03,17.62,18.22,17.07,12.97,12.26,13.67,17.25,22.28,22.21,18.24,16.2,15.26,16.92,17.49,19.74,24.47,27.18,25.28,27.23,25.52,23.07,19.37,17
2009/1/1,南投,O3,14.9,15.7,12.4,14.5,19.2,18.9,20.7,19.9,19,24.3,31.5,37.5,41.4,42.1,40.5,36.2,28.9,22.3,20.3,17.6,16.3,16.6,17.7,18.3
2009/1/1,南投,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,南投,PM10,73,73,70,64,64,69,65,61,61,63,65,62,63,71,72,80,83,79,73,59,59,60,55,52
2009/1/1,南投,PM2.5,46,48,47,44,43,46,41,32,30,31,30,32,34,33,32,32,32,34,32,31,32,32,32,31
2009/1/1,南投,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,南投,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,南投,RH,76.24,74.62,75.77,73.32,70.03,69.08,68.4,66.76,63.35,58.4,53.13,47.22,44.12,41.61,41.47,44,48.52,52.52,53.69,57.06,59.3,60.5,61.01,61.38
2009/1/1,南投,SO2,6,5.7,5.3,5.9,5.9,6.7,5.4,5.2,5.7,5.2,4.5,4.7,4.7,4.9,4,4.1,4.7,4.2,3.7,3.9,4.5,4.4,4.3,4.7
2009/1/1,南投,THC,2.154,2.169,2.123,2.112,2.058,2.041,2.045,2.083,2.061,2.056,2.034,2.015,1.999,1.993,2,2.006,2.034,2.05,2.034,2.032,2.03,2.021,2.007,1.99
2009/1/1,南投,WD_HR,320.17,316.72,330.2,302.81,306.98,308.32,303.67,307.43,309.9,344.34,303.61,292.9,328.23,308.77,300.57,305.81,303.53,306.12,303.42,295.53,295.48,326.58,313.62,40.22
2009/1/1,南投,WIND_DIREC,305.67,43.1,299.37,304.88,312.79,314,296.79,306,7.63,1.35,293.97,304.31,324.24,307.2,298.34,306.25,303.47,298.88,304.05,290.6,288.91,314.62,41.81,52.25
2009/1/1,南投,WIND_SPEED,1.27,1.24,2.1,2.36,1.69,1.65,2.18,2.35,1.79,1.93,2.6,1.96,2.32,2.77,2.52,3.51,3.32,2.98,3.13,1.88,1.96,1.51,1.32,1.28
2009/1/1,南投,WS_HR,0.62,0.68,0.64,1.48,1.17,0.49,1.25,1.64,0.59,0.85,1.41,1.78,0.87,1.2,2.08,2.71,2.16,2,2.25,1.08,0.68,0.39,0.44,0.73
2009/1/2,南投,AMB_TEMP,11,10.58,10.03,9.93,9.79,9.91,10.04,10.4,11.57,12.81,14.27,15.55,16.91,17.92,18.46,18.55,17.21,15.74,14.63,13.78,12.78,11.99,11.51,11
2009/1/2,南投,CH4,1.715,1.83,1.836,1.83,1.839,1.826,1.803,1.798,1.76,1.752,1.758,1.761,1.742,1.736,1.729,1.744,1.748,1.753,1.749,1.746,1.787,1.882,2.105,1.985
2009/1/2,南投,CO,0.36,0.33,0.34,0.35,0.37,0.37,0.33,0.4,0.48,0.49,0.43,0.41,0.34,0.34,0.35,0.39,0.43,0.53,0.52,0.52,0.55,0.62,0.7,0.61
2009/1/2,南投,NMHC,0.299,0.285,0.283,0.292,0.286,0.276,0.276,0.285,0.322,0.329,0.29,0.296,0.265,0.249,0.26,0.297,0.333,0.408,0.397,0.374,0.367,0.422,0.467,0.36
2009/1/2,南投,NO,1.52,1.15,1.22,0.29,1.25,1.53,0.85,4.49,9.11,6.75,6.33,5.01,3.79,2.3,2.37,3.22,4.06,5.87,5.56,6.17,13.71,19.26,25.07,19.09
2009/1/2,南投,NO2,13.4,12.95,12.84,13.01,12.38,12.19,14.52,16.23,20.35,17.55,14.9,15.49,12.86,11.38,11.85,17.12,21.33,27.5,28.16,28.42,31.7,24.69,22.05,18.71
2009/1/2,南投,NOx,14.92,14.1,14.06,13.3,13.63,13.72,15.37,20.72,29.46,24.3,21.22,20.5,16.66,13.69,14.22,20.34,25.39,33.38,33.72,34.59,45.41,43.96,47.12,37.8
2009/1/2,南投,O3,18.2,15.7,10.6,8.9,5.1,6.2,9.9,9,12,19.3,25.8,29.8,36.8,43.4,46.9,36.5,23,13,9.5,7.1,1.6,1.2,1.1,1
2009/1/2,南投,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,南投,PM10,50,50,47,44,45,47,45,45,52,56,51,48,52,52,49,52,58,56,54,50,50,49,46,48
2009/1/2,南投,PM2.5,28,30,30,31,34,34,31,32,34,30,30,30,30,30,26,24,26,25,23,23,25,27,28,28
2009/1/2,南投,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,南投,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,南投,RH,61.03,63.55,72.49,74.92,78.31,79.56,75.91,73.32,68.07,60.14,54.33,51.2,48.28,47.59,47.27,47.94,52.1,57.64,61.46,64.9,70.41,76.37,77.93,81.07
2009/1/2,南投,SO2,3.7,2.8,2.1,1.9,2,2.6,2.3,2.4,4.3,3,2.6,2.6,2.6,2.5,2.4,3.4,3.7,3.5,3.7,4.2,2.8,2.1,2.2,2
2009/1/2,南投,THC,2.013,2.115,2.119,2.122,2.124,2.101,2.079,2.083,2.082,2.081,2.047,2.057,2.008,1.985,1.989,2.041,2.081,2.161,2.146,2.12,2.154,2.303,2.572,2.345
2009/1/2,南投,WD_HR,357.88,21.51,30.39,52.81,46.15,38.26,48.28,34.64,357.51,316.61,21.57,35.77,22.12,343.2,331.27,311.69,300.31,308.3,308.64,20.48,42.5,74.42,76.15,123.33
2009/1/2,南投,WIND_DIREC,10.74,34.41,32.92,43.77,64.86,44.61,57.44,37.67,303.44,353.23,37.41,7.8,15.35,307.28,330.99,308.8,298,310.57,342.46,40.51,66.44,235.56,65.24,69.96
