日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,大里,AMB_TEMP,12.7,12.55,12.24,12.03,11.74,11.38,11.04,11.08,11.81,12.89,14.09,15.23,15.95,16.15,15.87,15.08,14.23,12.92,11.84,11.34,11.07,10.91,10.77,10.74
2009/1/1,大里,CH4,1.762,1.74,1.781,1.74,1.728,1.722,1.715,1.71,1.715,1.723,1.711,1.712,1.707,1.704,1.719,1.719,1.738,1.72,1.691,1.752,1.705,1.707,1.739,1.688
2009/1/1,大里,CO,0.45,0.45,0.5,0.45,0.42,0.4,0.37,0.4,0.41,0.38,0.35,0.35,0.36,0.34,0.34,0.36,0.4,0.43,0.46,0.48,0.44,0.43,0.4,0.33
2009/1/1,大里,NMHC,0.061,0.107,0.132,0.111,0.092,0.088,0.086,0.103,0.107,0.104,0.111,0.114,0.101,0.092,0.11,0.119,0.136,0.154,0.151,0.163,0.138,0.131,0.118,0.083
2009/1/1,大里,NO,0.9,1.16,1.22,3.35,3.62,3.34,3.51,5.23,6.62,6.43,6.22,6.07,5.7,4.99,5.76,5.83,5.31,4.26,4.08,4.13,4.53,4.49,3.79,3.36
2009/1/1,大里,NO2,11.31,12.58,15.19,12.2,11.04,11.03,11.47,12.86,11.51,8.9,7.52,7.82,9.13,9.19,10.92,13.45,17.72,18.64,18.87,21.96,20.2,18.2,16.95,10.39
2009/1/1,大里,NOx,12.22,13.74,16.41,15.55,14.66,14.38,14.98,18.09,18.13,15.33,13.74,13.89,14.83,14.18,16.68,19.29,23.03,22.91,22.95,26.1,24.72,22.69,20.74,13.75
2009/1/1,大里,O3,22.9,20.8,17.5,21.4,23.2,26.6,23,23.4,27.3,32.1,37,40.1,41.2,43.1,42.5,38.5,32.3,28.7,24.8,19.6,19.5,19.8,20,24.6
2009/1/1,大里,PM10,58,57,54,56,63,63,62,55,51,50,52,52,47,52,53,61,54,56,55,56,51,46,52,48
2009/1/1,大里,PM2.5,37,34,37,36,40,41,36,35,26,29,27,33,28,28,28,31,37,35,36,31,39,38,39,28
2009/1/1,大里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,大里,RH,72.02,72.48,72.6,67.79,67.11,66.57,65.34,62.22,56.76,50.88,44.86,39.69,37.81,38.45,39.54,44.05,46.59,47.85,52.33,55.74,56.66,56.8,56.29,57.28
2009/1/1,大里,SO2,2.7,2.8,3.1,3.9,4.7,4.8,3.7,3.4,3.6,3.5,3.3,3.3,3.3,2.8,2.7,3.2,2.9,2.3,2,2.2,2.4,2.4,2.2,1.8
2009/1/1,大里,THC,1.823,1.848,1.913,1.851,1.82,1.81,1.801,1.813,1.822,1.827,1.822,1.826,1.808,1.796,1.829,1.838,1.874,1.875,1.842,1.915,1.843,1.838,1.858,1.771
2009/1/1,大里,WD_HR,38.34,27.09,2.85,49.57,52.23,50.55,49.39,41.08,32.17,358.08,327.52,330.26,322.66,327.22,314.13,311.43,318.11,331,25.76,335.55,37.57,37.83,27.55,36.24
2009/1/1,大里,WIND_DIREC,42.7,329.29,16.58,60.28,48.12,42.49,50.85,40.94,11.02,353.43,4.07,29.52,314.28,337.33,309.32,299.09,321.41,13.23,3.72,303.11,56.3,41.43,28.78,36.07
2009/1/1,大里,WIND_SPEED,2.53,1.52,1.84,3.31,2.8,3.54,2.82,2.98,3.39,3.15,3.53,3.61,4.56,4.07,5.6,4.62,3.31,3.51,3.27,3.24,3.37,1.94,3.48,2.73
2009/1/1,大里,WS_HR,1.33,1.42,0.61,1.56,0.79,1.75,1.23,1.63,1.27,0.68,1.52,1.55,1.79,1.63,2.41,2.13,1.51,0.57,0.7,0.72,1.1,1.42,1.34,1.97
2009/1/2,大里,AMB_TEMP,10.65,10.87,11.18,11.19,11.4,11.51,11.1,11.09,12.04,13.17,14.37,15.48,16.42,17.33,17.91,17.14,16.24,15.07,14.2,13.77,13.45,12.62,11.87,11.55
2009/1/2,大里,CH4,1.684,1.699,1.671,1.677,1.78,1.696,1.689,1.708,1.728,1.739,.994*,.63*,.63*,.623*,.669*,.659*,.654*,.663*,.631*,.583*,.63*,.638*,.513*,.536*
2009/1/2,大里,CO,0.29,0.29,0.26,0.25,0.26,0.27,0.29,0.4,0.44,0.37,0.34,0.32,0.3,0.31,0.31,0.29,0.31,0.43,0.53,0.53,0.56,0.73,0.77,0.67
2009/1/2,大里,NMHC,0.059,0.081,0.063,0.061,0.085,0.083,0.09,0.14,0.162,0.15,.134*,.151*,.13*,.121*,.125*,.149*,.153*,.203*,.233*,.249*,.259*,.629*,.522*,.651*
2009/1/2,大里,NO,3.61,3.69,3.31,2.23,1.79,2.24,2.01,4.04,4.98,5.97,4.3,5.34,4.4,4.45,4.73,4.9,3.47,2.79,3.03,4.21,3.87,14.33,20.28,17.6
2009/1/2,大里,NO2,6.78,6.63,3.65,3.04,4.84,4.82,6.18,11.84,12.3,10.38,10.49,10.34,8.36,9.44,11.14,11.9,12.45,20.54,25.95,25.37,27.83,26.07,20.55,18.77
2009/1/2,大里,NOx,10.4,10.32,6.96,5.27,6.63,7.07,8.2,15.88,17.28,16.34,14.79,15.68,12.76,13.89,15.88,16.8,15.92,23.32,28.98,29.58,31.7,40.4,40.84,36.37
2009/1/2,大里,O3,26.3,25.2,27.3,28.6,27.2,31.9,26.3,22.5,23.8,27,29.5,31.5,37,39.7,38.8,34.1,29.7,18.5,12,11.1,7.4,3.1,2.7,2.6
2009/1/2,大里,PM10,42,34,37,38,38,40,43,42,37,33,37,40,40,36,34,38,33,38,35,39,35,34,44,45
2009/1/2,大里,PM2.5,24,22,27,32,30,32,29,30,31,34,35,27,25,25,24,27,25,26,23,24,24,18,25,29
2009/1/2,大里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,大里,RH,58.43,58.42,58.32,58.06,56.6,55.19,57.2,58.9,55.66,53.69,51.31,50.13,48.46,47.62,46.25,48.5,50.1,55.78,60.86,63.37,65.06,71.16,78.53,80.79
2009/1/2,大里,SO2,1.8,2,1.6,1.6,2,2,1.7,1.6,1.5,1.3,1.5,1.5,1.4,1.5,1.5,1.8,1.5,1.9,1.7,1.4,1.3,1.9,1.9,1.8
2009/1/2,大里,THC,1.743,1.78,1.733,1.738,1.865,1.779,1.779,1.848,1.889,1.889,1.129*,.781*,.76*,.744*,.794*,.808*,.807*,.866*,.864*,.832*,.889*,1.267*,1.035*,1.187*
2009/1/2,大里,WD_HR,38.16,21.84,37.81,31.95,9.16,35.77,39.49,24.57,23.02,332.33,331.37,323.37,322.86,332.14,338.6,326.43,324.69,350.89,338.07,42.85,35.33,135.89,115.66,122.06
2009/1/2,大里,WIND_DIREC,35.58,42.43,43.71,43.21,29.15,34.03,36.56,2.2,16.6,322.35,324.52,308.85,331.19,327.68,327.37,338.96,307.92,336.24,338.38,35.65,35.71,153.44,101.56,288.94
2009/1/2,大里,WIND_SPEED,1.52,2.38,2.01,2.02,2.7,2.18,2.07,2.45,3.01,2.74,3.05,3.06,3.06,3.19,3.67,4.03,3.31,2.89,2.28,2.3,1.56,0.56,0.63,0.43
2009/1/2,大里,WS_HR,2.04,0.85,1.91,1.6,0.76,1.78,1.89,1.07,0.82,1.31,1.17,1.83,2.06,1.98,1.1,1.23,0.82,0.63,0.51,0.91,1.03,0.62,0.39,0.41
2009/1/3,大里,AMB_TEMP,11.24,10.12,9.94,9.78,9.56,9.41,9.12,9.9,11.19,13.64,16.36,18.85,20.02,20.54,21.04,21.15,20.12,18.11,17.01,16.5,15.25,14.92,14.69,14.44
2009/1/3,大里,CH4,.631*,.463*,.455*,.531*,.667*,.62*,.608*,.616*,.692*,.585*,.477*,.363*,.473*,.517*,.6*,.623*,.701*,.66*,.633*,.618*,.533*,.495*,.512*,.499*
