ค้ดม,ด๚ฏธ,ด๚ถต,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,จFณภ,AMB_TEMP,12.21,12.07,11.85,11.56,11.18,10.75,10.46,10.4,11.02,11.87,12.76,13.7,14.5,14.61,14.31,13.72,13.05,11.94,11.1,10.68,10.61,10.6,10.64,10.54
2009/1/1,จFณภ,CO,0.39,0.38,0.42,0.43,0.37,0.29,0.29,0.32,0.31,0.3,0.31,0.31,0.3,0.28,0.26,0.25,0.27,0.31,0.31,0.32,0.33,0.32,0.35,0.35
2009/1/1,จFณภ,NO,0.8,0.79,0.8,0.55,0.6,0.55,0.54,0.95,2.1,3.37,3.69,3.1,2.23,2.07,2.02,2.1,2.05,1.21,0.86,0.64,0.55,0.67,0.47,0.37
2009/1/1,จFณภ,NO2,11.4,10.47,10.27,11.57,10.95,8.86,8.24,9.38,9.05,9.04,9.22,9.3,8.59,8.49,8.78,9.19,10.51,12.05,12.76,12.88,13.06,13.07,13.24,12.61
2009/1/1,จFณภ,NOx,12.2,11.26,11.07,12.12,11.55,9.4,8.78,10.32,11.15,12.41,12.91,12.41,10.82,10.56,10.8,11.3,12.56,13.26,13.61,13.52,13.61,13.74,13.71,12.98
2009/1/1,จFณภ,O3,30.6,31.1,29.9,27.6,27.6,31.3,31.7,30.3,32.6,35.3,37.1,39.5,43.2,44.1,42.9,41.3,39.3,33.2,30.7,28.8,27.4,26.6,26.1,26.3
2009/1/1,จFณภ,PM10,70,73,80,86,81,66,55,57,59,64,74,73,66,69,69,61,53,52,51,50,51,51,53,55
2009/1/1,จFณภ,PM2.5,47,50,53,56,50,36,29,30,28,25,27,27,28,29,27,28,29,29,30,31,32,33,33,36
2009/1/1,จFณภ,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,จFณภ,RH,64.85,62.03,62.37,62.72,62.04,60.56,59.19,58.62,55.39,52.32,49.65,47.16,45.86,46.33,48.85,49.48,48.97,52.58,55.01,57.63,59.26,58.86,58.52,59.19
2009/1/1,จFณภ,SO2,8.3,9.6,10.7,10.5,7.8,6.9,7,8,7.5,7.2,7.3,6.7,5.8,4.9,4.8,4.5,3.9,3.8,4.6,5.4,6.3,6.4,7.3,7.6
2009/1/1,จFณภ,WD_HR,298.36,315.02,301.89,286.68,288.78,299.81,284.21,290.83,287.87,279.86,296.63,290.79,296.66,293.21,299.11,289.43,294.61,305.4,299.64,309.36,295.84,279.45,297.23,291.31
2009/1/1,จFณภ,WIND_DIREC,290.73,297.53,319.96,279.13,300.36,296.34,306.55,269.69,282.98,272.11,309.03,297.35,264.2,288.31,307.23,283.16,283.03,341.54,292.19,294.92,292.51,236.64,298.17,278.86
2009/1/1,จFณภ,WIND_SPEED,7.01,6.21,6.88,8.85,8.91,8.87,8.69,9.63,10.81,9.64,8.55,9.54,9.56,9.52,8.17,9.37,8.75,7.26,6.51,9.83,8.15,8.06,7.09,6.37
2009/1/1,จFณภ,WS_HR,2.03,1.6,2.04,1.96,2.62,2.53,2.68,3.05,4.24,4.29,4.07,3.29,2.78,3.45,4.04,2.99,3.62,2.21,2.01,2.37,3,2.53,2.73,2.73
2009/1/2,จFณภ,AMB_TEMP,10.54,10.66,10.75,10.81,10.74,10.83,10.71,10.8,11.87,13.26,14.56,15.69,16.31,16.19,16.33,15.76,15.26,14.3,13.57,13.15,12.88,12.63,12.19,11.99
2009/1/2,จFณภ,CO,0.31,0.29,0.26,0.25,0.23,0.21,0.19,0.22,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.23,0.25,0.28,0.29,0.29,0.28,0.26,0.25,0.21
2009/1/2,จFณภ,NO,0.44,0.71,0.55,0.09,0.22,0.49,0.1,0.71,2,3.12,3.31,2.8,2.19,2.21,2.29,1.84,1.83,1.02,0.58,0.58,0.61,0.28,0.31,0.22
2009/1/2,จFณภ,NO2,11.41,9.49,7.66,6.93,7.36,8.35,8.33,10.01,10.77,10.49,9.37,9.06,8.8,8.63,9.02,9.7,11.86,15.22,17.31,19.1,19.16,15.96,14.11,12.16
2009/1/2,จFณภ,NOx,11.85,10.2,8.22,7.02,7.59,8.85,8.43,10.72,12.77,13.62,12.68,11.87,10.99,10.84,11.31,11.54,13.69,16.25,17.89,19.68,19.78,16.24,14.42,12.38
2009/1/2,จFณภ,O3,27.6,29.1,31,31.1,30.1,28.2,28.2,26.3,27,29.2,31.9,34.7,36,35.8,35.1,33.2,29.8,23.7,20.1,16.7,15.6,17.7,17.8,19
2009/1/2,จFณภ,PM10,56,55,50,47,45,40,38,38,36,35,40,42,44,58,63,59,59,48,40,39,36,33,26,20
2009/1/2,จFณภ,PM2.5,37,36,36,34,32,29,24,23,23,21,20,17,17,19,21,23,25,24,19,20,21,17,15,15
2009/1/2,จFณภ,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,จFณภ,RH,59.84,60.42,60.56,61.46,62.84,63.23,63.16,62.96,60.93,57.77,54.02,50.41,51.35,57.74,57.6,60.22,59.99,62.05,64.86,67.43,69.11,68.77,69.19,69.3
2009/1/2,จFณภ,SO2,7.3,6.5,5.1,4.4,3.3,3.1,2.7,3,3.5,2.9,2.6,2.3,2.2,2,2,2.1,2.3,2.4,2.4,2.6,2.3,1.8,1.7,2.3
2009/1/2,จFณภ,WD_HR,299.18,299.12,303.94,297.33,298.7,300.09,295.21,301.31,300.06,294.56,297.54,300.95,303.38,292.89,302.25,290.93,298.54,298.16,301.43,311.57,313.36,303.95,303.15,301.31
2009/1/2,จFณภ,WIND_DIREC,300.98,293.77,311.82,285.63,307.94,285.57,291.69,301.72,307.96,303.02,269.94,303.65,310.22,297.36,296.3,284.7,286.46,282.71,293.26,319.6,321.16,306.89,306.07,309.84
2009/1/2,จFณภ,WIND_SPEED,6.09,5.81,5.46,6.42,6.63,7.45,7.89,7.34,8.26,9.69,8.55,8.44,9.15,8.02,9.03,8.79,8.31,7.85,5.81,4.95,3.95,3.76,3.66,2.82
2009/1/2,จFณภ,WS_HR,2.3,2.14,1.43,2.31,2.13,2.7,2.48,2.92,3.25,3.27,3.19,3.36,3.25,3.86,4.36,3.58,3.42,3.37,2.5,2.26,1.62,1.15,1.49,0.89
2009/1/3,จFณภ,AMB_TEMP,11.65,11.68,11.6,11.43,11.4,11.16,11.2,11.61,13.57,15.83,17.45,18.82,19.84,20.09,20.25,19.56,18.4,17.29,16.5,15.86,15.04,14.76,14.92,14.81
2009/1/3,จFณภ,CO,0.19,0.17,0.17,0.16,0.15,0.16,0.22,0.27,0.24,0.21,0.19,0.22,0.23,0.22,0.23,0.22,0.21,0.24,0.3,0.35,0.5,0.5,0.61,0.77
