日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,線西,AMB_TEMP,13.14,12.96,12.65,12.34,11.93,11.62,11.36,11.37,12.01,12.9,13.74,14.44,14.89,14.85,14.44,14.09,13.59,12.51,11.65,11.45,11.51,11.51,11.53,11.47
2009/1/1,線西,CO,0.4,0.37,0.45,0.46,0.36,0.28,0.28,0.29,0.29,0.27,0.29,0.28,0.25,0.24,0.21,0.21,0.24,0.28,0.29,0.3,0.3,0.31,0.35,0.35
2009/1/1,線西,NO,0.82,0.94,0.98,0.81,0.71,0.76,0.69,1.18,2.08,2.57,2.91,2.53,2.26,2.03,1.82,1.85,1.54,1.08,0.86,0.82,0.87,0.78,0.72,0.71
2009/1/1,線西,NO2,18.27,16.61,18.38,19.08,15.71,11.94,10.34,9.27,8.09,7.63,7.7,7.56,7.13,6.89,6.57,7.07,9.31,11.79,13.14,12.8,12.44,12.77,13.75,14.62
2009/1/1,線西,NOx,19.09,17.55,19.36,19.89,16.42,12.7,11.03,10.45,10.17,10.2,10.61,10.1,9.4,8.92,8.39,8.91,10.85,12.87,14,13.63,13.31,13.56,14.46,15.33
2009/1/1,線西,O3,24.8,26.2,21.4,20,23.3,30.4,30.2,31,33.6,35.9,38.4,41.9,44.2,44.2,44.9,41.8,39.2,32.6,29.2,29,27.9,26.2,25.3,23.8
2009/1/1,線西,PM10,77,75,75,78,72,58,50,53,58,61,62,74,82,76,74,66,53,47,49,48,50,53,55,58
2009/1/1,線西,PM2.5,42,41,44,50,47,32,25,27,28,29,27,24,24,23,24,25,21,24,31,31,28,27,32,33
2009/1/1,線西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,線西,RH,63.25,60.43,61.27,61.43,60.49,57.74,56.81,55.75,52.59,49.53,47.04,46.37,49.99,52.2,52.14,51.32,48.36,53.49,56.17,57.04,57.19,56.44,56.13,56.81
2009/1/1,線西,SO2,8.8,9.9,11.3,11.4,8.8,7.6,7.6,7.5,6.9,6.6,6.7,6.2,5.3,5.2,4.5,4.2,4.1,4.5,5.3,5.5,6.2,6.3,7.6,8.5
2009/1/1,線西,WD_HR,41.61,41.14,41.68,43.05,42.81,40.29,42.61,46.3,45.55,44.28,46.26,51.89,56.11,49.43,48.94,48.14,44.71,43.65,42.23,44.81,42.23,40.6,41.77,39.78
2009/1/1,線西,WIND_DIREC,40.99,42.05,39.27,49.45,39.43,42.73,41.22,46.55,46.77,38.17,55.75,51.98,47.26,48.89,50.38,49.6,47.46,42.48,44.16,41.76,44.35,38.41,40.1,37.98
2009/1/1,線西,WIND_SPEED,8.54,7.19,7.43,8.13,10.29,9.48,9.94,10.06,10.66,10.55,10.51,9.19,9.55,9.54,9.36,8.13,7.19,8.5,8.13,9.49,9.11,8.77,8.84,8.46
2009/1/1,線西,WS_HR,8.07,7.24,6.63,6.94,8.24,9.58,8.81,8.47,8.87,9.56,9.38,7.96,7.78,8.33,8.06,7.36,7.01,7.02,6.99,7.69,8.36,8.38,7.94,7.81
2009/1/2,線西,AMB_TEMP,11.44,11.54,11.6,11.58,11.49,11.59,11.6,11.86,12.85,13.96,15.51,16.35,16.75,16.76,16.68,16.16,15.79,14.96,14.45,14.1,13.87,13.66,13.34,13.1
2009/1/2,線西,CO,0.31,0.3,0.27,0.27,0.23,0.2,0.18,0.19,0.18,0.19,0.18,0.16,0.16,0.18,0.18,0.18,0.2,0.21,0.22,0.25,0.28,0.28,0.26,0.25
2009/1/2,線西,NO,0.69,0.68,0.75,0.59,0.62,0.65,0.7,1.34,2.24,2.67,3.12,2.51,1.92,1.56,1.7,1.55,1.43,0.84,0.64,0.79,0.9,0.81,0.79,0.55
2009/1/2,線西,NO2,15.07,14.55,11.96,9.87,11.94,11.87,11.29,10.48,9.9,8.65,7.24,6.04,5.39,5.67,5.4,5.64,7.14,8.99,12.09,18.31,18.8,16.76,15.35,16.08
2009/1/2,線西,NOx,15.75,15.23,12.71,10.46,12.56,12.52,11.99,11.82,12.14,11.32,10.35,8.55,7.31,7.24,7.09,7.19,8.57,9.83,12.73,19.1,19.7,17.57,16.14,16.63
2009/1/2,線西,O3,24.6,24,27.6,26.7,24.2,25.6,25,26.5,27.6,30.5,33,35.9,37.8,31.2,35.5,34.6,31.8,28.7,24.1,16.6,15.3,15.6,16.3,14
2009/1/2,線西,PM10,58,54,51,48,44,39,33,30,30,29,30,39,47,1000*,55,55,52,48,42,36,35,32,28,25
2009/1/2,線西,PM2.5,34,33,32,31,29,24,21,22,20,17,13,14,17,1000*,18,18,20,22,19,18,21,23,20,15
