日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,中壢,AMB_TEMP,11.74,11.34,11.01,10.64,10.43,10.2,9.79,9.55,9.73,10.15,11.05,11.27,10.87,11.11,11.41,11.28,10.97,10.66,10.64,10.59,10.77,10.78,10.84,10.88
2009/1/1,中壢,CH4,2.068,2.052,2.026,1.974,1.972,1.97,1.947,1.948,1.954,1.933,1.935,1.941,1.927,1.929,1.936,1.937,1.942,1.96,1.959,1.961,1.979,2.001,1.992,1.969
2009/1/1,中壢,CO,0.82,0.78,0.65,0.42,0.41,0.44,0.41,0.42,0.48,0.45,0.5,0.45,0.44,0.45,0.49,0.51,0.62,0.72,0.7,0.6,0.65,0.68,0.63,0.48
2009/1/1,中壢,NMHC,0.271,0.238,0.217,0.155,0.147,0.156,0.14,0.156,0.185,0.182,0.231,0.192,0.179,0.193,0.181,0.237,0.27,0.333,0.302,0.272,0.235,0.224,0.226,0.15
2009/1/1,中壢,NO,7.26,5.24,4.22,2.86,2.67,3.93,5,7.79,9.81,10.83,12.65,9.37,9.76,10.67,10.29,10.16,12.99,16.4,14.16,9.99,11.15,11.46,9.19,4.08
2009/1/1,中壢,NO2,30.22,28.38,25.78,14.18,14.11,16.4,17.05,19.3,20.84,18.98,19.87,18.23,17.9,19.2,20.34,22.12,26.47,32.03,29.6,26.9,28.05,29.15,26.22,19.1
2009/1/1,中壢,NOx,37.48,33.62,29.99,17.05,16.78,20.34,22.05,27.08,30.65,29.81,32.52,27.6,27.66,29.87,30.63,32.28,39.46,48.43,43.75,36.88,39.2,40.61,35.41,23.18
2009/1/1,中壢,O3,16.1,16.3,18.8,29.6,29.4,27.5,27.1,25.5,23.9,26.5,26.5,28.5,30.6,31.2,30.6,28.1,22.7,17.9,17.8,19.1,17.4,15.9,18.2,23.9
2009/1/1,中壢,PM10,122,114,111,87,83,81,67,67,69,72,87,85,69,65,62,60,85,80,54,65,71,87,87,81
2009/1/1,中壢,PM2.5,61,82,67,44,32,39,28,21,32,29,24,29,34,34,30,29,39,39,40,44,40,43,50,41
2009/1/1,中壢,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,中壢,RH,67.69,67.28,67.25,63.67,63.03,62.36,61.5,60.49,60.03,59.04,59.57,59.53,62.57,59.99,56.83,60.7,62.71,64.32,64.3,64.51,62.53,61.95,62.34,62.77
2009/1/1,中壢,SO2,12.4,12.2,14.6,17.5,20.4,14.7,9.7,10.3,11.7,7.7,5.9,5.6,5.5,4.8,4.8,7.7,7.5,8.3,10.1,13.9,9.5,9.1,8.9,7.6
2009/1/1,中壢,THC,2.339,2.289,2.244,2.129,2.119,2.126,2.087,2.105,2.139,2.114,2.166,2.133,2.105,2.122,2.117,2.173,2.212,2.294,2.261,2.233,2.214,2.225,2.218,2.119
2009/1/1,中壢,WD_HR,358.68,45.95,52.18,65.52,48.65,65.45,78.96,70.63,66.75,64.47,62.33,65.34,78.41,136.68,306.9,60.91,68.79,60.48,47.96,56.32,32.01,318.96,67.05,59.05
2009/1/1,中壢,WIND_DIREC,61.55,52.82,73.17,36.65,22.93,36.11,67.02,53.98,77.47,110.53,65.95,63.58,65.67,126.55,313.08,81.72,116.53,153.1,53.78,75.61,11.27,347.04,66.8,48.81
2009/1/1,中壢,WIND_SPEED,1.88,1.69,2.22,2.01,2.44,2.42,2.66,2.19,2.36,2.64,2.62,3.1,3.31,2.34,1.99,2.51,2.89,1.75,2.06,1.83,1.79,1.9,1.94,2.37
2009/1/1,中壢,WS_HR,0.17,0.27,0.37,0.54,0.36,0.35,0.66,0.69,0.49,0.59,0.63,0.83,0.82,0.27,0.42,0.4,0.33,0.39,0.45,0.49,0.13,0.16,0.36,0.33
