日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,中山,AMB_TEMP,12.46,12.17,11.68,11.42,11.06,10.57,10.26,10.12,10.62,11.29,11.15,11.87,11.31,11.32,11.36,11.47,11.59,11.44,11.47,11.46,11.51,11.59,11.58,11.59
2009/1/1,中山,CH4,1.9,1.878,.086*,-.09*,-.09*,-.09*,-.089*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.09*,-.089*,-.09*,-.09*,-.089*,-.09*
2009/1/1,中山,CO,0.83,0.86,0.5,0.5,0.45,0.42,0.43,0.49,0.44,0.41,0.38,0.36,0.38,0.41,0.5,0.44,0.53,0.59,0.57,0.57,0.54,0.57,0.52,0.45
2009/1/1,中山,NMHC,0.22,0.213,.06*,.046*,.046*,.046*,.046*,.046*,.045*,.046*,.045*,.046*,.046*,.046*,.046*,.046*,.046*,.046*,.046*,.045*,.045*,.045*,.045*,.046*
2009/1/1,中山,NO,10.02,11.17,6.3,4.69,4.08,3.31,4.54,5.96,7.85,7.54,8.07,8.4,6.7,7.07,8.99,8.38,8.62,9.88,11.3,7.96,7.19,8.77,6.15,5.24
2009/1/1,中山,NO2,29.36,27.7,21.57,20.91,19.69,17.36,18.53,19.87,18.29,16.05,16.99,17.38,18.37,20.25,24.25,21.75,26.1,28.37,28.93,27.83,25.83,28.63,24.49,21.88
2009/1/1,中山,NOx,39.39,38.87,27.88,25.6,23.77,20.67,23.07,25.83,26.14,23.58,25.06,25.79,25.07,27.32,33.24,30.12,34.72,38.25,40.23,35.79,33.02,37.4,30.64,27.12
2009/1/1,中山,O3,16,15.2,22.2,22.6,23.7,22.1,22.8,20.8,21.5,25,25.1,28.2,28.3,25.9,22.6,22.4,19.6,16,14.8,16.1,16.1,16.3,17.8,19.5
2009/1/1,中山,PM10,114,121,107,82,69,64,69,64,68,63,61,55,55,57,58,60,66,68,74,71,79,76,78,67
2009/1/1,中山,PM2.5,60,68,56,42,35,36,25,28,29,46,36,37,29,33,31,31,37,41,50,50,48,38,42,42
