日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,基隆,AMB_TEMP,13.21,12.9,12.62,12.31,12.03,11.67,11.41,11.29,11.47,11.71,11.88,11.75,12.14,12.32,12.36,12.31,12.3,12.33,12.3,12.38,12.39,12.45,12.49,12.49
2009/1/1,基隆,CH4,1.677,1.649,1.65,1.652,1.649,1.649,1.646,1.642,1.638,1.629,1.629,1.623,1.619,1.621,1.625,1.63,1.634,1.635,1.636,1.648,1.643,1.643,1.636,1.64
2009/1/1,基隆,CO,0.47,0.34,0.3,0.28,0.29,0.27,0.28,0.32,0.32,0.3,0.28,0.27,0.28,0.31,0.3,0.32,0.33,0.34,0.33,0.38,0.34,0.33,0.29,0.3
2009/1/1,基隆,NMHC,0.073,0.047,0.045,0.037,0.036,0.035,0.044,0.054,0.07,0.086,0.095,0.096,0.068,0.097,0.091,0.073,0.064,0.079,0.068,0.067,0.057,0.054,0.044,0.046
2009/1/1,基隆,NO,0.67,0.73,0.47,1.13,1.28,1.14,1.21,1.44,1.74,1.78,1.99,1.98,1.81,1.88,1.64,1.69,1.89,1.84,1.71,1.57,1.38,1.52,1.55,1.57
2009/1/1,基隆,NO2,12.77,9.69,8,6.11,6.02,5.94,5.76,7.52,8.3,8.71,7.73,7.45,6.43,7.24,7.52,8.21,8.75,10.08,9.86,10.85,9.45,8.93,7.32,7.51
2009/1/1,基隆,NOx,13.44,10.42,8.48,7.24,7.29,7.08,6.98,8.96,10.03,10.49,9.71,9.44,8.24,9.11,9.16,9.9,10.64,11.91,11.57,12.42,10.82,10.45,8.86,9.08
2009/1/1,基隆,O3,34.1,38.6,40.8,41.8,41.6,41.4,40,36.8,35.2,35.9,38.3,41,44.8,41.4,41,39.7,37.9,35.8,36.9,35,37.4,36.9,39,36.5
2009/1/1,基隆,PM10,83,55,50,44,47,42,39,44,48,47,41,37,38,43,47,48,48,48,50,61,61,57,48,55
2009/1/1,基隆,PM2.5,45,27,23,20,23,20,19,22,24,25,19,18,19,23,26,29,29,29,30,36,35,32,27,29
2009/1/1,基隆,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,基隆,RH,54.84,53.53,53.67,51.71,51.63,52.29,52.17,52.5,53.56,53.25,54.56,54.37,51.55,52.48,52.87,53.34,52.44,51.96,52.53,52.49,53.55,53.52,52.37,55.83
2009/1/1,基隆,SO2,11.1,6.2,5.5,5.6,6.6,5.9,5.6,5.7,5.2,5,4,4,3.7,4,4,4.6,4.6,4.7,5.3,7.2,7,6.3,4.5,4.1
2009/1/1,基隆,THC,1.75,1.696,1.696,1.689,1.685,1.685,1.69,1.695,1.709,1.715,1.724,1.719,1.687,1.718,1.715,1.703,1.697,1.714,1.704,1.716,1.699,1.697,1.68,1.687
2009/1/1,基隆,UVB,0,0,0,0,0,0,0,0.2,0.5,1.2,1.4,1.6,2.5,1.7,0.9,0.5,0.1,0,0,0,0,0,0,0
2009/1/1,基隆,WD_HR,89.08,91.96,88.13,92.77,95.49,96.42,95.35,91.92,93.02,103.61,99.11,86.9,94.98,93.34,92.32,92.42,91.35,95.99,96.79,90.81,87.09,89.14,96.05,89.39
2009/1/1,基隆,WIND_DIREC,89.05,90.52,92.34,84.34,105.37,114.67,95.92,112.79,92.34,97.7,98.43,104.93,95.76,93.58,94.87,92.58,90.37,98.19,90.99,90.11,84.12,83.14,98.85,96.46
2009/1/1,基隆,WIND_SPEED,1.7,1.79,1.83,1.95,1.93,1.48,1.54,1.57,1.83,1.45,1.77,1.11,1.97,1.26,1.63,1.93,1.85,1.85,1.69,1.91,1.94,2.39,1.66,1.89
2009/1/1,基隆,WS_HR,1.57,1.48,1.55,1.59,1.17,1.16,1.02,1.09,0.91,0.72,1.13,0.88,0.97,0.78,1.12,1.05,1.32,1.29,1.23,1.46,1.62,1.44,1.55,1.12
2009/1/2,基隆,AMB_TEMP,12.66,12.71,12.75,12.62,12.72,12.93,13.04,13.32,13.56,14.02,14.32,14.32,14.68,14.47,14.89,15.04,15.07,14.88,15.04,15.4,15.59,15.33,15.26,15.31
2009/1/2,基隆,CH4,1.639,1.66,1.656,1.658,1.659,1.657,1.658,1.655,1.658,1.654,1.655,1.659,1.655,1.657,1.658,1.66,1.652,1.649,1.649,1.65,1.649,1.67,1.684,1.67
