日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,士林,AMB_TEMP,12.73,12.43,11.96,11.6,11.22,10.81,9.71,10.35,11.33,12.15,12.59,12.5,11.51,11.81,12,11.8,11.75,11.71,11.83,11.92,11.99,11.98,12.03,12
2009/1/1,士林,CO,0.51,0.46,0.31,0.32,0.35,0.34,0.44,0.41,0.34,0.31,0.28,0.27,0.27,0.27,0.32,0.32,0.34,0.37,0.37,0.42,0.4,0.35,0.36,0.3
2009/1/1,士林,NO,1.22,1.23,1.39,1.08,1.08,1.22,1.5,2.76,2.48,3.39,3.41,3.81,3.1,2.92,3.39,2.79,2.53,2.88,3.01,1.81,2.15,1.68,1.85,1.43
2009/1/1,士林,NO2,13.92,12.39,8.73,8.17,9.59,9.4,16.81,15.4,10.32,10.18,10.18,9.88,11.47,9.87,13.33,12.82,14.69,16.58,16.91,15.25,15.01,12.35,12.91,9.93
2009/1/1,士林,NOx,15.14,13.62,10.12,9.24,10.67,10.62,18.31,18.16,12.8,13.57,13.59,13.69,14.57,12.79,16.72,15.61,17.22,19.46,19.92,17.06,17.16,14.03,14.76,11.36
2009/1/1,士林,O3,30.8,30.3,36.4,37,33.9,32.1,24.4,25.4,30.8,32.5,34.4,36.8,35.3,38.1,33.7,33.5,31.2,29.8,27.4,29.1,28.9,32.4,30.6,33.5
2009/1/1,士林,PM10,3,99,50,56,64,63,59,73,45,65,58,41,61,53,44,66,60,72,76,69,89,78,0*,70
2009/1/1,士林,PM2.5,54,51,43,30,35,33,20,22,33,37,27,16,13,20,31,32,40,37,24,37,48,32,29,26
2009/1/1,士林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,士林,RH,55.91,55.79,53.78,53.27,54.28,54.44,59.88,56.89,50.53,49.06,47.82,50.02,55.49,51.92,53.47,55.38,56.21,56.58,54.71,54.35,53.01,53.95,54.48,54.72
2009/1/1,士林,SO2,13.1,9.7,7.3,7.5,8.2,7.9,6.8,6.7,6.9,6,4.7,5.2,4.8,4.4,4.6,6,6.7,7.1,6.5,9,9.7,8.1,7.6,5.7
2009/1/1,士林,WD_HR,82.91,87.48,95.1,95.05,88.09,99.33,205.25,182.78,94.35,78.69,74.21,75.66,77.6,86.17,66.45,66.27,77.57,71.66,69.76,54.8,62.13,63.98,53.13,56.48
2009/1/1,士林,WIND_DIREC,99.51,87.4,94.09,92.76,77.38,187.54,154.75,163.06,65.79,74.04,75.57,79.94,87.6,56.56,54.15,58.48,97.64,47.91,76.32,61.71,46.42,60.11,64.99,62.55
2009/1/1,士林,WIND_SPEED,2.29,3.28,3.05,1.8,1.68,0.66,0.86,1.27,1.68,2.66,4.09,3.56,3.64,3.01,2.46,2.75,3.25,1.92,2.89,2.22,2.36,2.47,2.02,2.36
2009/1/1,士林,WS_HR,1.88,2.4,2.84,2.58,1.25,0.63,0.73,0.64,0.67,0.98,2.04,2.88,2.38,2.34,1.85,1.83,2.09,1.62,1.87,1.56,1.73,1.93,1.5,1.48
2009/1/2,士林,AMB_TEMP,12.05,12.24,12.23,12.17,12.11,12.18,12.24,12.42,12.81,13.36,13.72,13.97,14.24,14.54,14.28,14.43,14.63,14.42,14.58,14.61,14.67,14.92,14.47,13.93
2009/1/2,士林,CO,0.28,0.24,0.21,0.19,0.18,0.18,0.19,0.23,0.23,0.25,0.26,0.27,0.25,0.26,0.27,0.28,0.31,0.45,0.33,0.29,0.27,0.3,0.38,0.38
2009/1/2,士林,NO,1.32,0.98,0.99,1.19,1.21,0.98,1.55,1.87,2.17,2.49,2.87,3.43,3.04,3.07,2.74,2.88,3.04,4.27,3.27,2.31,1.76,2.69,2.11,1.29
2009/1/2,士林,NO2,8.61,6.89,6.21,4.18,3.34,3.79,5.29,7.61,7.99,9.27,9.35,10.29,8.06,9.26,8.63,10.31,13.14,21.35,14.8,12.72,10.96,12.7,19.02,20.96
2009/1/2,士林,NOx,9.93,7.87,7.2,5.37,4.55,4.77,6.83,9.48,10.16,11.77,12.22,13.72,11.1,12.33,11.36,13.19,16.18,25.62,18.07,15.02,12.72,15.39,21.13,22.24
2009/1/2,士林,O3,32.7,33.2,33.8,35.4,34.5,34.7,33.1,31,29.3,28.9,28,26.8,29.2,29.2,29,28.7,25.3,19.2,21.9,24.6,26.1,24.3,19.2,15.5
2009/1/2,士林,PM10,71,49,39,32,60,40,32,49,47,29,38,42,40,49,22,42,58,34,37,44,26,40,21,43
2009/1/2,士林,PM2.5,25,23,23,36,29,20,17,16,13,6,12,13,16,13,11,28,29,12,12,16,12,9,13,11
2009/1/2,士林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,士林,RH,56.12,55.97,56.16,55.45,56.56,57.69,59.56,59.76,59.18,58.06,58.91,59.76,58.42,59.24,61.85,62.56,62.12,66.86,65.19,66.38,64.9,60.19,58.83,61.58
2009/1/2,士林,SO2,5.7,3.9,3.2,3.1,2,2.1,2.2,1.9,1.6,1.6,2.3,2.1,2.4,2.3,2.8,2.6,2.6,1.9,1.3,1.3,1.2,1.1,1.1,1
2009/1/2,士林,WD_HR,57.83,47.05,54.16,56.95,56.37,51.69,46.86,49.4,41.4,41.64,45.06,45.91,42.01,52.84,42.99,42.87,43.61,80.31,80.31,86.38,85.03,105.01,114.68,127.31
2009/1/2,士林,WIND_DIREC,43.13,41.11,69.33,65.62,40.12,54.38,47.17,43.96,36.53,34.48,40.52,50.08,50.64,65.15,46.87,43.03,41.42,107.87,79.91,90.05,102.52,112.99,119.34,138.19
2009/1/2,士林,WIND_SPEED,3.06,3.65,2.84,2.31,3.52,2.87,3.48,2.53,2.76,4.64,3.02,3.75,3.37,3.02,3.67,3.11,2.53,1.99,2.39,1.99,1.78,2.46,1.25,1.38
2009/1/2,士林,WS_HR,2.14,2,1.97,2.08,1.75,1.63,1.91,1.66,2.46,2.14,2.7,2.16,2.51,2.08,2.91,2.28,1.9,1.39,1.93,2.17,1.59,2.47,1.97,1.32
