日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,大園,AMB_TEMP,14.43,14.09,13.74,13.84,13.17,12.64,12.48,12.36,12.35,12.75,12.67,12.74,12.66,12.67,13.02,13.23,13.18,13.34,13.19,13.39,13.46,13.54,13.48,13.52
2009/1/1,大園,CO,0.49,0.45,0.27,0.29,0.32,0.31,0.3,0.31,0.3,0.28,0.26,0.26,0.23,0.23,0.27,0.27,0.29,0.32,0.31,0.35,0.38,0.33,0.31,0.28
2009/1/1,大園,NO,1.43,1.65,1.54,0.76,1.26,3.09,2.51,2.69,8.04,6.65,3.63,4.14,3.69,3.54,5.06,4.51,3.96,3.88,2.89,1.68,1.93,1.2,1.22,1.15
2009/1/1,大園,NO2,14.11,12.01,8.6,8.57,8.62,12.08,12.49,9.48,17.02,15.07,9.9,10.96,10.45,9.87,15.01,14.97,15.18,17.51,16.41,16.76,16.39,14.01,13.78,11.55
2009/1/1,大園,NOx,15.54,13.66,10.15,9.33,9.87,15.17,15,12.17,25.06,21.72,13.53,15.1,14.14,13.42,20.07,19.48,19.14,21.38,19.3,18.43,18.32,15.2,14.99,12.7
2009/1/1,大園,O3,31.7,32.1,36.6,37.2,35,32.9,32.7,32.3,28.2,30.2,32.2,34.8,37.5,39.1,34.7,34.8,34.6,29.7,30.6,28.8,27.7,30.4,31.2,32.9
2009/1/1,大園,PM10,85,90,86,68,63,64,60,58,53,53,51,50,48,49,49,52,50,51,52,60,64,71,66,68
2009/1/1,大園,PM2.5,59,59,37,32,46,41,33,32,31,30,31,32,26,20,27,38,33,34,35,35,51,54,45,47
2009/1/1,大園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,大園,RH,55.22,55.47,53.41,53.16,55.09,54.5,54.22,54.84,53.55,53.37,57.1,56.7,55.04,55.41,56.97,53.94,54.88,55.06,56.13,54.3,55.7,54.96,56.2,55.19
2009/1/1,大園,SO2,12.9,11,7.7,7.9,8.9,8.8,8.1,7.5,7.9,6.4,4.9,5.2,4.7,3.6,4.9,5.7,6,6.5,7.3,8.6,11,8.6,7.9,6.1
