日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,新店,AMB_TEMP,12.92,12.77,12.41,12.2,12.02,11.66,11.15,10.99,11,11.51,11.73,11.96,12.49,12.17,12.15,12.15,12.12,11.95,11.86,11.93,11.96,12.02,12.08,12.08
2009/1/1,新店,CO,0.58,0.57,0.37,0.34,0.31,0.33,0.3,0.34,0.34,0.35,0.35,0.32,0.3,0.31,0.34,0.34,0.4,0.49,0.49,0.45,0.46,0.46,0.41,0.36
2009/1/1,新店,NO,1.52,1.56,0.76,0.96,0.53,0.36,0.49,0.68,1.02,1.52,1.49,1.36,1.79,1.05,1.33,1.08,1.08,1.31,1.51,0.85,0.87,0.75,0.67,0.47
2009/1/1,新店,NO2,21.98,21.48,15.89,11.54,9.11,8.03,8.02,9.87,9.4,9.96,12.2,10.8,10.05,9.04,12.6,11.12,17.93,22.76,20.88,21.25,20.42,20.46,16.68,13.43
2009/1/1,新店,NOx,23.5,23.04,16.65,12.5,9.64,8.39,8.52,10.55,10.42,11.48,13.68,12.16,11.85,10.1,13.93,12.2,19,24.07,22.39,22.11,21.29,21.21,17.35,13.9
2009/1/1,新店,O3,24.5,23.7,29.8,32.6,36.2,37,36.6,33.8,34.3,34,32.4,37.1,41.5,42.4,37.2,36.5,29.3,23.7,23.5,23,23.8,24.6,27.7,30.5
2009/1/1,新店,PM10,92,94,72,51,49,50,50,46,48,52,51,47,45,37,36,44,45,48,53,51,54,60,61,59
2009/1/1,新店,PM2.5,49,55,44,29,25,25,24,19,16,17,19,17,14,15,20,23,25,29,29,29,32,34,31,29
2009/1/1,新店,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,新店,RH,63.58,63,61.21,60.95,58.19,57.72,56.24,57.48,56.03,56.06,58.5,55.64,51.24,53.14,55.52,56.93,57.51,59.29,60.36,58.63,58.65,60,59.59,59.39
2009/1/1,新店,SO2,13.7,12.5,8.1,7.2,6.9,7.3,6.9,6.8,7.2,6.2,5.1,4.4,4.1,3.8,4.2,4.4,4.8,5.7,7.9,7.4,9.3,9.3,8.7,6
2009/1/1,新店,WD_HR,112.11,98.52,96.58,89.09,82.21,76.06,77.37,82.81,77.57,85.8,79.96,80.08,98.72,90.79,86.03,84.97,92.39,124.4,129.3,113.25,117.49,114.86,108.39,116.1
2009/1/1,新店,WIND_DIREC,108.12,89.2,129.16,92.09,66.1,79.56,81.26,82.09,84.53,79.76,79.7,81.02,100.19,93.23,71.28,92.91,110.24,138.88,125.28,114.87,98.45,123.44,98.34,114.35
2009/1/1,新店,WIND_SPEED,1.74,1.72,1.55,2.24,1.85,1.84,1.61,2.99,2.28,1.81,2.44,2.16,2.65,2.31,2.25,2.73,2.28,1.8,2.28,1.64,1.8,1.84,1.75,1.66
2009/1/1,新店,WS_HR,1.47,1.72,1.79,1.6,1.13,1.58,1.47,1.65,1.75,1.67,0.9,1.14,1.79,0.73,1.5,1.85,1.63,1.55,1.9,1.51,1.61,1.66,1.73,1.61
2009/1/2,新店,AMB_TEMP,12,11.99,12.09,12.1,12.15,12.1,11.79,12.16,12.3,12.74,13.15,13.67,13.6,13.81,13.62,13.46,14.09,14.14,14.23,14.14,14.02,14.4,13.91,13.42
2009/1/2,新店,CO,0.33,0.31,0.26,0.23,0.21,0.23,0.31,0.34,0.4,0.42,0.43,0.4,0.34,0.35,0.34,0.34,0.41,0.42,0.35,0.34,0.33,0.52,0.57,0.5
2009/1/2,新店,NO,-.05*,0.21,0.38,0.49,0.49,0.35,4.4,1.66,3.69,2.83,4.11,3.49,2.52,3.1,2.29,2.11,1.62,1.27,0.86,1.2,0.92,1.91,5.42,4.43
2009/1/2,新店,NO2,10.73*,10.12,9.13,7.38,7,8.86,18.84,16.02,19.44,17.07,17.31,19.3,14.66,15.08,14.77,12.54,14.92,15.01,11.98,12.41,12.71,25.09,28.09,25.53
2009/1/2,新店,NOx,10.69*,10.33,9.51,7.87,7.5,9.2,23.25,17.68,23.13,19.9,21.43,22.79,17.18,18.18,17.06,14.65,16.54,16.28,12.84,13.61,13.63,27,33.51,29.96
2009/1/2,新店,O3,31.5,29.7,28.9,30.3,31.9,30.7,14.8,21,17.4,20.8,19.5,19.2,22.6,21.4,22.4,21.8,21.3,22.4,24.4,24.6,22.6,12.7,9.1,9.9
2009/1/2,新店,PM10,54,48,41,36,33,32,36,34,31,28,26,31,29,20,16,17,19,22,24,26,22,25,26,21
2009/1/2,新店,PM2.5,30,28,23,20,17,18,19,15,14,15,13,12,10,11,12,12,12,13,14,12,10,11,12,10
2009/1/2,新店,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,新店,RH,60.65,63.11,64.19,64.49,63.59,64.77,70.65,68.51,69.59,68.42,68.78,66.62,68.04,68.88,72.16,75.08,70.61,69.95,68.81,70.12,70.68,66.55,68.13,69.68
2009/1/2,新店,SO2,5,5,3.7,2.9,3,2.5,2.8,2.9,3,2.9,2.7,2.8,3,2.7,2.5,1.8,1.8,1.8,1.8,1.9,1.9,2,2.1,2
2009/1/2,新店,WD_HR,129.14,135.16,137.58,127.55,105.02,137.56,173.9,127.7,138.03,139.71,135.22,129.55,131.45,129.79,125.94,133.46,133.09,131.59,126.68,130.48,129.64,116.74,101.31,91.13
2009/1/2,新店,WIND_DIREC,135.58,130.43,170.94,132.61,96.58,166.47,148.73,138.89,139.12,139.74,129.75,136.65,128.38,115.78,133.97,126.83,122.13,133.86,113.37,125.58,119.26,128.43,80.17,53.56
2009/1/2,新店,WIND_SPEED,1.42,1.31,1,1.29,1.27,1.14,0.91,1.84,1.79,2.02,1.91,1.83,2.24,2.09,3,1.75,1.62,2.67,2.19,2.41,1.59,1.04,1.24,0.65
