日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,新莊,AMB_TEMP,12.33,12.09,11.64,11.36,11.08,10.65,10.19,10.22,10.68,11.51,11.64,11.75,11.63,11.45,11.98,11.61,11.59,11.44,11.44,11.47,11.55,11.6,11.66,11.68
2009/1/1,新莊,CO,0.54,0.54,0.33,0.31,0.34,0.38,0.33,0.34,0.33,0.32,0.31,0.28,0.28,0.27,0.32,0.32,0.35,0.39,0.41,0.42,0.43,0.4,0.4,0.38
2009/1/1,新莊,NO,0.62,0.64,0.76,0.71,0.35,0.23,0.1,0.76,1.53,2.3,1.8,1.19,1.47,0.99,1.05,0.93,0.89,0.4,0.35,0.34,0.1,0.34,0.49,0.35
2009/1/1,新莊,NO2,17.39,16.64,11.76,8.22,10.21,14.64,14.11,14.8,13.41,12.52,10.67,9.12,10.51,8.72,10.1,11.02,11.61,13.14,14.06,15.06,14.9,13.89,13.87,13.4
2009/1/1,新莊,NOx,18.01,17.28,12.52,8.93,10.57,14.87,14.21,15.56,14.94,14.82,12.47,10.31,11.99,9.7,11.15,11.95,12.5,13.54,14.4,15.4,15.01,14.23,14.36,13.76
2009/1/1,新莊,O3,28.6,29.1,35.4,39,36.5,29.6,30.4,30.1,30.3,32,35.5,39.5,36.7,40.9,39,37.8,35.5,33.8,32,31.4,31,32.3,31.8,32.4
2009/1/1,新莊,PM10,100,96,75,56,53,59,54,47,51,51,46,44,46,44,42,47,52,55,55,54,58,62,62,56
2009/1/1,新莊,PM2.5,54,54,41,27,27,28,22,20,23,26,23,16,17,20,20,25,31,32,31,32,33,35,32,32
2009/1/1,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,新莊,RH,57.43,57.39,55.26,54.35,54.74,56.94,55.77,54.83,52.89,52.37,51.74,50.31,55.8,52.86,51.55,53.79,54.45,55.18,56.03,54.29,52.96,53.55,54.3,55.33
2009/1/1,新莊,SO2,12.1,10.7,6.8,6.2,6.8,7.2,7.4,6.9,7,6.1,4.7,4.1,4.6,3.8,4.1,4.7,5.1,5.4,5.7,6.4,8.2,7,6.4,5.2
2009/1/1,新莊,WD_HR,74.37,73.23,70.96,74.82,67.09,62.77,55.2,55.04,50,61.02,69.74,73.56,55.77,76.44,76.67,72.36,67.58,70.65,70.26,70.01,70.53,67.37,74.02,73.2
2009/1/1,新莊,WIND_DIREC,73.74,72.95,76.65,72.5,58.51,52.85,45.87,66.51,46.72,55.37,66.48,64.99,53.05,80,74.56,68.19,64.25,74.11,72.31,69.49,69.27,70.57,75.65,70.51
2009/1/1,新莊,WIND_SPEED,3.08,3.78,3.64,2.87,2,2.08,1.6,2.02,2.18,2.56,3.6,3.43,3.14,4.06,3.7,3.45,3.06,3.68,2.39,3.37,3.75,2.94,3.27,2.97
2009/1/1,新莊,WS_HR,2.98,3.18,3.12,3.12,1.99,1.58,1.39,1.3,1.07,1.24,2.83,3.56,2.61,3.4,3.06,3.7,3.14,3.17,2.92,3.01,3.03,2.68,2.99,2.69
2009/1/2,新莊,AMB_TEMP,11.69,11.8,11.87,11.86,11.72,11.51,11.72,11.89,12.3,12.72,13.61,14.04,14.22,14.74,14.21,14.45,14.25,14.17,14.22,14.27,14.09,14.08,13.78,13.28
2009/1/2,新莊,CO,0.32,0.27,0.25,0.21,0.21,0.22,0.24,0.32,0.38,0.32,0.32,0.27,0.29,0.27,0.29,0.35,0.38,0.43,0.49,0.48,0.59,0.59,0.63,0.8
2009/1/2,新莊,NO,0.21,0.17,0.88,-.22*,0.03,-.06*,0.15,0.57,1.84,2.09,2.04,1.25,1.2,1.24,0.92,1.18,0.79,0.61,0.6,0.97,1.6,1.85,1.96,12.26
2009/1/2,新莊,NO2,11.33,8.5,10.48,6.21*,6.02,8.29*,10.68,15.45,20.38,19.39,13.31,8.85,9.91,8.9,10.22,14.86,17.09,18.24,23.63,24.59,30.55,30.25,31.87,36.4
2009/1/2,新莊,NOx,11.54,8.66,11.36,5.99*,6.05,8.23*,10.83,16.02,22.22,21.48,15.35,10.1,11.11,10.14,11.14,16.04,17.88,18.85,24.23,25.56,32.15,32.1,33.82,48.66
2009/1/2,新莊,O3,33.4,33.6,32.7,36.5,36.6,32.8,30,25.4,20.6,21.7,27.7,30.5,32.3,33,30.7,27.1,25.2,22.7,17.6,16.7,10.3,8.9,8.9,4.4
2009/1/2,新莊,PM10,51,50,53,45,34,34,32,31,36,40,35,30,27,24,24,30,33,33,35,32,31,31,26,24
2009/1/2,新莊,PM2.5,31,27,29,26,21,19,16,15,16,17,15,11,10,11,14,17,18,17,20,18,16,14,10,12
2009/1/2,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,新莊,RH,55.38,56.09,56.05,55.1,56.4,58.82,59.11,60.72,60.48,59.92,57.5,57.53,57.21,55.99,60.25,60.16,61.9,64.33,65.31,65.06,66.57,64.82,62.46,63.19
2009/1/2,新莊,SO2,4.3,3.4,2.9,1.9,1.9,1.6,1.6,2,2,1.8,2.1,2,2,2,2,1.9,1.7,1.6,1.8,1.8,1.9,1.7,1.5,1.9
2009/1/2,新莊,WD_HR,74.16,72.91,72.64,72.05,67.77,53.87,59.23,61.1,68.91,57.96,76.55,74.22,69.92,71.81,66.92,74.38,77.07,78.98,79.09,77.38,79.71,74,73.36,61.76
2009/1/2,新莊,WIND_DIREC,76.61,71.91,67.89,76.41,58.3,58.74,62.75,42.4,73.75,60.53,74.81,75.6,72.18,70.33,72.8,73.33,75.26,76.18,87.85,75.54,76.7,70.65,65.79,68.19
2009/1/2,新莊,WIND_SPEED,3.2,2.48,3.06,3.2,1.81,2.14,2.97,1.72,3.07,1.84,3.3,3.46,3.72,3.35,2.31,2.59,2.54,2.81,2.62,2.99,1.68,1.96,1.88,0.66
2009/1/2,新莊,WS_HR,2.75,2.47,2.8,2.91,2.31,1.53,1.68,1.73,1.94,1.77,2.69,3.47,3.1,2.84,3.01,2.85,2.62,3.22,2.97,2.87,1.76,1.77,1.87,1.32
2009/1/3,新莊,AMB_TEMP,12.63,12.14,11.78,11.01,10.56,11.15,12.02,13.39,15.61,16.86,17.41,18.15,18.45,18.74,18.69,18.27,17.51,16.92,16.63,16.43,16.46,16.45,16.42,15.99
2009/1/3,新莊,CO,0.95,0.66,0.64,0.66,0.7,0.71,0.67,0.8,0.46,0.27,0.23,0.2,0.2,0.22,0.23,0.23,0.26,0.37,0.58,0.62,0.47,0.5,0.43,0.3
2009/1/3,新莊,NO,23.8,5.53,5.69,11.65,19.07,24.13,22,25.28,9.28,4.54,3.2,3.54,2.59,2.63,3.19,2.65,2.29,1.41,2.02,2.24,1.59,1.12,1.51,0.88
2009/1/3,新莊,NO2,36.65,30.45,28.78,27.77,24.95,25.03,29.33,30.84,20.26,10.5,8.9,7.21,6.27,8,8.53,9.43,12.26,18.29,29.27,28.51,23.23,25.53,24.37,14.18
2009/1/3,新莊,NOx,60.45,35.97,34.47,39.42,44.02,49.16,51.32,56.12,29.54,15.04,12.1,10.76,8.86,10.63,11.71,12.08,14.56,19.7,31.29,30.76,24.82,26.65,25.88,15.07
2009/1/3,新莊,O3,2.9,5.1,4.6,3.1,3.7,5,3.8,7.7,20.4,31,34.3,36.3,38,37.1,35.6,33.5,30.8,23.8,13.2,13.1,18.1,16,17.5,27.6
2009/1/3,新莊,PM10,28,27,20,18,21,25,27,31,29,23,23,25,30,28,23,25,28,31,34,32,29,26,26,22
2009/1/3,新莊,PM2.5,15,12,10,10,10,12,13,14,13,10,8,6,7,8,6,7,10,10,9,13,13,11,12,12
2009/1/3,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,新莊,RH,65.85,69.15,71.64,75.62,78.28,77.43,73.94,69.37,59.84,53.35,50.46,49.04,50.06,50.11,51.14,53.47,57.27,60.58,63.22,65.39,66.54,68.02,72.1,78.52
2009/1/3,新莊,SO2,2.3,1.6,1.6,1.7,2.2,2.4,2.9,3.2,2.5,2.6,3.2,2.7,3.1,3.3,3,2.4,4,3.1,3.3,2.3,2.2,3,3.5,2.5
2009/1/3,新莊,WD_HR,94.12,95.68,332.71,0.56,299.78,293.42,48.41,77.02,80.42,78.64,79.16,78.04,76.53,77.58,78.55,77.1,75.31,79,89.9,96.55,82.87,78.87,77.79,74.18
2009/1/3,新莊,WIND_DIREC,124.53,117.6,2.31,306.34,319.86,6.61,20.69,82.79,78.61,75.69,80.56,81.07,72.96,76.83,79.44,74.13,74.34,80.89,102.32,100.93,78.09,78.28,73.41,72.83
2009/1/3,新莊,WIND_SPEED,1.24,0.77,0.68,0.5,0.45,0.5,0.82,1.81,3.37,5.1,4.84,4.98,4.82,4.44,4.11,4.29,4.3,3.1,2.61,1.87,2.74,2.57,3.72,3.63
2009/1/3,新莊,WS_HR,0.84,0.35,0.36,0.2,0.38,0.26,0.48,0.98,2.42,3.49,4.12,4.71,4.75,4.34,4.39,4.15,4.28,3.51,2.07,1.59,2.12,2.23,2.92,3.26
2009/1/4,新莊,AMB_TEMP,16,16.26,16.27,16.48,16.41,16.25,16.21,16.26,16.59,17.29,18.24,18.84,19.55,18.61,17.03,16.77,16.57,16.75,16.75,16.66,16.65,16.82,16.85,16.9
2009/1/4,新莊,CO,0.34,0.29,0.28,0.28,0.3,0.33,0.31,0.54,0.84,0.77,0.65,0.5,0.37,0.22,0.19,0.19,0.24,0.37,0.55,0.62,0.52,0.46,0.5,0.57
