日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,松山,AMB_TEMP,13.29,12.98,12.59,12.32,12.06,11.61,11.24,11.08,11.26,11.63,11.7,12.17,12.2,12.17,12.07,12.2,12.21,12.21,12.2,12.26,12.32,12.38,12.45,12.43
2009/1/1,松山,CH4,1.867,1.846#,1.828,1.83,1.834,1.831,1.838,1.831,1.828,1.819,1.803,1.802,1.801,1.803,1.806,1.805,1.809,1.821,1.828,1.832,1.839,1.835,1.83,1.844
2009/1/1,松山,CO,0.64,0.62,0.39,0.33,0.33,0.33,0.31,0.35,0.35,0.35,0.31,0.28,0.29,0.31,0.34,0.33,0.36,0.42,0.42,0.46,0.46,0.41,0.4,0.38
2009/1/1,松山,NMHC,0.127,.112#,0.077,0.053,0.049,0.043,0.046,0.055,0.077,0.088,0.075,0.076,0.062,0.07,0.07,0.069,0.074,0.097,0.096,0.093,0.089,0.082,0.079,0.078
2009/1/1,松山,NO,2.81,3.12,2.27,0.87,0.4,0.6,0.68,1.28,2.44,3.54,2.71,3,2.21,2.38,2.1,1.76,1.95,1.48,1.39,1.43,1.03,1.33,1.56,0.94
2009/1/1,松山,NO2,20.11,18.14,12.39,7.68,8.05,7.08,8.07,10.35,13.07,13.26,11.99,11.54,11.07,12.3,13.35,12.02,13.53,17.67,17.93,17.37,16.24,14.23,13.25,13.06
2009/1/1,松山,NOx,22.91,21.26,14.67,8.55,8.45,7.68,8.75,11.63,15.51,16.79,14.7,14.54,13.28,14.68,15.45,13.78,15.48,19.16,19.32,18.8,17.27,15.56,14.81,14.01
2009/1/1,松山,O3,21.4,21.1,28.3,32.2,31.9,31.8,31.2,29,26.2,25.8,28,32.8,34.3,33.2,28.6,30.1,29,23.8,23.3,23.7,24.1,27.1,26.4,26.6
2009/1/1,松山,PM10,98,100,94,75,61,57,51,50,53,59,55,49,51,51,51,44,47,51,53,60,63,71,62,62
2009/1/1,松山,PM2.5,59,63,47,38,31,35,34,28,22,27,24,24,18,23,31,33,35,34,33,32,36,34,41,39
2009/1/1,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,松山,RH,54.81,54.08,52.43,51.06,51.51,50.73,50.78,51.08,49.88,51.04,52.14,45.41,47.33,50.57,54.69,52.2,52.33,54.18,50.49,52.66,51.77,52.31,53.1,53.39
2009/1/1,松山,SO2,13.2,10.6,7,6.6,7.7,7.8,6.8,7.2,6.9,5.8,4.8,4.3,4.2,4.3,4.7,5.1,5.6,5.9,5.7,7.6,8.8,7.5,6.9,5.5
2009/1/1,松山,THC,1.993,1.958#,1.905,1.883,1.883,1.873,1.884,1.886,1.905,1.906,1.878,1.878,1.864,1.873,1.875,1.875,1.883,1.918,1.924,1.924,1.928,1.917,1.909,1.922
2009/1/1,松山,WIND_DIREC,289.52,306.76,297.13,303.7,304.29,306.94,302.91,292.19,301.65,305.36,284.82,286.07,306.36,302.64,309.46,306.83,302.78,305.98,303.95,305.71,311.79,302.04,290.36,300.16
2009/1/1,松山,WIND_SPEED,2.66,3.69,3.28,3.97,3.47,3.82,3.98,4,3.41,4.36,3.97,3.72,4.17,3,2.77,3.71,2.84,2.6,2.95,2.88,3.17,2.44,3.25,2.66
2009/1/2,松山,AMB_TEMP,12.42,12.59,12.56,12.53,12.44,12.52,12.6,12.77,13.12,13.51,14.12,14.33,14.38,14.77,14.6,14.88,14.96,14.79,14.73,14.77,14.77,14.86,14.16,13.73
2009/1/2,松山,CH4,1.829,1.816,1.809,1.807,1.81,1.81,1.825,1.832,1.855,1.859,1.829,1.814,1.812,1.813,1.821,1.825,1.826,1.852,1.863,1.919,1.946,1.915,1.977,1.983
2009/1/2,松山,CO,0.33,0.26,0.2,0.2,0.19,0.19,0.22,0.29,0.33,0.35,0.28,0.27,0.27,0.27,0.32,0.31,0.33,0.48,0.54,0.57,0.5,0.45,0.56,0.51
2009/1/2,松山,NMHC,0.063,0.047,0.038,0.034,0.033,0.033,0.044,0.068,0.104,0.13,0.104,0.095,0.101,0.104,0.113,0.119,0.133,0.225,0.25,0.229,0.177,0.152,0.213,0.208
2009/1/2,松山,NO,0.19,0.27,-.08*,0.04,0.03,0.07,-.09*,1.32,2.28,4.28,3.28,3.11,1.75,2.3,2.71,1.68,2.24,4.94,7.83,9.99,8.24,8.04,10.43,8.1
2009/1/2,松山,NO2,10.14,6.78,4.6*,4.45,4.17,4.76,7.93*,12.55,15.25,19.95,13.6,12.07,11.3,11.38,15.23,15.73,17.19,25.68,28.96,31.71,26.92,25.42,29.05,28.08
2009/1/2,松山,NOx,10.32,7.05,4.52*,4.49,4.2,4.82,7.85*,13.87,17.52,24.24,16.88,15.18,13.05,13.68,17.94,17.41,19.44,30.62,36.79,41.7,35.16,33.46,39.48,36.18
2009/1/2,松山,O3,27.1,28.9,30.8,31.8,30.7,30.2,27.5,23.4,21,16.6,20.9,22.5,23.3,24.3,20.8,21.5,19.4,13.5,9.2,6.2,7.9,9.8,6.4,5.9
2009/1/2,松山,PM10,58,57,45,39,39,39,31,28,29,32,34,33,34,31,39,38,42,42,47,47,40,34,32,33
2009/1/2,松山,PM2.5,42,35,29,24,27,20,25,18,24,22,22,23,19,16,12,13,19,19,21,25,22,22,19,19
2009/1/2,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,松山,RH,55.48,54.99,55.34,54.5,56.66,57.4,59.56,60.06,60.03,59.88,57.29,58.16,57.94,58.4,61.57,60.28,61.22,64.08,65.08,65.96,64.24,60.09,62.04,63.18
2009/1/2,松山,SO2,4.9,2.9,2.3,2.1,1.4,1.3,1.2,1.3,1.6,1.8,1.6,1.6,1.6,1.6,2,2,1.9,2.8,3.2,3.6,2.5,2.1,2,2.1
2009/1/2,松山,THC,1.893,1.863,1.847,1.841,1.844,1.844,1.869,1.899,1.959,1.989,1.932,1.909,1.913,1.917,1.934,1.944,1.959,2.077,2.113,2.147,2.122,2.067,2.189,2.191
2009/1/2,松山,WIND_DIREC,285.13,295.07,308.75,310.02,299.54,298.35,295.12,296.64,308.69,287.92,306.29,286.08,289.07,288.35,304.04,297.69,300.74,290.83,274.76,257.66,246.8,275.47,266.21,264.6
2009/1/2,松山,WIND_SPEED,1.84,2.25,2.83,2.29,2.63,2.29,2.47,1.57,1.34,1.2,2.22,3.12,2.92,2.45,2.46,2.48,2.73,2.74,1.25,0.82,1.14,1.45,1.58,1.35
2009/1/3,松山,AMB_TEMP,13.86,13.44,13.28,13.56,13.91,14.55,15.03,15.08,16.1,17.37,17.88,18.09,18.39,18.5,18.66,18.4,18,17.53,16.86,16.7,16.82,17.23,16.71,16.17
2009/1/3,松山,CH4,1.87,1.961#,1.945,1.901,1.873,1.847,1.845,1.87,1.85,1.813,1.804,1.799,1.797,1.783,1.79,1.792,1.809,1.841,1.885,1.865,1.853,1.889,1.86,1.886
2009/1/3,松山,CO,0.39,0.41,0.34,0.27,0.22,0.19,0.24,0.35,0.41,0.26,0.26,0.27,0.25,0.24,0.25,0.26,0.31,0.55,0.67,0.6,0.5,0.53,0.38,0.41
2009/1/3,松山,NMHC,0.142,.17#,0.155,0.124,0.08,0.06,0.07,0.109,0.147,0.098,0.106,0.101,0.076,0.081,0.111,0.124,0.152,0.249,0.272,0.235,0.188,0.204,0.12,0.131
2009/1/3,松山,NO,2.1,2.2,0.47,0.63,0.35,0.27,1.48,4.57,11.04,5.89,5.31,5.65,4,2.93,3.38,3.17,2.65,7.55,11.24,8.02,5.5,5.63,3.45,2.34
2009/1/3,松山,NO2,22.04,24.31,22.1,13.93,10.75,6.95,12.52,19.38,22.83,13.41,12.8,13.15,9.64,9.23,10.75,11.98,16.37,29.77,33.59,31.04,26.89,28.69,18.02,20.15
2009/1/3,松山,NOx,24.14,26.51,22.57,14.56,11.1,7.22,14,23.95,33.88,19.3,18.11,18.8,13.64,12.16,14.13,15.15,19.02,37.32,44.84,39.06,32.38,34.33,21.47,22.49
2009/1/3,松山,O3,10.2,8.9,9.6,15.8,19,23.1,20.9,15.3,12.8,21,23.9,23.2,26.8,27.9,26.2,24.4,21.8,10.9,3.6,5.1,8.4,8.2,14.6,13.9
2009/1/3,松山,PM10,31,27,24,30,23,21,19,29,39,45,44,42,38,38,34,33,33,36,38,41,39,34,31,29
2009/1/3,松山,PM2.5,14,14,11,11,11,10,10,12,12,16,16,19,19,20,20,15,15,13,13,16,16,15,15,17
2009/1/3,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.4
2009/1/3,松山,RH,62.29,64.8,64.72,62.46,64.3,63.67,62.44,63,57.29,49.49,47.05,48.73,49.48,49.57,50.53,52.59,55.7,59.32,64.57,66.88,67.61,68.02,76.94,84.61
2009/1/3,松山,SO2,3.8,2.9,10.1,7.6,2.9,1.5,2.1,2.4,3.9,4.5,1.5,1.4,1.8,1.7,1.5,1.4,1.5,1.8,3,3.2,2.4,3.3,1.2,1
2009/1/3,松山,THC,2.012,2.131#,2.1,2.024,1.953,1.907,1.915,1.979,1.996,1.911,1.91,1.9,1.873,1.864,1.902,1.917,1.962,2.09,2.157,2.1,2.041,2.093,1.98,2.017
2009/1/3,松山,WIND_DIREC,262.45,255.65,279.44,266.96,264.89,259.1,297.5,266.1,282.94,296.66,303.81,295.32,291.88,302.22,306.1,301.67,294.45,273.49,268.53,267.1,259.47,254.78,256.33,294.83
2009/1/3,松山,WIND_SPEED,1.81,0.83,1.14,1.73,1.83,2.41,2.36,2.16,2.95,3.71,2.89,3.53,4.88,3.99,4.07,3.93,3.07,1.73,2.55,2.27,2.21,1.61,1.7,2.34
2009/1/4,松山,AMB_TEMP,16.43,16.39,16.15,16.18,16.14,16.27,16.53,16.58,16.83,17.32,17.98,18.57,19.25,19.66,19.66,19,18.13,16.97,16.63,16.51,16.63,16.8,17,17.22
2009/1/4,松山,CH4,1.884,1.86,1.885,1.903,1.899,1.905,1.966,1.966,1.934,1.872,1.87,1.873,1.842,1.875,1.897,1.956,1.851,1.821,1.827,1.844,1.837,1.865,1.867,1.935
2009/1/4,松山,CO,0.32,0.29,0.29,0.28,0.25,0.25,0.32,0.43,0.55,0.47,0.47,0.46,0.34,0.46,0.58,0.93,0.43,0.41,0.44,0.44,0.43,0.48,0.45,0.45
2009/1/4,松山,NMHC,0.098,0.114,0.11,0.11,0.083,0.096,0.131,0.169,0.199,0.191,0.201,0.23,0.134,0.169,0.23,0.399,0.185,0.148,0.158,0.168,0.156,0.177,0.152,0.151
2009/1/4,松山,NO,0.78,0.51,0.68,1.38,0.82,1.23,2.96,5.74,23.71,16.79,22.46,14.92,4.99,13.31,19.96,24.11,8.47,4.39,5.41,6.57,5.64,5.46,4.54,4.36
2009/1/4,松山,NO2,14.24,11.76,13.15,15.22,12.1,12.36,19.93,23.55,32.39,30.52,33.01,29.78,16.72,27.89,33.07,40.42,25.88,22.44,26.8,27.85,26.43,28.33,26.85,27.72
2009/1/4,松山,NOx,15.03,12.26,13.83,16.6,12.92,13.59,22.88,29.28,56.1,47.31,55.48,44.71,21.71,41.2,53.03,64.53,34.35,26.83,32.21,34.42,32.07,33.79,31.39,32.09
2009/1/4,松山,O3,17.3,20.2,16.3,14.7,15.6,17.9,11.6,10.9,2.7,7,5.7,8.5,17.2,10.9,7.7,3.9,11,16.3,12,10.5,10.6,8.7,10.8,9.6
2009/1/4,松山,PM10,21,16,9,16,15,16,18,19,28,23,30,27,30,25,26,33,35,32,21,22,20,21,18,15
2009/1/4,松山,PM2.5,17,12,12,13,13,10,6,6,14,14,16,16,19,19,13,13,8,8,8,8,11,11,11,11
2009/1/4,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,0.2,NR,0.2,NR,NR,NR
2009/1/4,松山,RH,84.33,85.39,87.73,88.5,89.57,88.95,88.73,90.08,89.24,87.76,85.71,83.23,78.22,76.16,75.66,74.78,76.49,81.28,85.83,88.83,89.04,89.86,90.27,90.28
2009/1/4,松山,SO2,1.4,1.9,2.6,4.4,3.7,4.7,2.4,2,3.3,3.1,5.2,5.9,4.2,4.6,4,2.9,2,1.4,1.5,1.9,2.3,3.7,2.8,2.8
2009/1/4,松山,THC,1.982,1.974,1.994,2.013,1.982,2.001,2.096,2.135,2.132,2.062,2.071,2.103,1.976,2.044,2.127,2.355,2.036,1.968,1.985,2.013,1.994,2.042,2.019,2.086
2009/1/4,松山,WIND_DIREC,289.02,263.21,281.09,229.75,257.1,294.22,269.14,280.83,265.1,279.15,271.25,290.72,293.98,266.7,84.39,118.62,290.52,276.96,261.11,272.68,268.64,293.55,286.29,261.03
2009/1/4,松山,WIND_SPEED,2.74,1.86,1.88,0.72,1.09,1.01,0.95,0.94,1.38,1.71,1.8,2.28,1.44,1.2,1.53,1.3,2.33,1.88,2.03,1.88,2.06,1.75,1.55,1.07
2009/1/5,松山,AMB_TEMP,17.39,17.49,17.38,17.02,16.88,17.05,16.95,16.99,17.27,17.42,17.44,17.43,17.5,17.81,17.8,17.41,17.42,17.4,17.34,17.22,17.06,16.86,16.84,17
2009/1/5,松山,CH4,1.943,1.815,1.865,1.828,1.845,1.835,1.844,1.865,1.86,1.858,1.833,1.83,1.838,1.831,1.824,1.816,1.824,1.812,1.808,1.818,1.817,1.812,1.825,1.824
2009/1/5,松山,CO,0.33,0.2,0.19,0.19,0.21,0.26,0.34,0.71,0.91,0.7,0.5,0.45,0.44,0.39,0.49,0.42,0.5,0.53,0.53,0.51,0.4,0.39,0.42,0.34
2009/1/5,松山,NMHC,0.118,0.029,0.044,0.045,0.051,0.044,0.078,0.229,0.338,0.288,0.205,0.202,0.165,0.15,0.222,0.181,0.241,0.202,0.168,0.161,0.094,0.086,0.101,0.073
2009/1/5,松山,NO,1.59,1.56,1.15,2.2,1.97,2.9,4.53,13.22,25.83,31.36,19.32,15.24,11.22,9.38,18.61,7.86,11.12,9.45,5.62,5.93,4.45,3.47,3.96,3.32
2009/1/5,松山,NO2,18.4,7.55,5.38,5.27,5.47,7.25,19.02,35.9,41.79,39.35,32.1,32.58,27.67,21.74,34.45,25.51,33.07,32.4,23.18,26.12,17.43,15.76,20.78,19.36
2009/1/5,松山,NOx,19.99,9.11,6.52,7.47,7.45,10.15,23.55,49.12,67.62,70.7,51.42,47.82,38.89,31.12,53.06,33.36,44.18,41.85,28.8,32.05,21.88,19.23,24.75,22.68
2009/1/5,松山,O3,15.2,25.9,28.5,27.4,28,32.1,22.6,9.9,5.5,5.8,11.6,10.8,13.9,20.2,12.2,16.6,15.2,12.2,20.9,18.2,24,26.8,22.7,21.4
2009/1/5,松山,PM10,19,15,12,9,8,5,10,16,23,30,31,39,29,36,28,31,25,24,23,16,19,14,18,16
2009/1/5,松山,PM2.5,15,15,9,9,12,12,5,5,15,15,13,13,16,16,13,13,10,10,13,13,14,14,18,18
2009/1/5,松山,RAINFALL,NR,NR,NR,0.2,NR,NR,NR,0.2,NR,NR,NR,NR,0.2,NR,0.6,0.2,0.4,0.4,0.4,1.6,1,1.4,2.6,3.4
2009/1/5,松山,RH,90.23,87.26,86.63,88.79,88.47,83.17,84.7,85.7,85.43,86.26,86.34,84.88,85.47,84.56,86.44,87.45,86.75,87.38,86.11,87.2,86.84,86.49,88.23,89.28
2009/1/5,松山,SO2,1.9,1.1,1,0.9,1.6,1.8,2.1,2.2,3.2,3.5,2.9,2.8,2.6,2.3,2.6,2.3,2.4,3.4,2.3,2.8,2.3,1.9,3.3,5.4
2009/1/5,松山,THC,2.061,1.844,1.909,1.873,1.895,1.879,1.922,2.094,2.198,2.145,2.038,2.032,2.002,1.981,2.046,1.997,2.065,2.014,1.976,1.978,1.911,1.897,1.926,1.897
2009/1/5,松山,WD_HR,,,,,,,,279.51,285.87,285.22,283.53,288.45,287.63,293.61,278.2,298.44,289.64,291.99,294.36,290.74,290.11,290.17,287.63,287.19
2009/1/5,松山,WIND_DIREC,264.33,299.62,269.69,265.91,264.79,269.7,279.6,287.15,286.8,286.3,290.02,292.77,291.92,287.32,275.62,302.43,286.48,299.92,290.23,294.16,293.09,293.31,281.75,292.85
2009/1/5,松山,WIND_SPEED,1.18,2.2,2.04,2.19,1.8,1.85,1.55,1.86,1.85,2.81,2.04,2.48,2.72,2.61,2.22,2.41,1.94,3.37,2.71,3.33,3.93,3.76,2.62,2.43
2009/1/5,松山,WS_HR,,,,,,,,1.23,1.67,1.62,1.95,2.15,2.12,2.48,2.03,2.2,1.9,2.62,2.72,2.79,3.1,3.01,2.23,2.2
2009/1/6,松山,AMB_TEMP,17.22,17.47,17.4,17.49,16.86,16.65,16.86,16.8,16.93,17.19,17.41,17.99,18.59,19.38,19.49,17.54,18.68,18.62,18.68,18.67,18.11,17.88,17.75,17.65
2009/1/6,松山,CH4,1.846,1.84,1.851,1.83,1.794,1.856,1.921,2.062,2.155,1.923,1.929,1.824,1.872,1.827#,1.932,1.85,1.832,1.882,1.962,1.948,1.953,1.978,1.976,1.922
2009/1/6,松山,CO,0.28,0.26,0.26,0.26,0.26,0.31,0.43,1.06,1.92,0.9,0.64,0.47,0.52,0.52,.67#,0.54,0.58,0.93,0.97,0.92,1.3,1.44,1.24,0.82
