¤é´Á,´ú¯¸,´ú¶µ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,ªO¾ô,AMB_TEMP,13.3,13.02,12.58,12.29,11.96,11.57,11.26,11.14,11.49,12.12,12.14,12.44,12.33,12.08,12.22,12.37,12.34,12.25,12.32,12.33,12.38,12.4,12.45,12.44
2009/1/1,ªO¾ô,CH4,1.873,1.977,1.953,1.947,1.953,1.969,1.965,1.936,1.93,1.925,1.919,1.911,1.928,1.923,1.925,1.934,1.924,1.928,1.948,1.949,1.951,1.939,1.935,1.923
2009/1/1,ªO¾ô,CO,0.62,0.66,0.45,0.39,0.38,0.41,0.45,0.44,0.43,0.43,0.4,0.39,0.39,0.41,0.45,0.49,0.48,0.52,0.57,0.58,0.58,0.51,0.52,0.41
2009/1/1,ªO¾ô,NMHC,0.301,0.166,0.116,0.085,0.077,0.091,0.118,0.116,0.115,0.125,0.135,0.144,0.146,0.135,0.142,0.166,0.16,0.167,0.194,0.187,0.176,0.148,0.154,0.116
2009/1/1,ªO¾ô,NO,1.94,2.51,2.25,1.06,0.85,0.99,1.62,2.14,2.7,3.77,3.2,3.42,2.95,3.06,2.71,3.57,3.12,2.26,2.8,2.98,2.69,2.02,1.98,1.46
2009/1/1,ªO¾ô,NO2,20.72,21.71,15.44,11.08,10.77,12.07,16.06,15.36,14.13,13.82,13.95,13.56,12.66,14.74,15.45,19.84,18.87,22.09,24.18,24.94,24.9,21.03,20.87,14.9
2009/1/1,ªO¾ô,NOx,22.66,24.22,17.7,12.15,11.62,13.06,17.68,17.5,16.84,17.59,17.16,16.97,15.61,17.8,18.16,23.41,21.99,24.35,26.98,27.92,27.59,23.05,22.84,16.36
2009/1/1,ªO¾ô,O3,23.9,22,29.4,34.6,34.1,31,26.4,27.7,28.6,30.2,30.6,33.6,34.5,33.4,31.4,27.5,27.8,24.1,21.1,20.1,19.6,23.8,23.2,28.1
2009/1/1,ªO¾ô,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,ªO¾ô,PM10,108,106,86,68,64,58,54,54,54,56,56,51,46,49,55,60,54,46,50,56,63,65,64,63
2009/1/1,ªO¾ô,PM2.5,58,54,36,28,26,25,26,25,27,25,25,27,24,19,21,25,28,30,34,40,42,39,35,35
2009/1/1,ªO¾ô,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,ªO¾ô,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,ªO¾ô,RH,52.69,52.22,50.22,49.31,48.49,49.01,48.53,48.25,46.58,44.76,46.5,44.55,47,47.63,48.1,49.35,48.54,50.53,50.53,49.8,48.46,49.03,50.48,50.27
2009/1/1,ªO¾ô,SO2,12.5,11.1,7,6.4,7.1,7.3,6.7,6.7,7.2,5.9,4.8,4,3.8,3.7,4.1,4.6,4.7,5.4,5.2,6.3,7.9,7.2,6.6,5.4
2009/1/1,ªO¾ô,THC,2.174,2.143,2.069,2.032,2.031,2.06,2.083,2.053,2.045,2.05,2.054,2.055,2.074,2.059,2.067,2.1,2.084,2.095,2.142,2.136,2.127,2.087,2.09,2.039
2009/1/1,ªO¾ô,UVB,0,0,0,0,0,0,0,0.2,0.9,2.2,2.2,3.2,2.4,1.9,1,0.7,0.2,0,0,0,0,0,0,0
2009/1/1,ªO¾ô,WD_HR,68.62,70.73,73.68,74.41,67.91,60.37,65.76,74.74,73.08,69.76,66.63,62.34,56.52,61.48,54.08,59.35,66.69,74.11,66.94,67.21,69.76,74.13,72.21,71.7
2009/1/1,ªO¾ô,WIND_DIREC,69.39,73.94,74.99,74.34,52.71,72.95,52.17,82.89,70.1,76.79,64.51,43.55,57.13,58.31,54.06,70.37,69.7,74.52,73.12,70.25,72.58,69.67,69.34,61.28
2009/1/1,ªO¾ô,WIND_SPEED,2.88,3.77,3.71,4.33,2.55,3.33,2.5,4.27,3.64,3.05,3.86,3.25,3.85,3.31,3.05,3.28,4.47,3.5,2.78,3.22,3.14,3.19,2.95,2.76
2009/1/1,ªO¾ô,WS_HR,2.96,3.42,3.33,3.44,2.96,2.72,2.12,2.9,2.98,2.58,2.79,3.14,3.19,2.43,2.55,2.8,3.16,3.27,2.65,2.64,2.59,3.15,2.86,3.15
