日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,林口,AMB_TEMP,9.7,9.45,9.25,8.92,8.64,8.25,7.81,7.76,8.27,9.38,9.82,9.71,8.98,9.33,9.63,9.49,9.14,8.96,8.95,9,9.08,9.1,9.12,9.08
2009/1/1,林口,CO,0.43,0.42,0.26,0.27,0.3,0.29,0.26,0.28,0.27,0.27,0.24,0.25,0.23,0.22,0.25,0.25,0.28,0.29,0.28,0.31,0.34,0.3,0.29,0.27
2009/1/1,林口,NO,0.78,0.86,0.73,0.71,0.54,0.5,0.6,0.84,1.07,1.5,1.46,1.73,1.51,1.28,0.98,0.9,0.8,0.62,0.81,0.71,0.65,0.52,0.57,0.6
2009/1/1,林口,NO2,10.68,10.35,7.47,4.31,5.24,5.07,4.69,4.94,5.34,5.78,5.72,6.14,6.26,5.11,5.25,5.49,6.16,7.13,7.44,8.04,8.99,8.15,6.7,5.96
2009/1/1,林口,NOx,11.46,11.22,8.19,5.02,5.78,5.57,5.29,5.78,6.41,7.28,7.17,7.87,7.77,6.38,6.23,6.38,6.96,7.76,8.25,8.74,9.64,8.67,7.28,6.57
2009/1/1,林口,O3,32.6,31.9,38.1,39.8,38,38.1,38.4,37.3,36.3,36.4,38.6,37.7,39.7,42.8,40.5,40.1,38.2,36.8,35.9,34.6,32.7,35,36,35.9
2009/1/1,林口,PM10,85,85,66,49,54,58,48,43,48,53,49,45,45,40,41,46,46,48,52,54,62,64,61,56
2009/1/1,林口,PM2.5,53,48,36,24,26,26,19,19,22,23,23,23,22,14,18,23,21,24,27,28,31,33,29,32
2009/1/1,林口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,林口,RH,70.98,71.22,67.67,66.05,66.49,66.57,65.68,64.19,63.91,63.32,62.18,66.3,68.65,64.45,65.33,66.99,68.68,68.51,69.4,67.36,66.68,66.96,67.82,68.97
2009/1/1,林口,SO2,11.2,9.8,6.8,6.6,8,7.6,6.5,6.8,6.7,5.6,4.3,4.6,4.3,3.6,4.2,4.6,5.2,5.3,5.8,6.6,8.3,7.1,6.2,5.5
2009/1/1,林口,WD_HR,57.6,47.23,40.17,46.97,64.2,69.92,69.09,71.65,61.08,59.44,57.84,68.69,68.26,72.62,70.02,68.83,65.22,62.12,68.69,65.11,62.47,62.79,61.68,64.17
2009/1/1,林口,WIND_DIREC,59.17,40.42,45,57.68,69.73,70.14,66.47,69.16,62.98,68.57,59.1,69.99,73.48,73.27,65.55,66.31,63.67,63.77,68.82,62.61,60.79,63.62,62.75,64.21
2009/1/1,林口,WIND_SPEED,3.15,3.58,4.21,4.08,4.18,3.95,3.53,3.49,4.43,3.23,4.19,4.39,3.94,4.16,3.84,4.11,3.65,4.82,3.23,3.79,3.94,3.32,2.99,2.92
2009/1/1,林口,WS_HR,3.09,3.16,3.75,3.8,3.9,3.57,3.42,3.47,3.71,3.64,4.16,3.67,3.7,3.82,3.46,3.46,3.64,3.88,3.53,3.77,3.61,3.51,3.41,3.21
