дщ┤┴,┤·п╕,┤·╢╡,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,оч╢щ,AMB_TEMP,11.78,11.25,10.94,10.51,10.51,10.49,10.16,9.99,10.24,10.82,11.48,11.56,11.22,10.96,11.45,11.24,11.26,10.82,10.81,10.68,10.94,10.99,11.1,11.15
2009/1/1,оч╢щ,CH4,1.801,1.809,1.786,1.768,1.771,1.771,1.771,1.768,1.761,1.757,1.75,1.74,1.745,1.736,1.735,1.748,1.747,1.75,1.757,1.762,1.781,1.81,1.799,1.784
2009/1/1,оч╢щ,CO,0.58,0.57,0.44,0.32,0.32,0.34,0.34,0.34,0.36,0.36,0.36,0.31,0.31,0.29,0.32,0.37,0.37,0.4,0.4,0.41,0.42,0.45,0.39,0.34
2009/1/1,оч╢щ,NMHC,0.126,0.101,0.078,0.052,0.044,0.037,0.042,0.046,0.062,0.142,0.129,0.128,0.091,0.09,0.176,0.146,0.156,0.124,0.091,0.079,0.067,0.084,0.077,0.059
2009/1/1,оч╢щ,NO,1.7,2.48,1.37,1.83,1.72,1.7,1.99,2.31,3.11,3.54,3.65,3.35,3.77,3.46,4.18,3.67,3.18,2.95,2.78,4.29,2.59,3,2.33,1.62
2009/1/1,оч╢щ,NO2,23.26,25.88,22.59,12.92,11.21,10.28,11.46,11.97,11.83,12.4,11.97,12.62,11.75,11.2,13.3,15.24,16.19,19.07,18.42,26.35,23.25,23.21,17,14.28
2009/1/1,оч╢щ,NOx,24.97,28.36,23.96,14.76,12.93,11.98,13.46,14.28,14.94,15.94,15.62,15.97,15.52,14.66,17.48,18.91,19.37,22.01,21.19,30.64,25.85,26.21,19.32,15.9
2009/1/1,оч╢щ,O3,23,17.9,21.1,30.8,33,33.8,32.3,31.8,31.5,31.5,33.3,34.8,35.1,37,35.3,31.2,30.2,26.2,26.4,17.2,20.7,21.3,27.7,29.9
2009/1/1,оч╢щ,PM10,111,117,109,91,73,64,62,58,60,63,69,62,63,54,58,58,67,67,65,68,69,80,81,83
2009/1/1,оч╢щ,PM2.5,50,55,47,38,38,38,28,20,18,23,30,33,34,23,17,14,15,19,34,45,45,48,40,41
2009/1/1,оч╢щ,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,оч╢щ,RH,63.71,65.26,64.56,62.3,60.48,58.96,58.31,57.14,55.5,55.86,54.54,53.26,59.58,58.2,55.43,59.36,59.35,62.05,61.95,62.89,60.07,59.24,59.11,59.47
2009/1/1,оч╢щ,SO2,12.8,12.4,9.6,7.3,7.7,8.2,7.6,7.4,7.7,6.9,5.5,4.9,5.1,4.3,4.6,5.2,5.9,6.6,6.6,8.1,9.7,9.9,7.9,7.2
2009/1/1,оч╢щ,THC,1.927,1.911,1.864,1.82,1.816,1.809,1.813,1.814,1.823,1.898,1.879,1.868,1.835,1.826,1.911,1.895,1.903,1.874,1.848,1.841,1.848,1.894,1.875,1.844
2009/1/1,оч╢щ,UVB,0,0,0,0,0,0,0,0.2,0.7,1.7,2.5,2.4,2.8,1.7,1.4,0.5,0.2,0,0,0,0,0,0,0
2009/1/1,оч╢щ,WD_HR,66.78,71.02,69.49,69.72,73.5,75.77,75.35,77.18,79.95,71.73,75.13,72.35,80.32,74.88,78.63,70.85,71.8,76.05,70.03,71.76,68.01,70.03,67.09,71.17
2009/1/1,оч╢щ,WIND_DIREC,73.85,67.78,64.76,66.07,78.44,66.64,82.97,70.59,71.31,82.28,83.23,74.48,88.31,68.33,74.49,76.02,70.8,74.67,76.16,69.69,68.88,65.96,62.55,69.04
2009/1/1,оч╢щ,WIND_SPEED,1.5,1.44,1.31,1.68,1.43,1.28,1.32,1.71,2.01,1.81,1.8,2.6,2.06,1.74,1.8,1.55,1.33,1.1,1.15,1.91,1.8,1.93,1.83,1.96
2009/1/1,оч╢щ,WS_HR,1.45,1.06,1.37,1.13,1.31,1,0.65,0.74,1.01,1.09,1.01,1.54,0.76,1,1.03,1.32,1.37,1.01,0.84,0.97,1.68,1.46,1.79,1.9
2009/1/2,оч╢щ,AMB_TEMP,11.09,10.98,11.06,11.18,11.2,11.24,11.23,11.51,11.98,12.38,13.15,13.57,13.82,14.12,14.16,14.07,13.9,13.85,13.9,13.86,13.49,13.51,13.15,12.49
2009/1/2,оч╢щ,CH4,1.78,1.79,1.787,1.814,1.802,1.804,1.799,1.768,1.786,1.778,1.768,1.763,1.768,1.767,1.778,1.788,1.794,1.819,1.829,1.797,1.88,1.871,1.948,1.979
2009/1/2,оч╢щ,CO,0.3,0.27,0.24,0.22,0.2,0.21,0.26,0.32,0.39,0.36,0.34,0.3,0.32,0.31,0.33,0.38,0.42,0.57,0.58,0.42,0.6,0.58,0.58,0.59
2009/1/2,оч╢щ,NMHC,0.051,0.043,0.036,0.037,0.029,0.039,0.051,0.075,0.124,0.123,0.166,0.219,0.174,0.134,0.196,0.23,0.346,0.339,0.232,0.154,0.263,0.261,0.259,0.275
2009/1/2,оч╢щ,NO,1.63,1.58,1.38,0.44,1.08,0.78,1.34,4.54,5.55,5.47,5.49,4.87,5.62,3.86,3.88,4.11,3.56,4.97,3.53,1.26,5.29,5.11,5.14,15.97
2009/1/2,оч╢щ,NO2,12.47,19.53,17.14,17.04,16.6,13.04,16.72,23.29,21.16,21.26,17.56,15.86,17.05,15.04,17.22,19.31,20.9,25.35,27.17,22.27,28.97,29.1,29.18,31.77
2009/1/2,оч╢щ,NOx,14.1,21.11,18.52,17.48,17.68,13.82,18.06,27.83,26.71,26.73,23.04,20.73,22.67,18.9,21.1,23.42,24.46,30.32,30.71,23.53,34.26,34.21,34.32,47.74
2009/1/2,оч╢щ,O3,30.1,21.8,23.5,22.6,22.8,27.6,23.2,16.3,19.6,19.2,22.9,24.2,23.3,25.5,23.8,21.3,20.2,15.9,13.7,19,9.9,9.8,9.7,6.7
2009/1/2,оч╢щ,PM10,67,59,45,54,54,56,48,44,45,49,50,51,48,50,45,52,50,57,55,57,61,59,53,47
2009/1/2,оч╢щ,PM2.5,30,26,28,25,24,24,25,27,30,26,21,15,15,20,12,13,12,22,30,38,32,28,18,18
2009/1/2,оч╢щ,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,оч╢щ,RH,59.97,61.11,62.56,63.85,62.62,63.15,64.03,65.5,64.56,63.71,61.62,61.39,62.2,60.81,63.07,65.51,67.18,68.49,71.1,69.9,72.65,72.63,70.05,70.95
2009/1/2,оч╢щ,SO2,6.2,7.7,6.1,5.4,3.8,3.3,3.9,6,6.5,6.6,4.6,5.6,5,4,4.9,4.5,3.6,3.7,5.4,3.7,6,5.1,5.3,9.2
2009/1/2,оч╢щ,THC,1.831,1.832,1.824,1.851,1.831,1.843,1.85,1.843,1.91,1.901,1.934,1.982,1.943,1.901,1.974,2.018,2.14,2.158,2.061,1.951,2.143,2.132,2.206,2.254
2009/1/2,оч╢щ,UVB,0,0,0,0,0,0,0,0.1,0.6,0.9,1.8,2.1,2.2,1.6,0.8,0.4,0.1,0,0,0,0,0,0,0
